angekommen;Am Hauptbahnhof ___, rief der Geschäftsreisende sofort ein freies Taxi.;Прибыв на главный вокзал, деловой путешественник сразу вызвал свободное такси.;ankommend;ankam;ankommen
geprüft;Von unabhängigen Sachverständigen mehrmals ___, erhielt die Konstruktion die offizielle Baugenehmigung.;Неоднократно проверенная независимыми экспертами, конструкция получила официальное разрешение на строительство.;prüfend;prüfen;prüfte
wissend;Um die Gefahren auf den Bergstraßen genau ___, fuhr der Fahrer bei Schneefall extrem langsam.;Прекрасно зная об опасностях на горных дорогах, водитель во время снегопада ехал предельно медленно.;gewusst;wissen;wusste
informiert;Über die aktuellen Fahrplanänderungen rechtzeitig per App ___, nahm er einen früheren Bus.;Своевременно проинформированный об актуальных изменениях расписания через приложение, он сел на более ранний автобус.;informierend;informieren;informierte
flüsternd;Leise miteinander ___, saßen die beiden Kollegen während des Vortrags in der letzten Reihe.;Тихо перешептываясь друг с другом, оба коллеги сидели в последнем ряду во время доклада.;geflüstert;flüstern;flüsterten
enttäuscht;Vom mangelhaften Kundenservice zutiefst ___, kündigte der Mieter seinen Vertrag.;Глубоко разочарованный плохим обслуживанием клиентов, арендатор расторг свой договор.;enttäuschend;enttäuschen;enttäuschte
nachdenkend;Intensiv über eine tragfähige Lösung ___, verbrachte der Projektleiter den ganzen Vormittag am Schreibtisch.;Напряженно размышляя о жизнеспособном решении, руководитель проекта провел все утро за рабочим столом.;nachgedacht;nachdenken;nachdachte
isoliert;Gegen frostige Temperaturen fachgerecht ___, hielten die verlegten Wasserrohre dem Winter stand.;Грамотно изолированные от морозных температур, проложенные водопроводные трубы выдержали зиму.;isolierend;isolieren;isolierte
blickend;Nervös auf die Bahnhofsuhr ___, beschleunigte der Fahrgast auf dem Bahnsteig seine Schritte.;Нервно поглядывая на вокзальные часы, пассажир ускорил шаги на перроне.;geblickt;blicken;blickte
beeindruckt;Von den innovativen Ideen des Teams tief ___, bewilligte der Vorstand das zusätzliche Budget.;Глубоко впечатленное инновационными идеями команды, правление выделило дополнительный бюджет.;beeindruckend;beeindrucken;beeindruckte
wartend;Geduldig im hellen Wartezimmer ___, vertiefte sich die Patientin in ein Fachmagazin.;Терпеливо ожидая в светлой приемной, пациентка углубилась в специализированный журнал.;gewartet;warten;wartete
unterzeichnet;Von beiden Verhandlungspartnern feierlich ___, liegt der Vertrag nun zur Ratifizierung bereit.;Торжественно подписанный обоими партнерами по переговорам, договор теперь готов к ратификации.;unterzeichnend;unterzeichnen;unterzeichnete
rennend;In Eile durch den strömenden Regen ___, erreichte der Bote das Bürogebäude noch rechtzeitig.;Спешно пробегая под проливным дождем, курьер достиг офисного здания еще вовремя.;gerannt;rennen;rannte
aufgeschreckt;Durch das plötzliche Hupen eines Lastwagens ___, bremste der Radfahrer abrupt ab.;Внезапно испуганный резким сигналом грузовика, велосипедист резко затормозил.;aufschreckend;aufschrecken;schreckte auf
trinkend;Seinen heißen Kaffee in aller Ruhe ___, las der Werkstattleiter die neuen Sicherheitsrichtlinien.;В полном спокойствии попивая свой горячий кофе, начальник мастерской читал новые правила безопасности.;getrunken;trinken;trank
begleitet;Von zwei ortskundigen Führern ___, überquerte die Gruppe den schwierigen Alpenpass.;В сопровождении двух знающих местность проводников группа преодолела сложный альпийский перевал.;begleitend;begleiten;begleitete
erklärend;Den komplizierten Sachverhalt mit einfachen Worten ___, wandte sich der Ingenieur an die Anwohner.;Объясняя сложное положение дел простыми словами, инженер обратился к жителям.;erklärt;erklären;erklärte
renoviert;Nach denkmalpflegerischen Vorgaben gründlich ___, bietet das Gebäude modernste Büroflächen.;Основательно отреставрированное по нормам охраны памятников, здание предлагает самые современные офисные площади.;renovierend;renovieren;renovierte
suchend;Seit Monaten nach einer passenden Fachkraft ___, schaltete die Firma weitere Stellenanzeigen.;Разыскивая подходящего специалиста уже несколько месяцев, фирма разместила дополнительные объявления о вакансиях.;gesucht;suchen;suchte
abgelenkt;Durch den anhaltenden Baulärm vor dem Fenster ___, konnte sie sich kaum auf die Akten konzentrieren.;Отвлекаемая непрекращающимся шумом стройки за окном, она едва могла сконцентрироваться на документах.;ablenkend;ablenken;lenkte ab
zuhörend;Den Ausführungen des Referenten aufmerksam ___, notierte sich der Sachbearbeiter wichtige Kernpunkte.;Внимательно слушая изложение докладчика, сотрудник записывал важные ключевые пункты.;zugehört;zuhören;hörte zu
begeistert;Von der klaren Struktur des neuen Verwaltungssystems absolut ___, stimmten die Bürger dem Entwurf zu.;Будучи в абсолютном восторге от четкой структуры новой системы управления, граждане одобрили проект.;begeisternd;begeistern;begeisterte
fahrend;Mit vorsichtiger Geschwindigkeit über die vereiste Brücke ___, vermied der Busfahrer ein Rutschen.;Двигаясь на осторожной скорости по обледенелому мосту, водитель автобуса избежал заноса.;gefahren;fahren;fuhr
ausgestattet;Mit moderner Messtechnik auf dem Dach ___, erfasst die Wetterstation präzise Klimadaten.;Оснащенная на крыше современной измерительной техникой, метеостанция фиксирует точные климатические данные.;ausstattend;ausstatten;stattete aus
überlegend;Lange über das vorliegende Angebot ___, verzögerte der Lieferant seine endgültige Zusage.;Долго раздумывая над поступившим предложением, поставщик оттягивал свое окончательное согласие.;überlegt;überlegen;überlegte
getäuscht;Durch die unvollständigen Angaben im Prospekt schwer ___, forderte der Käufer sein Geld zurück.;Сильно обманутый неполными данными в проспекте, покупатель потребовал свои деньги назад.;täuschend;täuschen;täuschte
blätternd;In den historischen Bauakten des Stadtarchivs ___, stieß der Historiker auf eine unbekannte Skizze.;Листая исторические строительные дела городского архива, историк наткнулся на неизвестный эскиз.;geblättert;blättern;blätterte
geöffnet;Nach einer zweijährigen Generalsanierung feierlich wieder ___, lockt das Rathaus viele Besucher an.;Торжественно открытая вновь после двухлетней генеральной реконструкции, ратуша привлекает множество посетителей.;öffnend;öffnen;eröffnete
helfend;Den neu eingezogenen Nachbarn beim Tragen der Möbel ___, verbrachte er den Samstagnachmittag im Treppenhaus.;Помогая новым соседям носить мебель, он провел вторую половину субботы на лестничной клетке.;geholfen;helfen;half
