lassen;Er hat den defekten Firmenwagen gestern in der Werkstatt reparieren ___.;Он вчера распорядился отремонтировать неисправный служебный автомобиль в мастерской.;gelassen;ließ;lässt
hat;Es ist ärgerlich, dass der Zulieferer die benötigten Spezialschrauben erst mit Verzug ___ liefern können.;Досадно, что поставщик смог доставить необходимые спецболты лишь с задержкой.;habe;hätte;ist
hätte;Wenn die Eigentümer die Fassade fachgerecht ___ dämmen lassen, wären die Heizkosten deutlich niedriger gewesen.;Если бы владельцы распорядились грамотно утеплить фасад, расходы на отопление были бы значительно ниже.;hatte;habe;wäre
lassen;Die Hausverwaltung hat die veraltete Klingelanlage im Wohnblock durch eine moderne Videosprechanlage austauschen ___.;Домоуправление распорядилось заменить устаревший звонок в блоке на современный видеодомофон.;gelassen;lässt;ließ
können;Wegen des dichten Schneetreibens haben die Rettungsdienste den entlegenen Unfallort nicht sofort erreichen ___.;Из-за плотной метели службы спасения не смогли сразу добраться до отдаленного места аварии.;gekonnt;konnten;könnten
müssen;Der Patient hat vor der geplanten Operation eine Reihe umfangreicher Untersuchungen durchlaufen ___.;Пациенту перед запланированной операцией пришлось пройти ряд обширных обследований.;gemusst;musste;müsste
wollen;Kein einziges Mitglied des Vorstandes hat den heiklen Sanierungsplan in der Öffentlichkeit kommentieren ___.;Ни один член правления не пожелал публично комментировать щекотливый план оздоровления предприятия.;gewollt;wollte;wolle
helfen;Der Meister hat dem neuen Auszubildenden die komplizierte Drehbank vorschriftsmäßig einrichten ___.;Мастер помог новому ученику настроить сложный токарный станок по всем правилам.;geholfen;half;hilft
dürfen;Ohne ausdrückliche Zustimmung des Betriebsrats hat die Abteilungsleitung keine Überstunden anordnen ___.;Без прямого согласия производственного совета руководству отдела нельзя было назначать сверхурочные часы.;gedurft;durfte;dürfte
lassen;Die Kommune hat den maroden Kinderspielplatz zur Vorbeugung von Unfällen vollständig absperren ___.;Муниципалитет распорядился полностью огородить ветхую детскую площадку во избежание несчастных случаев.;gelassen;ließ;lässt
können;Die Prüfer haben die fehlerhafte Kalkulation erst nach Einsicht in alle internen Protokolle nachweisen ___.;Аудиторы смогли доказать ошибочный расчет лишь после ознакомления со всеми внутренними протоколами.;gekonnt;konnte;könnte
hat;Niemand ahnte, dass die Klinikleitung das Pflegepersonal über Wochen hinweg so viele Überstunden ___ machen lassen.;Никто не подозревал, что руководство клиники неделями заставляло медперсонал брать столько сверхурочных.;habe;hätte;ist
hätte;Wenn der Notarzt die bedrohlichen Vorboten des Infarkts sofort ___ erkennen können, wäre die Hilfe schneller erfolgt.;Если бы врач скорой помощи смог сразу распознать угрожающие предвестники инфаркта, помощь подоспела бы быстрее.;hatte;habe;wäre
sehen;Mehrere Passanten haben den Radfahrer bei Rotlicht über die unübersichtliche Kreuzung fahren ___.;Несколько прохожих видели, как велосипедист ехал на красный свет через перекресток с плохим обзором.;gesehen;sahen;sieht
hören;Die Mieter im zweiten Stock haben ein dumpfes Klopfen aus den Steigleitungen der Heizung kommen ___.;Жильцы на третьем этаже слышали, как из стояков отопления доносился глухой стук.;gehört;hörten;horchen
müssen;Aufgrund unerwarteter Nachzahlungen hat die junge Familie bei den Konsumausgaben drastisch sparen ___.;Из-за неожиданных доплат молодой семье пришлось резко сократить потребительские расходы.;gemusst;musste;müsste
lassen;Wir haben das zerkratzte Display unseres Tablets direkt beim autorisierten Fachhändler austauschen ___.;Мы отдали поцарапанный дисплей планшета на замену напрямую авторизованному дилеру.;gelassen;ließ;lässt
können;Der Schlosser hat das blockierte Zylinderschloss ohne Beschädigung der massiven Haustür öffnen ___.;Слесарь смог открыть заклинивший цилиндровый замок без повреждения массивной входной двери.;gekonnt;konnte;könnte
wollen;Der Verkäufer hat von den ursprünglichen Preisvorstellungen bei den Verhandlungen um keinen Cent abweichen ___.;Продавец на переговорах ни на цент не захотел отступать от первоначальных ценовых ожиданий.;gewollt;wollte;wolle
hat;Dass der Bahnvorstand den Sanierungsfahrplan für das Schienennetz drastisch ___ anpassen müssen, löste Kritik aus.;То, что руководству железных дорог пришлось резко скорректировать план санации путей, вызвало критику.;habe;hätte;ist
lassen;Wenn die Hausverwaltung den Brandschutz ernst genommen hätte, hätte sie die Fluchtwege frei räumen ___.;Если бы домоуправление серьезно относилось к пожарной безопасности, оно распорядилось бы освободить пути эвакуации.;gelassen;gelegt;räumen
dürfen;Aufgrund der strengen Brandschutzordnung hat niemand offenes Feuer auf der Terrasse entzünden ___.;Из-за строгих правил пожарной безопасности никому нельзя было разжигать открытый огонь на террасе.;gedurft;durfte;dürfte
helfen;Die freiwilligen Helfer haben den Flutopfern das eindringende Wasser aus dem Souterrain schöpfen ___.;Волонтеры помогли пострадавшим от наводнения вычерпать хлынувшую воду из цокольного этажа.;geholfen;half;hilft
