hätte;Wenn ich gestern den Wecker gehört ___, wäre ich nicht zu spät zum Dienst erschienen.;Если бы я вчера услышал будильник, я бы не опоздал на службу.;habe;hatte;wäre
wären;Ohne das schnelle Eingreifen der Berufsfeuerwehr ___ die Flammen auf den Dachstuhl übergegangen.;Без быстрого вмешательства пожарной службы пламя перекинулось бы на стропила крыши.;hätten;sind;wurden
hätte;Wenn der Makler den Feuchtigkeitsschaden erwähnt ___, hätte die Familie den Vertrag niemals unterzeichnet.;Если бы маклер упомянул о повреждении от сырости, семья ни за что не подписала бы договор.;hatte;hat;wäre
wäre;Wenn das elektronische Bauteil vorrätig gewesen wäre, ___ die gesamte Anlage noch gestern repariert worden.;Если бы электронная деталь была в наличии, вся установка была бы отремонтирована еще вчера.;hätte;ist;hat
hättet;Ihr ___ die festgestellten Mängel am Mietwagen sofort bei der Fahrzeugübernahme protokollieren lassen müssen.;Вам следовало зафиксировать обнаруженные дефекты прокатного авто сразу при приеме машины в протоколе.;habt;hattet;wäret
wäre;An deiner Stelle ___ ich damals keinesfalls ohne eine verbindliche schriftliche Bestätigung umgezogen.;На твоем месте я тогда ни в коем случае не переезжал бы без обязательного письменного подтверждения.;hätte;bin;war
hätte;Wenn die Behörde die Dokumente zügiger bearbeitet ___, hätten wir die Genehmigung bereits im Vormonat erhalten.;Если бы ведомство обработало документы оперативнее, мы получили бы разрешение еще в прошлом месяце.;hatte;habe;wäre
wären;Wir ___ gerne bis zum Ende der Fachtagung geblieben, aber die letzte Bahn fuhr bereits um einundzwanzig Uhr.;Мы с удовольствием остались бы до конца симпозиума, но последний поезд уходил уже в двадцать один час.;hätten;sind;waren
hätte;Fast ___ der Sachbearbeiter die Fristversäumnis übersehen, wenn der Kollege ihn nicht darauf hingewiesen hätte.;Сотрудник чуть было не упустил пропуск срока, если бы коллега не обратил на это его внимание.;hat;hatte;wäre
wäre;Wenn der Rettungsdienst zehn Minuten später am Unfallort eingetroffen ___, wäre die Situation lebensbedrohlich geworden.;Если бы служба спасения прибыла на место ДТП на десять минут позже, ситуация стала бы угрожающей для жизни.;hätte;ist;war
hätten;Die Prüfer ___ diese gravierende Unstimmigkeit im Jahresbericht eigentlich viel früher aufdecken müssen.;Аудиторы должны были выявить это серьезное несоответствие в годовом отчете значительно раньше.;haben;hatten;wären
wäre;Ich ___ auf den vereisten Stufen vor der Haustür beinahe schwer gestürzt, weil niemand gestreut hatte.;Я едва тяжело не упал на обледенелых ступенях перед входной дверью, так как никто не посыпал дорожку.;hätte;bin;war
hättest;Du ___ die Hauptsicherung vor dem Austausch der Deckenlampe unbedingt ausschalten müssen!;Тебе следовало обязательно отключить главный автомат перед заменой потолочной лампы!;hast;hattest;wärest
wärst;Wenn du direkt nach der Ausbildung in dieses Unternehmen gewechselt ___, wärst du heute schon Teamleiter.;Если бы ты сразу после окончания обучения перешел в эту компанию, ты бы сегодня уже руководил группой.;hättest;bist;warst
hätte;Wenn der Lkw-Fahrer beim Spurwechsel rechtzeitig geblinkt ___, hätte die schwere Kollision vermieden werden können.;Если бы водитель грузовика вовремя включил поворотник при смене полосы, тяжелого столкновения можно было бы избежать.;hat;hatte;wäre
wäre;Ohne das außerordentliche Engagement der Ehrenamtlichen ___ das soziale Projekt damals unweigerlich gescheitert.;Без исключительного участия волонтеров социальный проект тогда неизбежно провалился бы.;hätte;ist;hat
hätten;Wenn wir von den Sperrungen im Schienennetz gewusst ___, hätten wir frühzeitig eine alternative Verbindung gebucht.;Если бы мы знали о перекрытиях на железнодорожных путях, мы бы заблаговременно забронировали альтернативный маршрут.;haben;hatten;wären
wären;Die Monteure ___ bereits zur Mittagszeit mit der Installation fertig gewesen, wenn alle Bauteile geliefert worden wären.;Монтажники завершили бы установку уже к обеду, если бы все детали были доставлены вовремя.;hätten;sind;waren
hätte;Ein aufmerksamer Prüfer ___ diesen gefährlichen Riss im Fahrwerk bei der Hauptuntersuchung sofort bemerkt.;Внимательный эксперт сразу заметил бы эту опасную трещину в ходовой части при техосмотре.;hat;hatte;wäre
wäre;Wenn der Sturm am Nachmittag nicht so heftig aufgezogen ___, wäre der Fährverkehr planmäßig weitergelaufen.;Если бы шторм не разыгрался так сильно во второй половине дня, паромное сообщение продолжилось бы по расписанию.;hätte;ist;war
hättet;Warum habt ihr uns nicht sofort informiert? Ihr ___ uns doch wenigstens eine kurze Nachricht hinterlassen können!;Почему вы сразу нас не проинформировали? Вы могли хотя бы оставить короткое сообщение!;habt;hattet;wäret
wäre;Die Fachkonferenz ___ beinahe ersatzlos ausgefallen, wenn der zweite Referent nicht kurzfristig eingesprungen wäre.;Профильная конференция почти сорвалась бы без замены, если бы второй спикер экстренно не подменил коллегу.;hätte;ist;hat
hätte;Wenn die Hausverwaltung die freiliegenden Wasserleitungen rechtzeitig isoliert ___, wäre der Rohrbruch verhindert worden.;Если бы управляющая компания вовремя утеплила открытые водопроводные трубы, аварии удалось бы избежать.;hatte;hat;wäre
wären;Ohne die auffällige Beschilderung an der Kreuzung ___ zahlreiche Ortsfremde direkt in die Sackgasse geraten.;Без приметных указателей на перекрестке многие приезжие заехали бы прямиком в тупик.;hätten;sind;waren
hätte;Ich ___ mich wirklich schon vor Monaten um die Verlängerung meines abgelaufenen Reisepasses kümmern müssen.;Мне следовало озаботиться продлением просроченного загранпаспорта еще несколько месяцев назад.;habe;hatte;wäre
wäre;Wenn der ausgeschilderte Notausgang nicht durch Kartons versperrt gewesen ___, wäre die Räumung schneller erfolgt.;Если бы обозначенный аварийный выход не был загроможден коробками, эвакуация прошла бы быстрее.;hätte;ist;war
hätten;Die Voreigentümer ___ den beschädigten Holzboden vor der Schlüsselübergabe fachmännisch instand setzen lassen sollen.;Прежним собственникам следовало профессионально отремонтировать поврежденный деревянный пол до передачи ключей.;haben;hatten;wären
wäre;Wenn der Passant nicht zufällig zur richtigen Zeit am Bahnsteig gestanden ___, wäre die Tasche wohl verloren gewesen.;Если бы прохожий случайно не оказался в нужное время на перроне, сумка, скорее всего, была бы утеряна.;hätte;ist;hat
hätte;Beinahe ___ das Buchhaltungsteam den doppelten Rechnungsbetrag angewiesen, wenn die interne Prüfung nicht gegriffen hätte.;Бухгалтерия чуть было не перевела двойную сумму по счету, если бы не сработал внутренний аудит.;hat;hatte;wäre
wären;Wenn alle offenen Posten fristgerecht beglichen worden ___, wären dem Kunden keine Verzugszinsen berechnet worden.;Если бы все задолженности были закрыты в срок, клиенту не начислили бы штрафные проценты.;hätten;sind;wurden
