könnte;Der Defekt an den Leitungen ___ durch die anhaltende Feuchtigkeit im Keller ausgelöst worden sein.;Неисправность проводки, возможно, была вызвана непрекращающейся сыростью в подвале.;will;soll;muss
soll;Die neue Teamleiterin ___ nach Angaben der Kollegen sehr viel Wert auf genaue Dokumentation legen.;Новая руководительница группы, по словам коллег, придает огромное значение точной документации.;will;kann;darf
will;Der Handwerker ___ die poröse Dichtung vor dem Einbau der Duschkabine erneuert haben.;Мастер утверждает, что заменил пористый уплотнитель перед установкой душевой кабины.;soll;dürfte;muss
muss;Der Kfz-Meister schüttelt besorgt den Kopf, der Schaden am Motorblock ___ gravierend sein.;Автомастер обеспокоенно качает головой, повреждение блока цилиндров, должно быть, серьезное.;will;soll;darf
dürfte;Mit den neu installierten Dämmplatten ___ der Energieverbrauch des Wohnblocks sinken.;С недавно установленными изоляционными плитами энергопотребление жилого блока, пожалуй, снизится.;will;soll;muss nicht
könnte;Ein unachtsamer Schnitt beim Verlegen des Bodens ___ das gesamte Reststück unbrauchbar machen.;Неосторожный надрез при укладке пола может сделать весь оставшийся кусок непригодным.;will;soll;muss
soll;Der regionale Verkehrsverbund ___ im kommenden Monat die Ticketpreise moderat anheben.;Региональный транспортный союз, говорят, умеренно поднимет цены на билеты в следующем месяце.;will;kann;darf
will;Der Mieter ___ den Defekt an den Heizkörpern sofort nach dem Auftreten schriftlich gemeldet haben.;Арендатор утверждает, что письменно сообщил о неисправности радиаторов сразу после ее появления.;soll;dürfte;muss
muss;Das Handy entlädt sich nach dreißig Minuten vollständig, der Akku ___ definitiv beschädigt sein.;Телефон полностью разряжается за тридцать минут, аккумулятор точно поврежден.;will;soll;darf
dürfte;Die softwarebasierte Umstellung der Kundendatenbank ___ ohne längere Ausfallzeiten gelingen.;Программный перевод базы данных клиентов, судя по всему, удастся выполнить без долгих простоев.;will;soll;muss nicht
könnte;Ein fehlerhafter Reifendruck ___ auf nasser Fahrbahn zu einem verlängerten Bremsweg führen.;Неправильное давление в шинах на мокрой дороге может привести к увеличению тормозного пути.;will;soll;muss
soll;Ein renommierter IT-Spezialist ___ demnächst einen Fachvortrag über Datensicherheit halten.;Известный IT-специалист, как сообщается, в ближайшее время выступит с экспертным докладом по безопасности данных.;will;kann;darf
will;Der Lieferant ___ alle bestellten Ersatzteile termingerecht vor die Werkstatttür gelegt haben.;Поставщик заявляет, что сложил все заказанные запчасти в срок перед дверью мастерской.;soll;dürfte;muss
