um;Ich sorge mich ___ die Gesundheit meiner Großeltern.;Я беспокоюсь о здоровье моих бабушки и дедушки.;für;über;an
auf;Unsere Firma hat sich ___ Webentwicklung spezialisiert.;Наша фирма специализируется на веб-разработке.;in;an;für
für;Alle Fakten sprechen ___ seine Unschuld.;Все факты говорят в пользу его невиновности.;zu;an;über
gegen;Gibt es Argumente, die ___ diesen Plan sprechen?;Есть ли аргументы, которые говорят против этого плана?;wider;vor;über
an;Jedes Jahr sterben viele Menschen ___ dieser Krankheit.;Каждый год много людей умирает от этой болезни.;von;aus;durch
für;Ich stimme ___ den ersten Kandidaten.;Я голосую за первого кандидата.;auf;an;zu
mit;Er streitet sich oft ___ seinem älteren Bruder.;Он часто ссорится со своим старшим братом.;bei;zu;gegen
um;Die Kinder streiten sich ___ das letzte Stück Kuchen.;Дети ссорятся из-за последнего куска пирога.;über;für;an
nach;Ich suche ___ einem guten Restaurant in der Nähe.;Я ищу хороший ресторан поблизости.;für;auf;um
an;Nimmst du morgen ___ dem Meeting teil?;Ты участвуешь завтра в митинге (встрече)?;in;bei;auf
mit;Ich telefoniere gerade ___ einem wichtigen Kunden.;Я сейчас говорю по телефону с важным клиентом.;bei;zu;an
von;Sie träumt ___ einer Reise um die Welt.;Она мечтает о кругосветном путешествии.;über;aus;mit
zu;Er hat mich ___ diesem Kauf überredet.;Он уговорил меня на эту покупку.;für;an;auf
in;Können Sie diesen Text ___ das Deutsche übersetzen?;Вы можете перевести этот текст на немецкий?;zu;nach;auf
von;Ich bin ___ der Qualität dieses Produkts überzeugt.;Я убежден в качестве этого продукта.;aus;über;durch
mit;Ich habe mich lange ___ ihm unterhalten.;Я долго с ним беседовал.;bei;zu;an
über;Wir haben uns ___ Politik und Wirtschaft unterhalten.;Мы беседовали о политике и экономике.;von;um;auf
von;Wie unterscheidet sich dieses Modell ___ dem Vorgänger?;Чем эта модель отличается от предшественника?;aus;mit;durch
mit;Ich bin heute Abend ___ meinen Freunden verabredet.;Я сегодня вечером договорился о встрече с друзьями.;bei;zu;an
von;Ich muss mich leider schon ___ euch verabschieden.;К сожалению, мне уже нужно с вами попрощаться.;aus;mit;vor
mit;Können Sie mich bitte ___ der IT-Abteilung verbinden?;Можете, пожалуйста, соединить меня с IT-отделом?;zu;an;bei
mit;Man kann Äpfel nicht ___ Birnen vergleichen.;Нельзя сравнивать яблоки с грушами.;zu;an;bei
von;Der Trainer verlangt ___ den Spielern vollen Einsatz.;Тренер требует от игроков полной самоотдачи.;aus;bei;zu
vor;Das Kind versteckt sich ___ seinem Vater.;Ребенок прячется от своего отца.;von;aus;hinter
mit;Ich verstehe mich sehr gut ___ meinen Kollegen.;Я очень хорошо лажу со своими коллегами.;bei;zu;an
von;Er versteht leider gar nichts ___ Autos.;К сожалению, он совершенно ничего не понимает в машинах.;in;über;aus
auf;Du musst ___ deine eigenen Fähigkeiten vertrauen.;Ты должен доверять своим собственным способностям.;in;an;zu
in;Raupen verwandeln sich später ___ Schmetterlinge.;Гусеницы позже превращаются в бабочек.;zu;auf;an
mit;Wir sollten ___ dieser Entscheidung noch warten.;Нам следует еще подождать с этим решением.;bei;zu;an
über;Sie weint ___ das traurige Ende des Films.;Она плачет из-за грустного конца фильма.;auf;an;um
zu;Das kleine Problem ist ___ einer großen Krise geworden.;Маленькая проблема превратилась в большой кризис.;in;auf;nach
um;Wir wetten ___ ein Abendessen, dass ich gewinne.;Мы спорим на ужин, что я выиграю.;für;über;auf
von;Ich wusste gar nichts ___ diesem Treffen.;Я вообще ничего не знал об этой встрече.;über;aus;mit
über;Er weiß sehr viel ___ die deutsche Geschichte.;Он очень много знает об истории Германии.;von;aus;um
über;Ich wundere mich ___ den plötzlichen Wetterwechsel.;Я удивляюсь внезапной перемене погоды.;auf;an;für
zu;Der Wal zählt nicht ___ den Fischen, sondern zu den Säugetieren.;Кит относится не к рыбам, а к млекопитающим.;in;an;unter
mit;Zögern Sie nicht ___ Ihrer Antwort.;Не медлите с вашим ответом.;bei;zu;an
mit;Kommst du gut ___ der neuen Software zurecht?;Ты хорошо справляешься с новым софтом?;bei;zu;an
an;Ich zweifle stark ___ seiner Geschichte.;Я сильно сомневаюсь в его истории.;auf;über;in
zu;Niemand kann dich ___ dieser Unterschrift zwingen.;Никто не может принудить тебя к этой подписи.;für;auf;an
auf den;Ich warte schon seit 20 Minuten ___ Bus.;Я жду автобус уже 20 минут.;auf dem;an den;für den
auf;Wir freuen uns sehr ___ den kommenden Urlaub.;Мы очень ждем предстоящего отпуска.;über;an;für
über;Ich freue mich sehr ___ das schöne Geschenk.;Я очень рад красивому подарку (уже полученному).;auf;für;an
für;Ich interessiere mich sehr ___ moderne Kunst.;Я очень интересуюсь современным искусством.;über;an;mit
um;Er bewirbt sich ___ eine neue Stelle in Berlin.;Он подает заявление на новую должность в Берлине.;für;an;auf
an;Denkst du bitte ___ meinen Geburtstag?;Ты не забудешь (подумаешь) о моем дне рождения?;auf;über;für
an;Ich kann mich leider nicht ___ seinen Namen erinnern.;К сожалению, я не могу вспомнить его имя.;auf;über;um
über;Wir sprechen gerade ___ das neue Projekt.;Мы как раз говорим о новом проекте.;von;um;auf
mit;Ich muss unbedingt ___ meinem Chef sprechen.;Мне нужно срочно поговорить со своим шефом.;bei;zu;von
für;Ich möchte mich ___ die schnelle Hilfe bedanken.;Я хотел бы поблагодарить за быструю помощь.;um;über;an
bei;Er hat sich gestern ___ mir entschuldigt.;Он вчера передо мной извинился.;mit;zu;von
um;Kann ich dich ___ einen Gefallen bitten?;Могу я попросить тебя об одолжении?;für;über;an
zu;Diese Schuhe passen überhaupt nicht ___ meiner Hose.;Эти туфли совершенно не подходят к моим штанам.;mit;an;bei
zu;Ich gratuliere dir herzlich ___ deinem Geburtstag!;Сердечно поздравляю тебя с днем рождения!;für;an;mit
von;Sie träumt schon lange ___ einem eigenen Haus.;Она уже давно мечтает о собственном доме.;über;aus;mit
von;Erzähl mir doch mehr ___ deiner Reise nach Spanien!;Расскажи мне побольше о своей поездке в Испанию!;über;aus;mit
mit;Wir fangen jetzt ___ dem Unterricht an.;Мы сейчас начинаем занятие.;bei;zu;an
mit;Hör bitte auf ___ diesem Lärm!;Пожалуйста, прекрати этот шум!;von;bei;aus
über;Warum ärgerst du dich so sehr ___ deinen Nachbarn?;Почему ты так сильно злишься на своего соседа?;auf;an;für
um;Wer kümmert sich ___ die Katze, wenn ihr im Urlaub seid?;Кто позаботится о кошке, когда вы будете в отпуске?;für;über;an
an;Nimmst du dieses Jahr ___ dem Marathon teil?;Ты участвуешь в марафоне в этом году?;in;bei;auf
auf;Du kannst dich zu 100 Prozent ___ mich verlassen.;Ты можешь на 100 процентов на меня положиться.;an;für;über
auf;Ich versuche, ___ Zucker im Kaffee zu verzichten.;Я пытаюсь отказаться от сахара в кофе.;von;aus;über
auf;Wir hoffen ___ gutes Wetter am Wochenende.;Мы надеемся на хорошую погоду на выходных.;für;über;an
auf;Ich muss mich ___ meine Deutschprüfung vorbereiten.;Мне нужно подготовиться к экзамену по немецкому.;für;zu;vor
an;Ich habe mich schon ___ das deutsche Essen gewöhnt.;Я уже привык к немецкой еде.;auf;zu;in
an;Glaubst du ___ Liebe auf den ersten Blick?;Ты веришь в любовь с первого взгляда?;in;auf;zu
an;Mein Großvater leidet leider ___ einer schweren Krankheit.;К сожалению, мой дедушка болеет тяжелой болезнью (болеет чем-то).;unter;von;aus
unter;Wir leiden sehr ___ dem lauten Verkehr hier.;Мы очень страдаем от шумного движения здесь (страдаем от условий).;an;von;aus
vor;Mein kleiner Bruder hat große Angst ___ Hunden.;Мой младший брат очень боится собак.;von;zu;bei
an;Ich zweifle ___ seiner Ehrlichkeit.;Я сомневаюсь в его честности.;auf;über;in
um;In diesem Film geht es ___ eine wahre Geschichte.;В этом фильме речь идет о реальной истории.;über;für;von
nach;Diese Suppe schmeckt total ___ Knoblauch.;Этот суп на вкус полностью как чеснок.;von;aus;für
über;Ich wundere mich ___ deine Entscheidung.;Я удивляюсь твоему решению.;auf;an;für
über;Hast du dich schon ___ den Kurs informiert?;Ты уже узнал информацию о курсе?;von;auf;um
über;Der Kunde beschwert sich ___ den schlechten Service.;Клиент жалуется на плохой сервис.;auf;für;um
bei;Ich werde mich direkt ___ dem Manager beschweren.;Я буду жаловаться напрямую менеджеру.;mit;zu;an
an;Es liegt ___ dir, wie wir das Problem lösen.;От тебя зависит, как мы решим эту проблему.;bei;von;in
nach;Dieser Duft riecht ___ frischen Blumen.;Этот аромат пахнет свежими цветами.;von;aus;für
für;Wir demonstrieren heute ___ mehr Umweltschutz.;Сегодня мы выходим на демонстрацию за лучшую защиту окружающей среды.;um;über;auf
vor;Er hat mich ___ der Gefahr gewarnt.;Он предупредил меня об опасности.;von;über;aus
aus;Der Kuchen besteht hauptsächlich ___ Schokolade und Mehl.;Пирог состоит в основном из шоколада и муки.;von;mit;in
in;Ich habe mich sofort ___ dieses Lied verliebt.;Я мгновенно влюбился в эту песню.;an;auf;zu
gegen;Wir müssen uns ___ dieses ungerechte Gesetz wehren.;Мы должны защищаться против этого несправедливого закона.;wider;vor;über
um;Sie bemüht sich sehr ___ gute Noten in der Schule.;Она очень старается ради хороших оценок в школе.;für;auf;an
für;Entscheidest du dich ___ das blaue oder das rote Auto?;Ты выбираешь синюю или красную машину?;um;auf;an
nach;Die Touristen fragen ___ dem Weg zum Museum.;Туристы спрашивают дорогу к музею.;über;zu;von
zu;Diese Melodie führt ___ völliger Entspannung.;Эта мелодия приводит к полному расслаблению.;in;auf;nach
mit;Ich bin sehr zufrieden ___ meinem neuen Laptop.;Я очень доволен своим новым ноутбуком.;von;über;bei
über;Lachst du ___ meinen Witz oder mich?;Ты смеешься над моей шуткой или надо мной?;auf;für;um
