Wein;Der Geschäftsführer beschloss, den verunsicherten Mitarbeitern endlich reinen ___ einzuschenken.;Управляющий решил наконец сказать встревоженным сотрудникам чистую правду.;Kaffee;Tee;Saft
Zähne;Trotz der schmerzhaften Niederlage vor Gericht hieß es für die Kläger nun, die ___ zusammenzubeißen.;Несмотря на болезненное поражение в суде, истцам теперь оставалось лишь стиснуть зубы.;Faust;Lippen;Augen
Bruch;Durch das unkooperative Verhalten des Investors ging das vielversprechende Projekt schließlich zu ___;Из-за отказа инвестора от сотрудничества многообещающий проект в итоге пошел ко дну.;Ende;Grunde;Falle
Pferde;Vor einer offiziellen Mitteilung des Ministeriums sollte man die Leute nicht unnötig ___ machen.;До официального сообщения министерства не следует без нужды поднимать панику среди людей.;Hunde;Katzen;Vögel
Schuh;Der Mediator fragte den Mitarbeiter direkt, wo ihn denn im Teamalltag eigentlich der ___ drücke.;Медиатор прямо спросил сотрудника, где именно у него болит (в чем кроется истинная проблема) в командной работе.;Hut;Kragen;Mantel
Trommel;Das Unternehmen rührte monatelang kräftig die ___, um das neue Elektrofahrzeug zu vermarkten.;Компания месяцами активно била в барабаны (наводила шумиху), чтобы продвинуть на рынок новый электромобиль.;Glocke;Münze;Pfeife
Dach;Nach wochenlangen, zähen Verhandlungen brachten die Minister das Abkommen endlich unter ___ und Fach.;После неделями длившихся тяжелых переговоров министры наконец успешно довели соглашение до ума.;Bett;Wand;Tisch
Offenen;Mit dem Vorschlag zur Digitalisierung rannte der Referent bei den Abgeordneten offene ___ ein.;С предложением по цифровизации докладчик ломился к депутатам в открытую дверь.;Türen;Fenster;Tore
Falle;Durch die geschickten Fangfragen des Journalisten tappte der Politiker unversehens in die ___;Из-за ловких вопросов с подвохом от журналиста политик неожиданно угодил в капкан.;Grube;Schlinge;Netz
Hand;Bei der Sanierung des alten Bauernhauses ging den unerfahrenen Eigentümern alles leicht von der ___;При реконструкции старого крестьянского дома у неопытных собственников все спорилось в руках.;Schulter;Seite;Brust
Reine;Die Parteispitzen wollten den monatelangen Streit endlich beilegen und ins ___ bringen.;Руководство партий хотело наконец уладить многомесячный спор и расставить все точки над i.;Klare;Gleiche;Freie
Augen;Der erfahrene Meister drückte bei diesem kleinen Versehen des Auszubildenden noch einmal beide ___ zu.;Опытный мастер на этот мелкий промах ученика еще разок закрыл оба глаза.;Ohren;Hände;Daumen
Rahmen;Ein derart extravagantes Verhalten des Abteilungsleiters fiel bei der Gala völlig aus dem ___.;Столь экстравагантное поведение начальника отдела на торжественном вечере совершенно выходило за рамки.;Bild;Plan;Raster
Sack;Mit dem überraschenden Beschluss des Gemeinderats ist die Finanzierung der Sporthalle nun im ___.;С неожиданным решением муниципального совета финансирование спортзала теперь в кармане (дело в шляпе).;Korb;Kasten;Netz
Faden;Die Entscheidung über die Verlängerung des Vertrags hing tagelang an einem seidenen ___;Решение о продлении договора целыми днями висело на волоске.;dünnen;kurzen;weißen
Spieß;Die Opposition drehte den ___ geschickt um und attackierte die Regierung mit ihren eigenen Zahlen.;Оппозиция ловко повернула стрелы вспять и атаковала правительство его же цифрами.;Stab;Stock;Pfeil
Welle;Die beiden Ingenieure verstanden sich auf Anhieb und schwammen fachlich sofort auf einer ___;Оба инженера поладили с первой секунды и сразу оказались на одной профессиональной волне.;Linie;Seite;Spur
Zweig;Wer dauerhaft über seine finanziellen Verhältnisse lebt, kommt wirtschaftlich auf keinen grünen ___.;Тот, кто постоянно живет не по средствам, в финансовом плане никогда не преуспеет.;Boden;Hügel;Baum
Kranz;Vor der endgültigen Abnahme der Bauarbeiten sollte niemand voreilig den Sieg auf seinen ___ heften.;До окончательной приемки строительных работ никому не следует преждевременно почивать на лаврах.;Schild;Helm;Hut
Bock;Wer den unzuverlässigen Fahrer zum Fuhrparkleiter ernennt, macht den ___ sprichwörtlich zum Gärtner.;Кто назначает ненадежного водителя начальником автопарка, пускает козла в огород.;Wolf;Hund;Bären
Schlauch;Der Buchhalter überlegte minutenlang hin und her, aber im ersten Moment stand er völlig auf dem ___.;Бухгалтер минутами размышлял так и этак, но в первый момент совершенно не мог сообразить, в чем дело.;Kabel;Seil;Gleis
Löffel;Das Traditionsunternehmen weigerte sich bis zum Schluss beharrlich, den ___ vorzeitig abzugeben.;Традиционное предприятие до самого конца упорно отказывалось сложить лапки (признать гибель).;Teller;Stab;Schirm
Regen;Durch den plötzlichen Rückzug des Sponsors geriet der lokale Sportverein vom ___ in die Traufe.;Из-за внезапного ухода спонсора местный спортклуб попал из огня да в полымя.;Dunst;Wind;Schnee
Wasser;Die Argumente der Klägerseite waren so schwach formuliert, dass sie keinem Vergleich das ___ reichen konnten.;Аргументы стороны истца были сформулированы настолько слабо, что и в подметки не годились доводам защиты.;Brot;Salz;Öl
Pulver;Die gegnerische Kanzlei hatte in der ersten Instanz bereits ihr gesamtes juristisches ___ verschossen.;Канцелярия противника уже в первой инстанции расстреляла весь свой юридический порох.;Gift;Feuer;Holz
Zahn;Der Meister fühlte dem jungen Bewerber während des Vorstellungsgesprächs gründlich auf den ___.;Мастер во время собеседования основательно вывел молодого соискателя на чистую воду (прощупал почву).;Nerv;Knochen;Puls
Glocke;Ohne handfeste Beweise sollte der Prüfer die Verdachtsmomente nicht vorzeitig an die große ___ hängen.;Без веских доказательств эксперту не следует преждевременно трубить о подозрениях на весь свет.;Trommel;Fahne;Wand
