vorbehaltlich;Die Genehmigung wird ___ der schriftlichen Zustimmung des Denkmalschutzamtes erteilt.;Разрешение выдается при условии письменного согласия ведомства по охране памятников.;mangels;unbeschadet;anlässlich
beizubringen;Zur Vervollständigung der Akte ist ein beglaubigter Auszug aus dem Handelsregister ___;Для комплектования дела необходимо предоставить заверенную выписку из торгового реестра.;mitzubringen;vorzubringen;einzubringen
rechtskräftig;Nach Ablauf der gesetzlichen Klagefrist wird der vorliegende Verwaltungsakt unanfechtbar und ___;По истечении законного срока подачи иска настоящий административный акт становится неоспоримым и вступает в законную силу.;rechtmäßig;rechtsfähig;rechtsgültig
Bezüglich;___ Ihres Schreibens vom vergangenen Dienstag teilen wir Ihnen den aktuellen Sachstand mit.;Относительно вашего письма от прошлого вторника сообщаем вам текущее состояние дел.;Anlässlich;Unbeschadet;Kraft
Anlass;Das vorliegende Gutachten gibt der Aufsichtsbehörde keinerlei ___ zu beanstandenden Maßnahmen.;Настоящая экспертиза не дает надзорному органу никакого повода для мер взыскания.;Grund;Ursache;Zweck
Einwand;Gegen die geplante Trassenführung kann bis zum Ende der öffentlichen Auslegung schriftlich ___ erhoben werden.;Против планируемой трассировки до окончания периода публичного ознакомления можно письменно заявить возражение.;Widerspruch;Vorbehalt;Anklage
Bescheid;Nach Abschluss des vorgeschriebenen Prüfverfahrens wird der Fachbereich einen förmlichen ___ erteilen.;После завершения предписанной процедуры проверки профильный отдел вынесет официальное решение.;Befehl;Beschluss;Auftrag
wahren;Um eventuelle Rechtsnachteile zu vermeiden, muss der Bürger die gesetzlich vorgegebene Frist ___;Чтобы избежать возможных правовых невыгод, гражданин обязан соблюсти установленный законом срок.;halten;schonen;sichern
versäumen;Wer die Einspruchsfrist schuldhaft sollte ___, verliert in der Regel alle weiteren Rechtsansprüche.;Тот, кто по своей вине упустит срок подачи протеста, как правило, теряет все дальнейшие правовые претензии.;verpassen;verfehlen;verlieren
Glaubhaftmachung;Zur ___ der entstandenen Mehrkosten genügen im vereinfachten Verfahren vorläufige Belege.;Для обоснования возникших дополнительных расходов в упрощенном порядке достаточно предварительных чеков.;Beglaubigung;Bestätigung;Vernehmung
unverzüglich;Jede wesentliche Änderung der persönlichen Einkommensverhältnisse ist der Behörde ___ mitzuteilen.;О любом существенном изменении личных имущественных условий необходимо незамедлительно уведомить ведомство.;pünktlich;rechtzeitig;beschleunigt
ordnungsgemäß;Die Antragsunterlagen gelten erst dann als eingegangen, wenn sie vollständig und ___ unterzeichnet sind.;Документы заявления считаются поступившими только тогда, когда они полностью и надлежащим образом подписаны.;regelmäßig;vorschriftsvoll;behördlich
abzuwenden;Um akute Gefahren für die öffentliche Sicherheit ___, kann die Behörde das Grundstück betreten.;Для предотвращения острых опасностей для общественной безопасности ведомство может зайти на участок.;umzuwenden;anzuwenden;einzuwenden
einzuhalten;Die im Brandschutzkonzept formulierten Sicherheitsabstände sind während der Bauphase strikt ___;Сформулированные в концепции пожарной безопасности расстояния должны строго соблюдаться в ходе стройки.;aufzuhalten;festzuhalten;behalten
vorzulegen;Der Nachweis über die geleistete Sicherheitsleistung ist der Amtskasse binnen drei Tagen ___;Подтверждение внесения обеспечительного платежа должно быть предъявлено в кассу ведомства в течение трех дней.;abzulegen;beizulegen;einzulegen
entziehen;Bei schwerwiegenden Verstößen gegen Hygieneauflagen kann das Ordnungsamt die Betriebserlaubnis ___;При грубых нарушениях санитарно-гигиенических предписаний отдел правопорядка может отозвать разрешение на эксплуатацию.;abnehmen;kündigen;verweigern
erwirken;Der Gläubiger versuchte beim zuständigen Vollstreckungsgericht, einen Pfändungsbeschluss zu ___;Кредитор попытался добиться в компетентном суде исполнения вынесения постановления об аресте имущества.;erarbeiten;bewirken;auswirken
festzusetzen;Die Höhe der zu erstattenden Auslagen ist im Einzelfall nach pflichtgemäßem Ermessen ___;Размер подлежащих возмещению издержек в отдельном случае надлежит определить по надлежащему усмотрению.;anzusetzen;auszusetzen;einzusetzen
einreichen;Gewerbetreibende müssen ihre Steuererklärungen auf gesichertem elektronischem Wege ___.;Предприниматели обязаны подавать свои налоговые декларации защищенным электронным путем.;abgeben;überreichen;vortragen
gewähren;In besonderen Härtefällen kann die Kommune eine zinslose Stundung der fälligen Gewerbesteuer ___;В исключительных тяжелых случаях муниципалитет может предоставить беспроцентную отсрочку промыслового налога.;abgeben;erteilen;zusichern
anhängig;Das Verfahren zur Feststellung der Schadenshöhe ist derzeit noch beim Oberverwaltungsgericht ___;Процесс по установлению размера ущерба в настоящее время еще находится на рассмотрении в Высшем административном суде.;vorliegend;zuständig;anhaltend
Vorbehalt;Die Überweisung des Förderzuschusses erfolgt unter dem ausdrücklichen ___, dass der Prüfbericht positiv ausfällt.;Перечисление субсидии производится с прямым условием, что отчет ревизии окажется положительным.;Verdacht;Vorwand;Rückhalt
Anlässlich;___ des Inkrafttretens des novellierten Verwaltungsverfahrensgesetzes wurden neue Richtlinien erlassen.;По случаю вступления в силу обновленного закона об административном производстве были изданы новые директивы.;Mangels;Vorbehaltlich;Zufolge
