Applaus;Nach dem Konzert gab es großen ___;После концерта были бурные аплодисменты;Tisch;Baum;Wagen
kaufe;Ich ___ heute frisches Brot beim Bäcker;Сегодня я покупаю свежий хлеб в пекарне;schlafe;singe;weine
gedächtnis;Mein Großvater hat ein sehr gutes ___;У моего дедушки очень хорошая память;Baum;Apfel;Tisch
wirklichkeit;In ___ ist alles ganz anders passiert;В действительности все произошло совсем иначе;Lampe;Wand;Gabel
bestraft;Der Täter wurde für sein Verbrechen hart ___;Преступник был сурово наказан за свое преступление;getrunken;geschlafen;gegessen
Kreis;Wir sitzen alle zusammen in einem ___;Мы все сидим вместе в кругу;Baum;Apfel;Tisch
reine;Das ist doch ___ Zeitverschwendung;Это же чистая трата времени;laute;kalte;nasse
Schlimmes;Ich hoffe, es ist nichts ___ passiert;Я надеюсь, ничего плохого не случилось;lautes;kaltes;nasses
erscheint;Das neue Magazin ___ jeden Monat;Новый журнал выходит каждый месяц;schläft;weint;singt
ewigkeit;Ich habe dich ja eine halbe ___ nicht gesehen;Я же тебя целую вечность не видел;Lampe;Wand;Gabel
Störung;Entschuldigen Sie bitte die kurze ___;Пожалуйста, извините за короткую помеху;Lampe;Wand;Gabel
hässlich;Das alte Gebäude in der Mitte ist wirklich ___;Старое здание в центре действительно уродливое;salzig;süß;nass
lauft;Warum ___ ihr denn so schnell weg?;Почему вы так быстро убегаете?;schlaft;singt;weint
angezogen;Ich habe mir heute einen warmen Pullover ___;Сегодня я надел теплый свитер;getrunken;gegessen;geschlafen
half;Mein bester Freund ___ mir beim Umzug;Мой лучший друг помог мне с переездом;schlief;sang;weinte
sollt;Ihr ___ eure Hausaufgaben machen;Вы должны делать свои домашние задания;schlaft;singt;weint
tiger;Der ___ im Zoo hat sehr scharfe Zähne;У тигра в зоопарке очень острые зубы;Baum;Apfel;Tisch
zigarette;Er raucht nach dem Essen gerne eine ___;Он любит выкурить сигарету после еды;Lampe;Wand;Gabel
linken;Ich habe mir den ___ Fuß verletzt;Я повредил левую ногу;lauten;kalten;nassen
