behandeln;Der erfahrene Facharzt muss den schwer kranken Patienten mit wirksamen Medikamenten ___.;Опытный врач-специалист должен лечить тяжелобольного пациента эффективными медикаментами.;schlafen;trinken;kochen
bewerten;Am Ende der mündlichen Sprachprüfung muss die Prüfungskommission die Leistung der Studenten objektiv ___.;В конце устного языкового экзамена экзаменационная комиссия должна объективно оценить результаты студентов.;schlafen;kochen;trinken
prüfen;Bevor der Mechaniker die Plakette erteilt, muss er die Bremsen und die Lenkung des Autos gründlich ___.;Прежде чем механик выдаст техосмотр, он должен основательно проверить (проэкзаменовать) тормоза и рулевое управление машины.;schlafen;kochen;trinken
testen;Vor dem Verkauf des neuen Elektroautos auf dem Markt muss die Firma den Akku unter extremen Winterbedingungen ___.;Перед продажей нового электромобиля на рынке фирма должна протестировать (испытать) аккумулятор в экстремальных зимних условиях.;schlafen;kochen;trinken
untersuchen;Um die genaue Ursache der Magenschmerzen herauszufinden, muss der Arzt das Blut des Patienten im Labor ___.;Чтобы выяснить точную причину болей в желудке, врач должен исследовать (обследовать) кровь пациента в лаборатории.;schlafen;kochen;trinken
erfinden;Der geniale Ingenieur arbeitet in seiner Werkstatt Tag und Nacht, um eine völlig neuartige Technologie zu ___.;Гениальный инженер работает в своей мастерской день и ночь, чтобы изобрести совершенно новую технологию.;schlafen;kochen;trinken
entwickeln;Das Softwareunternehmen möchte innerhalb der nächsten sechs Monate eine benutzerfreundliche neue App ___.;Компания по разработке софта хочет в течение следующих шести месяцев разработать удобное новое мобильное приложение.;schlafen;kochen;trinken
verbessern;Durch fleißiges Vokabellernen und tägliches Sprechen kann man seine Deutschkenntnisse in kurzer Zeit enorm ___.;Благодаря прилежному заучиванию слов и ежедневной разговорной практике можно за короткое время колоссально улучшить свое знание немецкого.;verschlechtern;schlafen;kochen
verändern;Wenn eine Familie in eine fremde Großstadt zieht, wird dieser große Umzug den gesamten Alltag von Grund auf ___.;Когда семья переезжает в чужой мегаполис, этот большой переезд в корне изменит всю повседневную жизнь.;beibehalten;schlafen;kochen
anpassen;Wer in ein fremdes Land auswandert, muss seine Gewohnheiten und seinen Lebensstil oft an die neue Kultur ___.;Кто эмигрирует в чужую страну, часто должен адаптировать (приспособить) свои привычки и образ жизни к новой культуре.;schlafen;kochen;trinken
Veranstaltung;Am Samstag findet in der großen Stadthalle eine feierliche musikalische ___ mit vielen Künstlern statt.;В субботу в большом городском зале состоится торжественное музыкальное мероприятие с участием многих артистов.;pause;Kündigung;Operation
Aufführung;Die Premiere des neuen Theaterstücks war ein voller Erfolg, das Publikum spendete nach der zweistündigen ___ tosenden Applaus.;Премьера нового спектакля прошла с полным успехом, публика наградила двухчасовое представление (постановку) бурными аплодисментами.;Beratung;Kündigung;Mahnung
bühne;Die Sänger und Musiker stehen im Scheinwerferlicht oben auf den Holzbrettern der großen Konzert-___.;Певцы и музыканты стоят в свете софитов наверху на деревянных подмостках большой концертной сцены.;küche;garage;werkstatt
publikum;Im voll besetzten Saal klatschen die begeisterten Zuhörer und Zuschauer im Takt der Musik, das tolle ___ jubelt laut.;В переполненном зале восторженные слушатели и зрители хлопают в такт музыке, замечательная публика громко ликует.;orchester;personal;kollegium
zuschauer;Tausende Menschen sitzen auf den Rängen des Fußballstadions und verfolgen das spannende Spiel als begeisterte ___.;Тысячи людей сидят на трибунах футбольного стадиона и следят за захватывающим матчем как увлеченные зрители.;spieler;schiedsrichter;trainer
darsteller;Die talentierten Schauspieler auf der Bühne überzeugten die Kritiker in jeder Szene, jeder einzelne ___ spielte fantastisch.;Талантливые актеры на сцене убедили критиков в каждой сцене, каждый отдельный исполнитель (актер) играл фантастически.;zuschauer;kassierer;platzanweiser
schauspieler;Er hat an einer berühmten Theaterakademie Schauspiel studiert und arbeitet heute beim Film als professioneller ___.;Он учился актерскому мастерству в знаменитой театральной академии и сегодня работает в кино профессиональным актером.;handwerker;gärtner;kellner
regisseur;Der kreative Leiter des Films instruiert die Schauspieler und bestimmt die Kameraperspektive, der erfahrene Film-___ führt Regie.;Творческий руководитель фильма инструктирует актеров и определяет ракурс камеры, опытный кинорежиссер руководит съемками.;zuschauer;kritiker;kassierer
leinwand;Im Kinosaal wird der neue Hollywood-Blockbuster mit einem Projektor auf diese riesige weiße Stofffläche projiziert, auf die ___.;В кинозале новый голливудский блокбастер проецируется проектором на эту огромную белую ткань — на киноэкран (полотно).;wandtafel;bühne;fensterscheibe
kinoabend;Am Freitag treffen wir uns gemütlich mit Popcorn und Cola vor der großen Leinwand für einen entspannten ___.;В пятницу мы уютно встречаемся с попкорном и колой перед большим экраном для расслабленного киновечера.;hausputz;arbeitstag;bürotag
festival;Jeden Sommer versammeln sich zehntausende Musikbegeisterte auf dem freien Feld zu einem dreitägigen Open-Air-___.;Каждое лето десятки тысяч любителей музыки собираются на открытом поле на трехдневный фестиваль под открытым небом.;seminar;vorstellungsgespräch;meeting
Feierlichkeit;Die Verleihung der goldenen Medaillen fand im festlich geschmückten Rathaussaal im Rahmen einer würdevollen ___ statt.;Вручение золотых медалей состоялось в празднично украшенном зале ратуши в рамках торжественной церемонии (торжества).;Streitigkeit;beschwerde;Kündigung
festakt;Zum fünfzigjährigen Bestehen der Universität versammelten sich Professoren und Politiker zu einem offiziellen akademischen ___.;К пятидесятилетию университета профессора и политики собрались на официальное академическое торжественное собрание (акт).;hausputz;streit;unfall
jubiläum;Dieses Jahr besteht unser traditionsreicher Familienbetrieb seit genau hundert Jahren, wir feiern ein großes Firmen-___.;В этом году нашему семейному предприятию с богатыми традициями исполняется ровно сто лет, мы празднуем большой юбилей фирмы.;Missverständnis;konflikt;Begräbnis
Tradition;Das gemeinsame Schmücken des Tannenbaums an Heiligabend ist in unserer Familie eine uralte und geliebte ___.;Совместное украшение рождественской елки в Сочельник — старинная и любимая традиция в нашей семье.;pflicht;vorschrift;strafe
warenkorb;Beim Einkaufen im Onlineshop legt man alle ausgewählten Produkte mit einem Klick virtuell in den digitalen ___.;При покупках в интернет-магазине все выбранные товары одним кликом виртуально складывают в цифровую корзину покупок.;mülleimer;briefkasten;kofferraum
versandkosten;Für die Paketzustellung mit der Post verlangt der Händler zusätzlich zum Kaufpreis fünf Euro für Verpackung und ___.;За доставку посылки почтой продавец требует в дополнение к цене покупки пять евро за упаковку и почтовые расходы (стоимость доставки).;mietkosten;heizkosten;zinsen
zahlungsart;An der Onlineshop-Kasse wählt der Kunde zwischen Kreditkarte, PayPal oder Rechnung als bevorzugte ___.;На кассе интернет-магазина клиент выбирает между кредитной картой, PayPal или счетом в качестве предпочтительного способа оплаты.;lieferzeit;warengruppe;kleidergröße
rechnungsbetrag;Unten auf dem Zahlungsformular steht die fällige Gesamtsumme inklusive Mehrwertsteuer, der genaue ___.;Внизу платежного бланка указана общая сумма к оплате с учетом НДС — точная сумма счета.;kontostand;rabatt;pfandbetrag
sonderpreis;Wegen der Neueröffnung des Supermarkts gibt es den Qualitätskaffee diese Woche zum unschlagbar billigen ___.;По случаю открытия супермаркета качественный кофе на этой неделе продается по непревзойденно дешевой специальной цене (акционной цене).;normalpreis;höchstpreis;strafpreis
preisnachlass;Weil die Waschmaschine an der Seite eine kleine Delle hatte, gewährte der Verkäufer dem Kunden einen Rabatt und ___.;Поскольку стиральная машина имела сбоку небольшую вмятину, продавец предоставил клиенту скидку и снижение цены (скидку).;aufpreis;zuschlag;mietpreis
lieferzeit;Auf der Website steht, dass das Paket erst in drei bis fünf Werktagen beim Kunden ankommt, die voraussichtliche ___.;На сайте указано, что посылка прибудет клиенту только через три-пять рабочих дней — ориентировочный срок доставки.;öffnungszeit;sprechzeit;arbeitszeit
lagerbestand;Im Computersystem prüft der Händler, wie viele Fernseher noch vorrätig im Regal liegen, den aktuellen ___.;В компьютерной системе торговец проверяет, сколько телевизоров еще есть в наличии на полках — актуальный складской запас (наличие на складе).;schuldenstand;wasserstand;kontostand
Reklamation;Wegen des zerrissenen Hemdes ging der Kunde verärgert ins Geschäft und reichte an der Information eine offizielle ___ ein.;Из-за порванной рубашки клиент раздосадованный пошел в магазин и подал в справочную официальную рекламацию (жалобу на товар).;Danksagung;Bestellung;Bewerbung
umtausch;Weil ihm der Pullover nicht gefiel, brachte er ihn mit dem Kassenbon zurück in den Laden für einen unkomplizierten ___.;Так как свитер ему не понравился, он принес его с чеком назад в магазин для беспроблемного обмена товара.;verkauf;kauf;widerruf
kundenservice;Wenn ein Paket beschädigt geliefert wurde, wendet man sich telefonisch an die Hilfsabteilung der Firma, an den freundlichen ___.;Если посылка доставлена поврежденной, по телефону обращаются в отдел поддержки фирмы — в дружелюбную службу поддержки клиентов.;betriebsrat;gemeinde;rechnungshof
Verpackung;Um das zerbrechliche Porzellan beim Transport vor Bruch zu schützen, wickelt man es in eine dicke Schicht aus Karton und ___.;Чтобы защитить хрупкий фарфор при транспортировке от боя, его заворачивают в толстый слой картона и защитную упаковку.;Kleidung;Nahrung;bettwäsche
Bestellung;Nach dem Abschicken des Warenkorbs im Internet erhielt der Kunde eine Bestätigungsmail über seine erfolgreiche Waren-___.;После отправки корзины в интернете клиент получил подтверждающее письмо о своем успешном заказе товара.;Kündigung;Krankmeldung;Abmahnung
kaufbeleg;Um ein defektes Gerät im Laden umtauschen zu können, muss man an der Kasse die Quittung vorlegen, den offiziellen ___.;Чтобы иметь возможность обменять дефектный прибор в магазине, на кассе нужно предъявить чек — официальное подтверждение покупки (товарный чек).;fahrschein;reisepass;arbeitsvertrag
Zahlungsbestätigung;Sobald das Geld auf dem Bankkonto eingegangen ist, schickt der Onlineshop dem Käufer automatisch eine digitale ___.;Как только деньги поступили на банковский счет, интернет-магазин автоматически отправляет покупателю цифровое подтверждение оплаты.;Kündigung;Mahnung;Abmahnung
Forschung;Wissenschaftler im Institut führen jahrelang Experimente durch, um neue Medikamente zu entwickeln, moderne medizinische ___.;Ученые в институте годами проводят эксперименты, чтобы разработать новые лекарства — современные медицинские исследования.;freizeit;urlaubsreise;schulpause
Wissenschaftler;Er forscht an der Universität über Quantenphysik und veröffentlicht Fachaufsätze, dieser hochgebildete akademische ___.;Он исследует в университете квантовую физику и публикует научные статьи — этот высокообразованный академический ученый.;Handwerker;Kaufmann;Kellner
Erfindung;Das Rad, die Glühbirne und das Internet haben die Menschheit revolutioniert, jede einzelne geniale historische ___.;Колесо, электрическая лампочка и интернет произвели революцию в человечестве — каждое отдельное гениальное историческое изобретение.;Lüge;Täuschung;Fehlentscheidung
Entwicklung;Die kontinuierliche Verbesserung der Computertechnologie in den letzten Jahrzehnten ist eine beispiellose technische ___.;Непрерывное совершенствование компьютерных технологий в последние десятилетия — беспрецедентное техническое развитие (эволюция).;Zerstörung;Verwahrlosung;Stagnation
Fortschritt;Die Erfindung von Antibiotika und Impfstoffen brachte der modernen Medizin einen gewaltigen lebensrettenden ___.;Изобретение антибиотиков и вакцин принесло современной медицине колоссальный спасающий жизни прогресс.;Rückschritt;Stillstand;Verfall
Kenntnis;Für die Stelle im internationalen Vertrieb verlangt das Unternehmen eine fundierte und verhandlungssichere Sprach-___.;Для работы в международном сбыте компания требует глубокое и свободное (на уровне переговоров) знание языка.;Unwissenheit;Ahnungslosigkeit;Faulheit
Fähigkeit;Schnell logisch zu denken und Probleme selbstständig zu lösen, ist eine außerordentlich wertvolle geistige ___.;Быстро логически мыслить и самостоятельно решать проблемы — исключительно ценная умственная способность (навык).;Schwäche;Unfähigkeit;Trägheit
Begabung;Schon mit fünf Jahren spielte das Kind fehlerfrei Mozart auf dem Klavier, ein Mädchen mit außergewöhnlicher musikalischer ___.;Уже в пять лет ребенок безошибочно играл Моцарта на пианино — девочка с исключительной музыкальной одаренностью (талантом).;Ungeschicklichkeit;Taubheit;Schwäche
Talent;Er trifft beim Fußball aus jeder Position das Tor und dribbelt mühelos, dieser Nachwuchsspieler hat ein riesiges sportliches ___.;Он в футболе забивает гол из любой позиции и легко обыгрывает соперников — у этого молодого игрока огромный спортивный талант.;Pech;Unvermögen;Schwäche
Schwerpunkt;Im Masterstudium der Germanistik wählte sie historische Sprachwissenschaft als ihren persönlichen fachlichen ___.;В магистратуре по германистике она выбрала историческое языкознание в качестве своего личного профильного направления (основного упора).;Nebensache;Freizeitfach;Ruhepunkt
Theorie;In den Vorlesungen an der Universität lernt man viele abstrakte Modelle und formale Gesetze, die wissenschaftliche ___.;На лекциях в университете изучают множество абстрактных моделей и формальных законов — научную теорию.;Praxis;Werkstatt;Handarbeit
Praxis;Im Unterschied zum reinen Lehrbuchwissen sammelt der angehende Chirurg wichtige Erfahrungen bei Operationen in der klinischen ___.;В отличие от чистых книжных знаний будущий хирург накапливает важный опыт при операциях в клинической практике.;Theorie;Vorlesung;Bibliothek
Erkenntnis;Nach jahrelanger intensiver Forschung im Labor kamen die Biologen zu einer bahnbrechenden neuen wissenschaftlichen ___.;После многолетних интенсивных исследований в лаборатории биологи пришли к революционному новому научному открытию (пониманию/выводу).;Täuschung;Fehlannahme;Verwirrung
Ergebnisbericht;Am Ende des sechsmonatigen Forschungsprojekts verfasste der Projektleiter für das Ministerium einen schriftlichen detaillierten ___.;В конце шестимесячного исследовательского проекта руководитель составил для министерства подробный письменный итоговый отчет (отчет о результатах).;Wunschzettel;Märchentext;Fahrplan
Unterrichtsstunde;In der Schule dauert eine reguläre Lehreinheit für Mathematik oder Geschichte genau fünfundvierzig Minuten, eine volle ___.;В школе регулярный учебный блок по математике или истории длится ровно сорок пять минут — полный урок (учебный час).;Pause;Ferienwoche;Schulreise
Behörde;Das städtische Finanzamt und die Ausländerbehörde sind offizielle staatliche Dienststellen, jede einzelne ist eine amtliche ___.;Городское финансовое управление и ведомство по делам иностранцев — официальные государственные учреждения, каждое из них — официальное ведомство (орган власти).;Firma;Privatwohnung;Fabrik
Amt;Um seinen Wohnsitz anzumelden oder einen Personalausweis abzuholen, geht der Bürger auf das zuständige städtische Bürger-___.;Чтобы зарегистрировать место жительства или забрать удостоверение личности, гражданин идет в соответствующее городское ведомство (управление).;Geschäft;Kaufhaus;Kino
Sachbearbeiter;Der zuständige Beamte im Büro prüfte alle eingereichten Antragsunterlagen sehr gewissenhaft, der freundliche ___ half gern.;Компетентный служащий в кабинете очень добросовестно проверил все поданные документы заявления, приветливый специалист (делопроизводитель) охотно помог.;Kunde;Besucher;Zuschauer
Bürgerbüro;Im Erdgeschoss des Rathauses erledigen die Einwohner ihre Pässe und Meldeangelegenheiten an den Schaltern im zentralen ___.;На первом этаже ратуши жители оформляют свои паспорта и регистрационные вопросы у окошек в центральном офисе обслуживания граждан (ЦОН).;Finanzamt;Gerichtssaal;Polizeigefängnis
Strafzettel;Weil der Autofahrer im absoluten Halteverbot ohne Parkschein parkte, klemmte die Politesse hinter den Scheibenwischer einen ___.;Поскольку водитель припарковался под знаком «Остановка запрещена» без парковочного талона, инспектор прикрепила под дворник квитанцию на штраф (штрафной талон).;Fahrschein;Lottoschein;Geldschein
Regelung;Für die Pausenzeiten und das Rauchverbot im Betrieb erarbeitete die Firmenleitung mit den Mitarbeitern eine verbindliche interne ___.;Для перерывов и запрета курения на предприятии руководство выработало с сотрудниками обязательное внутреннее правило (регулирование).;Unordnung;Willkür;Streitigkeit
Bürgerpflicht;Bei den Wahlen seine Stimme abzugeben und die Gesetze des Landes einzuhalten, gilt für jeden Staatsbürger als grundlegende ___.;Отдать свой голос на выборах и соблюдать законы страны считается для каждого гражданина фундаментальной гражданской обязанностью (долгом).;Freizeitaktivität;Empfehlung;Belohnung
Rechtsschutz;Um bei juristischen Streitigkeiten die hohen Anwalts- und Gerichtskosten abgesichert zu haben, schließt man eine Versicherung für den ___ ab.;Чтобы при юридических спорах застраховать высокие расходы на адвоката и суд, заключают страховку правовой защиты.;Diebstahlschutz;Brandschutz;Klimaschutz
Kriminalität;Durch mehr Polizeistreifen und Überwachungskameras auf den Straßen sank in der Großstadt die Zahl der Verbrechen und die gesamte ___.;Благодаря увеличению полицейских патрулей и камер наблюдения на улицах в мегаполисе снизилось число преступлений и общая преступность (криминал).;Sicherheit;Ordnung;Ruhe
Polizeibericht;In der Zeitung druckte die Redaktion eine Zusammenfassung über die Unfälle und Diebstähle des vergangenen Wochenendes ab, den täglichen ___.;В газете редакция напечатала сводку об авариях и кражах за прошедшие выходные — ежедневную полицейскую сводку (отчет полиции).;Wetterbericht;Sportbericht;Kulturbericht
Diebstahl;Weil ein Unbekannter die Handtasche der Dame im Café unbemerkt mitgenommen hatte, erstattete sie bei der Polizei Anzeige wegen ___.;Поскольку неизвестный незаметно унес сумочку дамы в кафе, она подала в полицию заявление о краже (хищении).;Kauf;Schenkung;Spende
Einbruch;Mitten in der Nacht schlugen Diebe die Terrassentür ein und stahlen Schmuck aus dem Einfamilienhaus, ein schwerer nächtlicher ___.;Среди ночи воры выбили балконную дверь и украли драгоценности из частного дома — тяжелый ночной взлом (кража со взломом).;Hausbesuch;Umzug;Renovierung
Verkehrssicherheit;Regelmäßige Autokontrollen, gute Straßenbeleuchtung und Tempolimits vor Schulen dienen dem Schutz aller Verkehrsteilnehmer und der ___.;Регулярные техосмотры, хорошее уличное освещение и скоростные ограничения перед школами служат защите всех участников движения и безопасности дорожного движения.;Luftverschmutzung;Geschwindigkeit;Fahrzeit
Zeugenaussage;Die Passantin, die den Unfall beobachtet hatte, schilderte dem Polizisten den genauen Ablauf und machte eine wichtige ___.;Прохожая, наблюдавшая аварию, описала полицейскому точный ход событий и сделала важные свидетельские показания.;Anklage;Verurteilung;Bestrafung
Tatort;Die Kriminalpolizei sperrte den Bereich um das aufgebrochene Juweliergeschäft mit gelbem Band ab, um Spuren zu sichern am ___.;Криминальная полиция оцепила территорию вокруг взломанного ювелирного магазина желтой лентой, чтобы снять следы на месте преступления.;Wohnort;Urlaubsort;Sportplatz
talentiert;Die junge Pianistin spielt schwierige Stücke mit elf Jahren absolut meisterhaft, sie ist musikalisch unheimlich begabt und hochgradig ___.;Молодая пианистка исполняет сложные пьесы в одиннадцать лет абсолютно мастерски — она музыкально невероятно одарена и в высшей степени талантлива.;unfähig;unbegabt;schwach
begabt;Er lernt eine neue Fremdsprache in nur drei Monaten mühelos und spricht fließend, für Sprachen ist er extrem talentiert und sprachlich hoch-___.;Он осваивает новый иностранный язык всего за три месяца без усилий и говорит бегло, к языкам он чрезвычайно способен и одарен.;unbegabt;faul;müde
fähig;Dieser erfahrene Ingenieur findet für jedes technische Problem sofort eine clevere Lösung, er ist fachlich außerordentlich kompetent und extrem ___.;Этот опытный инженер находит для любой технической проблемы сразу умное решение — он профессионально исключительно компетентен и крайне способен.;unfähig;hilflos;dumm
unfähig;Er schaffte es nicht einmal, eine Glühbirne einzudrehen, und verlor jeden Job nach zwei Wochen, bei handwerklichen Arbeiten war er völlig ___.;Он не сумел даже вкрутить лампочку и терял любую работу через две недели — в ручном труде он был совершенно неспособен (беспомощен).;fähig;kompetent;talentiert
theoretisch;Auf dem Papier klingt der mathematische Beweis absolut perfekt, diese rein gedankliche Überlegung ist vorerst nur rein ___.;На бумаге математическое доказательство звучит абсолютно идеально, это чисто умозрительное рассуждение пока чисто теоретическое.;praktisch;angewandt;handwerklich
wertvoll;Diese historische goldene Münze aus dem Mittelalter ist eine echte Rarität und für Sammler extrem teuer und unendlich ___.;Эта историческая золотая монета из Средневековья — настоящая редкость и для коллекционеров чрезвычайно дорога и бесконечно ценна.;wertlos;billig;unbrauchbar
bedeutend;Johann Wolfgang von Goethe gilt weltweit als einer der wichtigsten und einflussreichsten deutschen Schriftsteller, ein historisch überaus ___er Autor.;Иоганн Вольфганг фон Гёте считается во всем мире одним из важнейших и влиятельнейших немецких писателей — исторически чрезвычайно значимый (выдающийся) автор.;unbedeutender;unwichtiger;unbekannter
unbedeutend;Dass er heute fünf Minuten zu spät zur Vorlesung kam, hatte keinerlei Folgen, dieses kleine Vorkommnis war für die Note völlig belanglos und ___.;То, что он сегодня опоздал на пять минут на лекцию, не имело никаких последствий, это маленькое происшествие для оценки было совершенно незначительным.;bedeutend;wichtig;schwerwiegend
angemessen;Für die harte und anstrengende Nachtarbeit zahlte die Firma ihren Pflegern einen fairen und den schwierigen Bedingungen voll ___en Lohn.;За тяжелую и утомительную ночную работу фирма платила своим санитарам справедливую и полностью соответствующую (соразмерную) трудным условиям зарплату.;unangemessenen;ungerechten;niedrigen
unangemessen;Auf einer feierlichen Beerdigung laute Witze zu erzählen und laut zu lachen, empfanden alle Trauergäste als zutiefst unpassend, respektlos und absolut ___.;Рассказывать громкие анекдоты и громко смеяться на торжественных похоронах все присутствующие сочли глубоко неуместным, неуважительным и абсолютно неподобающим.;angemessen;passend;höflich
üblich;In Deutschland ist es traditioneller Brauch, sich zur Begrüßung bei geschäftlichen Treffen fest die Hand zu geben, das ist im Geschäftsleben vollkommen ___.;В Германии традиционный обычай при приветствии на деловых встречах крепко пожимать руку — в деловой жизни это совершенно общепринято (обычно).;unüblich;verboten;selten
unüblich;Dass ein Arzt seine Patienten im Schlafanzug in der Praxis empfängt, kommt im medizinischen Alltag niemals vor und ist extrem befremdlich und völlig ___.;То, чтобы врач принимал своих пациентов в пижаме в кабинете, в медицинской практике никогда не случается и чрезвычайно странно и совершенно необычно (не принято).;üblich;normal;alltäglich
gewöhnlich;Unter normalen Alltagsbedingungen ohne Feiertage steht der Angestellte montags bis freitags immer zur selben Zeit auf, das ist sein ganz ___er Tagesablauf.;В нормальных повседневных условиях без праздников служащий встает с понедельника по пятницу всегда в одно и то же время — это его совершенно обычный распорядок дня.;ungewöhnlicher;seltsamer;außergewöhnlicher
ungewöhnlich;Dass es mitten im Juli im Flachland plötzlich heftig schneit und friert, ist für den Hochsommer extrem seltsam und wettertechnisch höchst ___.;То, что в середине июля на равнине внезапно идет сильный снег и мороз, для разгара лета крайне странно и по погоде в высшей степени необычно.;gewöhnlich;normal;alltäglich
auffällig;Er trug mitten im Winter eine neongelbe Jacke und eine riesige Sonnenbrille, durch dieses bunte Outfit war er in der Menschenmenge extrem gut sichtbar und ___.;Он носил среди зимы неоново-желтую куртку и огромные солнечные очки — благодаря этому яркому наряду он в толпе людей был чрезвычайно приметен и бросался в глаза (быть приметным).;unauffällig;unscheinbar;versteckt
