festnehmen;Die Polizei konnte den flüchtigen Bankräuber nach einer kurzen Verfolgungsjagd auf der Straße ___.;Полиция смогла задержать (арестовать) беглого грабителя банка после короткой погони на улице.;Schlafen;kochen;trinken
Meeresspiegel;Durch das Schmelzen der polaren Eismassen steigt das weltweite Niveau des Ozeanwassers gefährlich an, der globale ___.;Из-за таяния полярных ледяных масс опасным образом поднимается всемирный уровень океанических вод — глобальный уровень моря.;Luftdruck;Grundwasserspiegel;Flusspegel
Landschaft;Sanfte grüne Hügel, weite Wälder und glitzernde Seen prägen das wunderschöne visuelle Panorama dieser malerischen Natur-___.;Пологие зеленые холмы, широкие леса и сверкающие озера формируют прекрасную визуальную панораму этого живописного природного ландшафта (пейзажа).;Stadtplanung;Wohnsiedlung;Industriehalle
Klimaschutz;Die Reduzierung von Treibhausgasen und der Umstieg auf erneuerbare Energien sind die dringendsten Aufgaben für einen wirksamen weltweiten ___.;Сокращение парниковых газов и переход на возобновляемые источники энергии — неотложнейшие задачи для эффективной всемирной защиты климата.;Lärmschutz;Datenschutz;Denkmalschutz
Artenschutz;Gesetze gegen Wilderei und die Bewahrung von Rückzugsräumen für bedrohte Tiere und Pflanzen dienen dem weltweiten biologischen ___.;Законы против браконьерства и сохранение ареалов обитания для исчезающих животных и растений служат всемирной охране видов (биологическому сохранению видов).;Verbraucherschutz;Mieterschutz;Brandschutz
Lebensraum;Das feuchte Moor bietet seltenen Fröschen, Vögeln und Gräsern eine unverzichtbare Heimat, ihren natürlichen ökologischen ___.;Влажное болото предоставляет редким лягушкам, птицам и травам незаменимую родину — их естественную экологическую среду обитания (биотоп).;Wohnbereich;Arbeitsplatz;Turnsaal
ehrgeizig;Sie lernt bis spät in die Nacht und will unbedingt die beste Prüfungsnote des ganzen Jahrgangs erzielen, sie ist unheimlich zielstrebig und ___.;Она учится допоздна и непременно хочет получить лучшую экзаменационную оценку на всем курсе — она невероятно целеустремленна и честолюбива (амбициозна).;faul;träge;gleichgültig
selbstbewusst;Er trat ohne jedes Zögern vor das große Publikum, sprach mit fester Stimme und wirkte auf alle Zuhörer extrem sicher und ___.;Он без малейших колебаний вышел перед большой публикой, говорил твердым голосом и производил на всех слушателей впечатление крайне уверенного в себе человека.;unsicher;ängstlich;schüchtern
unsicher;Bei der Beantwortung der Prüfungsfragen zitterte seine Stimme und er wusste nicht, ob die Lösung stimmte, er wirkte extrem nervös und ___.;При ответе на экзаменационные вопросы его голос дрожал и он не знал, правилен ли ответ — он выглядел крайне нервным и неуверенным в себе.;selbstbewusst;mutig;Stark
verlegen;Als er vor allen Leuten ein unerwartetes Kompliment für sein Aussehen bekam, errötete er bis über beide Ohren und schaute peinlich berührt und ___ zu Boden.;Когда он перед всеми людьми получил неожиданный комплимент своей внешности, он покраснел до ушей и смущенно (сконфуженно) посмотрел в пол.;selbstsicher;frech;Stolz
zurückhaltend;Auf Partys steht er lieber am Rand, redet nur leise mit engen Freunden und drängt sich nie in den Mittelpunkt, er ist von Natur aus sehr ___.;На вечеринках он предпочитает стоять в сторонке, тихо говорит только с близкими друзьями и никогда не лезет в центр внимания — он от природы очень сдержан (скромен).;aufdringlich;laut;frech
aufgeschlossen;Sie geht ohne Vorurteile auf Menschen aus fremden Ländern zu und interessiert sich für neue Ideen, sie ist kulturell unheimlich offen und ___.;Она без предрассудков идет навстречу людям из чужих стран и интересуется новыми идеями — она культурно невероятно открыта и отзывчива (восприимчива к новому).;verschlossen;Intolerant;stur
kontaktfreudig;Schon nach fünf Minuten im Zug unterhält er sich mit allen Sitznachbarn bestens und schließt Freundschaften, er ist ausgesprochen gesellig und ___.;Уже через пять минут в поезде он отлично общается со всеми соседями по купе и заводит дружбу — он исключительно общителен (контактен).;einsam;schüchtern;menschenscheu
misstrauisch;Weil er früher oft betrogen wurde, glaubt er fremden Menschen kein einziges Wort mehr und begegnet jedem Angebot extrem skeptisch und ___.;Поскольку раньше его часто обманывали, он больше не верит незнакомым людям ни единому слову и встречает любое предложение крайне скептически и подозрительно (с недоверием).;vertrauensvoll;naiv;gutgläubig
vertrauensvoll;Die kleine Tochter legte ihre Hand ohne Angst in die Hand ihres Vaters und folgte ihm im dichten Gedränge voller Zuversicht und ganz ___.;Маленькая дочка без страха вложила свою ручку в руку отца и следовала за ним в плотной толпе, полная уверенности и совершенно доверчиво.;misstrauisch;ängstlich;skeptisch
gewissenhaft;Der Buchhalter prüfte jede einzelne Rechnung dreimal nach und übersah keinen einzigen Cent, er arbeitete absolut exakt und extrem ___.;Бухгалтер перепроверил каждый отдельный счет трижды и не упустил ни единого цента — он работал абсолютно точно и крайне добросовестно.;nachlässig;schlampig;oberflächlich
nachlässig;Er warf die wichtigen Dokumente einfach ungeordnet in die Ecke und vergaß Fristen, seine Arbeitsweise war furchtbar unordentlich und grob ___.;Он просто бросал важные документы неразобранными в угол и забывал дедлайны — его стиль работы был ужасно беспорядочным и грубо небрежным (халатным).;gewissenhaft;sorgfältig;ordentlich
stur;Obwohl alle Argumente gegen seinen Plan sprachen, weigerte er sich nachzugeben und beharrte uneinsichtig auf seiner Meinung, er war furchtbar dickköpfig und ___.;Хотя все аргументы говорили против его плана, он отказался уступить и неблагоразумно настаивал на своем мнении — он был ужасно упрямым (твердолобым).;nachgiebig;kompromissbereit;einsichtig
vernünftig;Statt sein ganzes Erspartes für Luxus auszugeben, legte er Geld für Notfälle zurück, das war eine wohlüberlegte, kluge und sehr ___e Entscheidung.;Вместо того чтобы спустить все сбережения на роскошь, он отложил деньги на экстренный случай — это было взвешенное, умное и очень благоразумное (разумное) решение.;unvernünftige;Dumme;leichtsinnige
unvernünftig;Mitten im eisigen Schneesturm ohne warme Jacke und Schuhe in die Berge zu wandern, ist lebensgefährlich, leichtsinnig und absolut ___.;Идти в поход в горы посреди ледяного бурана без теплой куртки и обуви — опасно для жизни, легкомысленно и абсолютно неразумно (безрассудно).;vernünftig;klug;vorsichtig
großzügig;Der reiche Geschäftsmann spendete eine Million Euro an das Kinderkrankenhaus und gab im Restaurant viel Trinkgeld, er ist spendabel und extrem ___.;Богатый бизнесмен пожертвовал миллион евро детской больнице и оставил в ресторане много чаевых — он щедр и чрезвычайно великодушен (щедр).;Geizig;knauserig;kleinlich
