begegnen;Wenn ich morgens durch den Park laufe, kann ich zufällig alten Bekannten ___.;Когда я утром бегаю по парку, я могу случайно встретить старых знакомых.;kochen;schlafen;trinken
nachschlagen;Wenn ich die genaue Bedeutung eines Wortes nicht weiß, muss ich im Wörterbuch schnell ___.;Если я не знаю точного значения слова, я должен быстро посмотреть (справиться) в словаре.;kochen;schlafen;trinken
Reiseleiter;Der Fremdenführer zeigt der Reisegruppe die Sehenswürdigkeiten der Stadt, unser kompetenter ___ erklärt alles.;Экскурсовод показывает туристической группе достопримечательности города, наш компетентный гид (руководитель группы) всё объясняет.;Koch;Arzt;Schaffner
Gepäckaufbewahrung;Vor dem Check-in im Hotel stellen wir unsere schweren Koffer am Bahnhof in die sichere ___.;Перед заселением в отель мы оставляем наши тяжелые чемоданы на вокзале в надежной камере хранения багажа.;Apotheke;Küche;Turnhalle
Doppelzimmer;Mein Mann und ich haben für unseren Urlaub ein gemütliches Hotelzimmer mit einem großen Ehebett gebucht, ein ___.;Мой муж и я забронировали для нашего отпуска уютный номер в отеле с большой двуспальной кроватью — двухместный номер.;Einzelzimmer;Zelt;Fahrrad
Einzelzimmer;Da ich ganz allein reise, brauche ich nur ein kleines Zimmer mit einem einzigen Bett, ein günstiges ___.;Так как я путешествую совсем один, мне нужна только маленькая комната с одной кроватью — недорогой одноместный номер.;Doppelzimmer;Turnhalle;Klassenzimmer
Halbpension;Im Reisepreis ist nur das tägliche Frühstück und das Abendessen enthalten, wir haben im Hotel die Verpflegungsart ___ gebucht.;В стоимость поездки включены только ежедневный завтрак и ужин, мы забронировали в отеле тип питания полупансион.;Vollpension;Küche;Wohnung
Vollpension;Wer im Urlaub Frühstück, Mittagessen und Abendessen komplett im Hotel bezahlt haben möchte, wählt als Rundum-Verpflegung die ___.;Кто в отпуске хочет получить завтрак, обед и ужин полностью оплаченными в отеле, выбирает в качестве полного пансиона полный пансион.;Halbpension;Garage;Terrasse
Rezeption;Beim Betreten des Hotels geht man zum Empfangstresen, um bei der Dame an der ___ einzuchecken.;При входе в отель подходят к стойке регистрации, чтобы зарегистрироваться у дамы на ресепшене.;Küche;Garage;Werkstatt
Hotelgast;Jeder Reisende, der ein Zimmer im Gasthof gemietet hat und dort übernachtet, gilt offiziell als ___.;Каждый путешественник, который снял номер в гостинице и ночует там, официально считается постояльцем отеля (гостем).;Koch;Kellner;Hausmeister
Stadtrundfahrt;Um die wichtigsten Attraktionen Berlins bequem kennenzulernen, machen die Touristen im Doppeldeckerbus eine organisierte ___.;Чтобы удобно познакомиться с главнейшими достопримечательностями Берлина, туристы совершают на двухэтажном автобусе организованную обзорную экскурсию по городу.;Hausaufgabe;Operation;Pause
Reiseführer;In meiner Tasche habe ich ein handliches Buch mit Stadtplänen und Restauranttipps für Venedig, einen informativen ___.;В моей сумке лежит удобная книжка с картами города и советами по ресторанам для Венеции — информативный путеводитель.;Kugelschreiber;Fahrschein;Reisepass
Sitzplatz;Im vollen Zug nach Hamburg hatte ich zum Glück vorab einen bequemen Fenster-___ reserviert.;В переполненном поезде в Гамбург я, к счастью, заранее зарезервировал удобное сидячее место у окна.;Stehplatz;Fahrradweg;Parkplatz
Schlafwagen;Auf der langen Nachtfahrt mit der Bahn nach Wien bucht man ein Abteil mit Betten im bequemen ___.;В долгую ночную поездку на поезде в Вену бронируют купе с кроватями в удобном спальном вагоне.;Güterwagen;Speisewagen;Gepäckwagen
Rückfahrkarte;Ich kaufe am Schalter nicht nur das Ticket für die Hinfahrt, sondern gleich auch die passende ___ für die Heimfahrt.;Я покупаю в кассе не только билет на поездку туда, но сразу и подходящий обратный билет на дорогу домой.;Eintrittskarte;Speisekarte;Postkarte
Tageskarte;Wer den ganzen Tag unbegrenzt mit allen Bussen und Bahnen im Stadtgebiet fahren will, kauft sich am Automaten eine günstige ___.;Кто хочет весь день без ограничений ездить на всех автобусах и поездах в городской черте, покупает в автомате выгодный суточный (дневной) проездной билет.;Monatskarte;Jahreskarte;Kreditkarte
Monatskarte;Für Pendler, die jeden Tag zur Arbeit fahren, lohnt sich statt vieler Einzeltickets eine für vier Wochen gültige ___.;Для маятниковых мигрантов, которые каждый день ездят на работу, вместо множества разовых билетов выгодна действующая четыре недели месячная проездная карта.;Tageskarte;Einzelkarte;Speisekarte
Speiseöl;Um Fleisch in der Pfanne anzubraten oder Salat anzumachen, braucht man flüssiges Sonnenblumen- oder ___.;Чтобы обжарить мясо на сковороде или заправить салат, требуется жидкое подсолнечное или пищевое растительное масло.;Essig;Wasser;Milch
Mineralwasser;Ich habe großen Durst und bestelle mir im Lokal eine kühle Flasche kohlensäurehaltiges ___ mit Zitrone.;Меня мучает сильная жажда, и я заказываю в заведении прохладную бутылку газированной минеральной воды с лимоном.;Milch;Bier;Kaffee
Orangensaft;Zum Frühstück trinke ich gerne ein frisches Glas aus gelben Zitrusfrüchten gepressten süßen ___.;На завтрак я охотно пью свежий стакан выжатого из желтых цитрусовых фруктов сладкого апельсинового сока.;Kaffee;Tee;Essig
Apfelsaft;In Deutschland mischt man diesen süßen gelben Fruchtsaft gerne mit Sprudel zu einer Apfelschorle, den reinen ___.;В Германии этот сладкий желтый фруктовый сок любят смешивать с газировкой в яблочный шорли — чистый яблочный сок.;Bier;Wein;Essig
Rotwein;Zu einem kräftigen Rinderbraten serviert der Kellner im bauchigen Glas einen dunklen, trockenen ___ aus roten Trauben.;К сытному жаркому из говядины официант подает в пузатом бокале темное сухое красное вино из красного винограда.;Weißwein;Bier;Kaffee
Weißwein;Zu frischem Lachs oder Meeresfrüchten trinkt man am liebsten ein kühles Glas hellen, spritzigen ___ aus weißen Trauben.;К свежему лососю или морепродуктам охотнее всего пьют прохладный бокал светлого игристого белого вина из белого винограда.;Rotwein;Kaffee;Tee
Bierglas;Der Kellner zapft das herbe Pils vom Fass und füllt es mit einer Schaumkrone in ein großes gläsernes ___.;Официант наливает терпкий пилснер из бочки и наливает его с пенной шапкой в большой стеклянный пивной бокал (стакан).;Teetasse;Weinflasche;Kaffeetasse
Weinglas;Für die feine Weinverkostung steht auf dem Tisch dieser elegante Kelch mit einem dünnen Stiel, das ___.;Для изысканной дегустации вин на столе стоит этот элегантный бокал на тонкой ножке — винный бокал.;Bierkrug;Kaffeetasse;Suppentopf
Kaffeetasse;Morgens schenke ich mir den heißen Filterkaffee aus der Kanne direkt in eine dicke weiße Porzellan-___ ein.;Утром я наливаю себе горячий фильтр-кофе из кофейника прямо в толстую белую фарфоровую кофейную чашку.;Suppenschüssel;Bierflasche;Weinflasche
Teekanne;Um heißen Kamillentee für vier Gäste aufzubrühen, fülle ich kochendes Wasser in diese runde Porzellan-___ mit Henkel.;Чтобы заварить горячий ромашковый чай на четверых гостей, я наливаю кипяток в этот круглый фарфоровый заварочный чайник с ручкой.;Kaffeemühle;Bratpfanne;Suppenschüssel
Pfeffermühle;Um frische schwarze Pfefferkörner direkt über das Steak zu mahlen, dreht man oben am Kopf dieser hölzernen ___.;Чтобы помолоть свежие черные горошины перца прямо на стейк, крутят верхнюю часть этой деревянной мельницы для перца.;Zuckerdose;Kaffeetasse;Teekanne
Salzstreuer;Aus diesem kleinen Glasgefäß mit feinen Löchern im Deckel rieselt das weiße Speisesalz auf das Frühstücksei, aus dem ___.;Из этой маленькой стеклянной емкости с мелкими дырочками в крышке сыплется белая поваренная соль на яйцо к завтраку — из солонки.;Pfeffermühle;Zuckerdose;Teekanne
Zuckerdose;Für die süßen Gäste steht neben den Teetassen dieses kleine Porzellangefäß voller weißer Kristallkörnchen, die praktische ___.;Для гостей-сладкоежек рядом с чайными чашками стоит эта маленькая фарфоровая емкость, полная белых кристалликов — удобная сахарница.;Salzstreuer;Pfeffermühle;Senftube
Brotkorb;Die frischen Brötchen und Brotscheiben legt man beim Frühstück appetitlich hinein in diesen geflochtenen hölzernen ___.;Свежие булочки и ломтики хлеба на завтрак аппетитно выкладывают в эту плетеную деревянную хлебную корзинку.;Mülleimer;Kühlschrank;Topf
Serviette;Nach dem Essen wischt man sich mit diesem quadratischen Stück weichem Papier oder Stoff den Mund ab, mit einer sauberen ___.;После еды этим квадратным кусочком мягкой бумаги или ткани вытирают рот — чистой салфеткой.;Bettdecke;Gardine;Krawatte
Gesicht;Wenn sie sich freut, strahlen die Augen und ein Lächeln erhellt ihr ganzes freundliches ___.;Когда она радуется, глаза сияют и улыбка озаряет всё ее приветливое лицо.;Bein;Knie;Fuß
Nacken;Durch das stundenlose Arbeiten am Computer tut mir hinten am Hals die Muskulatur weh, ich habe Schmerzen im steifen ___.;Из-за многочасовой работы за компьютером сзади на шее у меня болят мышцы, у меня боли в затекшей затылочной части шеи (загривке).;Zahn;Bauch;Zunge
Kehle;Nach dem schnellen Dauerlauf war mein Mund völlig trocken und der Staub kratzte mir schrecklich tief in der heißen ___.;После быстрого непрерывного бега мой рот полностью пересох и пыль страшно першила глубоко в горячей глотке (горле).;Nase;Stirn;Wange
Muskel;Wer im Fitnessstudio regelmäßig schwere Gewichte stemmt, stärkt an Armen und Beinen jeden einzelnen dicken ___.;Кто в тренажерном зале регулярно поднимает тяжелые веса, укрепляет на руках и ногах каждую отдельную крупную мышцу.;Knochen;Zahn;Zunge
Knochen;Das menschliche Skelett besteht aus über zweihundert festen Teilen aus Kalk, der härteste Teil im Bein ist der Schenkel-___.;Человеческий скелет состоит более чем из двухсот прочных частей из кальция, самая твердая часть в ноге — бедренная кость.;Muskel;Zunge;Lippe
Gelenk;Knie, Ellbogen und Schulter sind bewegliche Verbindungen zwischen Knochen und bilden im Körper ein flexibles Scharnier-___.;Колено, локоть и плечо — подвижные соединения между костями и образуют в теле гибкий шарнирный сустав.;Muskel;Haar;Nagel
Müdigkeit;Nach zwanzig Stunden ohne Schlaf fielen mir die Augen zu vor lauter Erschöpfung und bleierner ___.;После двадцати часов без сна у меня закрывались глаза от одной лишь истощенности и свинцовой усталости.;Hunger;Durst;Freude
Hunger;Seit gestern Mittag habe ich nichts gegessen, mein Magen knurrt laut vor lauter unerträglichem ___.;Со вчерашнего обеда я ничего не ел, мой желудок громко урчит от невыносимого голода.;Durst;Müdigkeit;Freude
Durst;Nach der langen Wanderung in der Wüstenhitze brauchte er dringend zwei Liter Wasser gegen den brennenden ___.;После долгого перехода по жаре в пустыне ему срочно потребовалось два литра воды против мучительной жажды.;Hunger;Müdigkeit;Kälte
Kraft;Um diesen zentnerschweren Stein vom Weg zu heben, braucht man enorme körperliche Stärke und ungeheure Muskel-___.;Чтобы поднять этот центнерный камень с дороги, требуется огромная физическая сила и неимоверная мощь (сила) мышц.;Schwäche;Müdigkeit;Angst
Schwäche;Nach drei Tagen mit vierzig Grad Fieber zitterten seine Knie vor körperlicher Entkräftung und großer ___.;После трех дней с сорокаградусной температурой его колени дрожали от физического истощения и сильной слабости.;Kraft;Stärke;Energie
Mut;Wer nachts ins kalte Wasser springt, um ein ertrinkendes Tier zu retten, beweist große Tapferkeit und echten ___.;Кто ночью прыгает в холодную воду, чтобы спасти тонущее животное, доказывает большую храбрость и истинное мужество (смелость).;Angst;Feigheit;Faulheit
Trauer;Nach dem schmerzlichen Verlust eines geliebten Menschen weinen die Verwandten und spüren tiefe dunkle ___.;После болезненной утраты любимого человека родственники плачут и чувствуют глубокую темную скорбь (печаль).;Freude;Glück;Lust
Wut;Als er sah, dass sein Auto absichtlich zerkratzt worden war, kochte in ihm die rasende Empörung und blinde ___.;Когда он увидел, что его машину нарочно поцарапали, в нем закипело яростное возмущение и слепая ярость (гнев).;Freude;Ruhe;Geduld
Freude;Als sie die Zusage für ihren absoluten Traumberuf im Briefkasten fand, sprang sie vor lauter Jubel und riesiger ___ in die Luft.;Когда она нашла в почтовом ящике согласие на работу своей мечты, она подпрыгнула в воздух от ликования и огромной радости.;Trauer;Wut;Sorge
Hauptstadt;Berlin ist der Regierungssitz und mit knapp vier Millionen Einwohnern die größte deutsche Metropole und offizielle ___.;Берлин — резиденция правительства и с почти четырьмя миллионами жителей крупнейший немецкий мегаполис и официальная столица.;Vorort;Kleinstadt;Dorf
Großstadt;Hamburg, München und Köln haben jeweils mehr als eine Million Bürger und sind typische deutsche Beispiele für eine riesige ___.;Гамбург, Мюнхен и Кёльн имеют более чем по миллиону жителей и являются типичными немецкими примерами гигантского крупного города (мегаполиса).;Dorf;Kleinstadt;Bauernhof
Kleinstadt;Dieser beschauliche Ort hat nur zehntausend Einwohner, zwei Bäcker und einen kleinen Bahnhof, eine typische ruhige ___.;В этом спокойном местечке всего десять тысяч жителей, две пекарни и маленький вокзал — типичный тихий небольшой городок.;Großstadt;Metropole;Hauptstadt
Vorort;Viele Familien wohnen nicht im lauten Zentrum, sondern im Grünen am Stadtrand, in einem ruhigen ___.;Многие семьи живут не в шумном центре, а на природе на окраине города, в спокойном пригороде.;Zentrum;Innenstadt;Altstadt
Landkreis;Mehrere kleinere Dörfer und Gemeinden werden administrativ zusammengefasst zu einem regionalen Verwaltungsbezirk, einem ländlichen ___.;Несколько небольших деревень и общин административно объединяются в региональный округ управления — сельский район (округ).;Bundesland;Staat;Stadtteil
Marktplatz;Jeden Samstagmorgen bauen die Händler ihre Stände für Obst und Gemüse im Herzen der Altstadt auf, auf dem zentralen ___.;Каждое субботнее утро торговцы расставляют свои палатки для фруктов и овощей в самом сердце старого города — на центральной рыночной площади.;Hauptbahnhof;Flughafen;Autobahn
Rathausplatz;Direkt vor dem historischen Sitz des Bürgermeisters versammeln sich die Bürger zur Kundgebung auf dem gepflasterten ___.;Прямо перед исторической резиденцией бургомистра граждане собираются на митинг на мощеной ратушной площади.;Flughafen;Autobahn;Parkplatz
Brunnen;Mitten auf dem Platz plätschert klares Wasser aus den steinernen Figuren dieses alten Wasserspiels, aus einem antiken ___.;Посреди площади журчит прозрачная вода из каменных фигур этого старого фонтана — из старинного фонтана (источника).;Mülleimer;Briefkasten;Schornstein
Denkmal;Im Park steht eine bronzene Statue zu Ehren des berühmten Dichters, ein historisches geschütztes Kultur-___.;В парке стоит бронзовая статуя в честь знаменитого поэта — исторический охраняемый памятник культуры.;Verkehrsschild;Mülleimer;Fahrrad
Gartenbank;Im schattigen Garten unter dem alten Apfelbaum steht diese bequeme Sitzgelegenheit aus Holz, eine weiße hölzerne ___.;В тенистом саду под старой яблоней стоит это удобное место для сидения из дерева — белая деревянная садовая скамейка.;Küche;Garage;Wohnung
Bürgersteig;Fußgänger laufen nicht mitten auf der Fahrbahn zwischen den Autos, sondern sicher am Straßenrand oben auf dem gepflasterten ___.;Пешеходы идут не посреди проезжей части между машинами, а безопасно по краю дороги наверху по мощеному тротуару.;Fahrbahn;Autobahn;Gleis
Radweg;Für Fahrräder gibt es neben der Straße eine eigens rot markierte Spur für Radfahrer, einen separaten ___.;Для велосипедов рядом с дорогой есть специально отмеченная красным полоса для велосипедистов — отдельная велодорожка.;Bürgersteig;Autobahn;Fußgängerzone
Fußweg;Durch den Park führt ein schmaler Schotterpfad nur für Spaziergänger ohne Autoverkehr, ein ruhiger grüner ___.;Через парк ведет узкая гравийная тропинка только для прогуливающихся без автомобильного движения — спокойная зеленая пешеходная дорожка.;Autobahn;Fahrbahn;Gleis
Parkbank;Die beiden Rentner setzen sich im Grünen ausruhend auf diese öffentliche grüne Sitzbank im Park, auf eine freie ___.;Двое пенсионеров присаживаются на природе отдохнуть на эту общественную зеленую скамейку в парке — на свободную парковую скамейку.;Küche;Badewanne;Dusche
Straßenlaterne;Sobald es abends dämmert, schaltet die Stadt die hohen elektrischen Lampen am Straßenrand ein, jede einzelne helle ___.;Как только вечером смеркается, город включает высокие электрические фонари у края дороги — каждый отдельный яркий уличный фонарь.;Haustür;Mülltonne;Parkbank
lebendig;Der kleine Vogel fiel aus dem Nest, aber sein Herz schlägt noch kräftig, er ist zum Glück noch am Leben und vollkommen ___.;Маленькая птичка выпала из гнезда, но ее сердечко еще сильно бьется, она, к счастью, еще жива и абсолютно живая.;tot;leblos;verstorben
tot;Der alte Baum im Garten trägt seit Jahren keine Blätter mehr und ist im Stamm völlig vertrocknet, er ist leider mausetot und ganz ___.;Старое дерево в саду уже годы не дает листьев и в стволе полностью засохло, оно, к сожалению, мертво и совсем мертвое.;lebendig;frisch;grün
giftig;Diesen rot gepunkteten Fliegenpilz im Wald darf man auf keinen Fall essen, dieser gefährliche Pilz ist für den Menschen hochgradig ___.;Этот красный мухомор в крапинку в лесу ни в коем случае нельзя есть, этот опасный гриб для человека в высшей степени ядовит.;essbar;gesund;bekömmlich
essbar;Champignons und Steinpilze aus dem Wald kann man bedenkenlos in der Pfanne braten und genießen, sie sind ungiftig und lecker-___.;Шампиньоны и белые грибы из леса можно без опасений жарить на сковороде и есть с удовольствием, они неядовиты и съедобны.;giftig;ungenießbar;schädlich
trinkbar;Das Wasser aus diesem sauberen Gebirgsbach ist rein und klar, man kann es ohne Bedenken trinken, es ist absolut frisch und gut ___.;Вода из этого чистого горного ручья чиста и прозрачна, ее можно пить без всяких опасений, она абсолютно свежая и вполне пригодна для питья.;giftig;salzig;schmutzig
brauchbar;Dieser alte Holzstuhl wackelt zwar etwas, aber man kann noch gut darauf sitzen, er ist für die Werkstatt noch absolut nützlich und ___.;Этот старый деревянный стул хоть и качается немного, но на нем еще можно хорошо сидеть, он для мастерской еще абсолютно полезен и пригоден к использованию.;wertlos;kaputt;unbrauchbar
wertlos;Dieses alte kaputte Plastikspielzeug ohne Räder kann man nur noch wegwerfen, es hat keinen materiellen Wert mehr und ist völlig ___.;Эту старую сломанную пластиковую игрушку без колес можно только выбросить, она больше не имеет материальной ценности и совершенно бесполезна (ничего не стоит).;wertvoll;teuer;kostbar
überflüssig;Wir haben schon vier Dosenöffner in der Schublade, ein fünfter Kauf wäre reine Geldverschwendung und absolut unnötig und ___.;У нас уже четыре консервных ножа в ящике, пятая покупка была бы пустой тратой денег и абсолютно излишней.;notwendig;wichtig;dringend
notwendig;Um in Deutschland legal Auto zu fahren, ist ein gültiger Führerschein gesetzlich vorgeschrieben und zwingend ___.;Чтобы легально водить машину в Германии, действующие водительские права предписаны законом и обязательно необходимы.;überflüssig;nutzlos;sinnlos
schüchtern;Der kleine Junge traut sich nicht, fremde Kinder anzusprechen, versteckt sich hinter Mamas Rock und ist sehr zurückhaltend und ___.;Маленький мальчик не решается заговорить с незнакомыми детьми, прячется за мамину юбку и очень робок и застенчив.;mutig;frech;laut
eifersüchtig;Er rastet jedes Mal aus, wenn seine Freundin mit einem anderen Mann nur redet, er ist krankhaft misstrauisch und extrem ___.;Он выходит из себя каждый раз, когда его девушка просто говорит с другим мужчиной, он болезненно подозрителен и крайне ревнив.;großzügig;ruhig;gelassen
neidisch;Weil sein Kollege ein neues teures Auto bekommen hat, ärgert er sich missgünstig und ist furchtbar missgünstig und ___ auf ihn.;Потому что его коллега получил новый дорогой автомобиль, он злобно злится и ужасно завистлив по отношению к нему.;dankbar;hilfsbereit;freigiebig
dankbar;Nachdem mir der Nachbar beim schweren Tragen der Möbel geholfen hatte, war ich ihm für seine Unterstützung unendlich ___.;После того как сосед помог мне с тяжелой переноской мебели, я был ему за его поддержку бесконечно благодарен.;undankbar;wütend;böse
hilfsbereit;Sie packt immer sofort mit an, wenn jemand auf der Straße Hilfe braucht, sie ist eine sehr soziale, nette und ___e Frau.;Она всегда сразу же подключается, когда кому-то на улице нужна помощь, она очень отзывчивая, милая и готовая помочь женщина.;egoistische;faule;böse
geizig;Er hat Millionen auf dem Bankkonto, kauft sich aber nie ein Eis und gibt keinen einzigen Cent Trinkgeld, er ist unheimlich knauserig und ___.;У него миллионы на банковском счете, но он никогда не купит себе мороженое и не даст ни цента чаевых, он невероятно скуп и жаден.;großzügig;freigiebig;spendabel
