bauen;Die Familie hat ein Stück Land gekauft und will dort ein neues Einfamilienhaus ___.;Семья купила участок земли и хочет построить там новый частный дом.;kochen;trinken;schlafen
Honig;Die fleißigen Bienen sammeln Nektar von den Blüten und machen daraus wunderbar süßen, klebrigen gelben ___.;Трудолюбивые пчелы собирают нектар с цветков и делают из него чудесный сладкий липкий желтый мед.;Essig;Pfeffer;Senf
Getränk;Wenn man an einem heißen Tag Durst hat, bestellt man sich im Café ein kühles Erfrischungs-___.;Когда в жаркий день мучает жажда, в кафе заказывают прохладный освежающий напиток.;Möbel;Kleid;Schuh
Nachtisch;Nach dem deftigen Hauptgericht bestellen wir uns als süßen Abschluss noch ein feines Eis zum ___.;После сытного основного блюда мы заказываем себе в качестве сладкого завершения еще изысканное мороженое на десерт.;Frühstück;Mittagessen;Vormittag
Speise;Auf der Speisekarte im Restaurant findet man für jeden Geschmack eine warme oder kalte traditionelle ___.;В меню ресторана можно найти на любой вкус теплое или холодное традиционное кушанье (блюдо).;Reise;Farbe;Zeitung
Pfanne;Um Spiegeleier zu braten, stellt man dieses flache Kochgeschirr mit Stiel auf die heiße Herdplatte, nämlich eine runde ___.;Чтобы пожарить яичницу-глазунью, эту плоскую посуду с ручкой ставят на горячую конфорку плиты, а именно круглую сковороду.;Gabel;Tasse;Flasche
Topf;Um zehn Liter Nudelsuppe für die ganze Familie zu kochen, brauche ich einen tiefen metallenen ___ mit Deckel.;Чтобы сварить десять литров супа с лапшой для всей семьи, мне нужна глубокая металлическая кастрюля с крышкой.;Teller;Löffel;Becher
Löffel;Die heiße Gemüsesuppe isst man nicht mit den Fingern oder einer Gabel, sondern schöpft sie mit einem tiefen ___.;Горячий овощной суп едят не пальцами или вилкой, а зачерпывают его глубокой ложкой.;Messer;Flasche;Glas
Gabel;Zum Aufspießen der Spaghetti benutzt man dieses Besteckteil mit den vier spitzen Zinken, nämlich eine feine ___.;Чтобы накалывать спагетти, используют этот столовый прибор с четырьмя острыми зубцами, а именно изящную вилку.;Löffel;Messer;Tasse
Messer;Das Brot ist sehr hart, ich brauche eine scharfe Klinge und muss es mit einem guten Küchen-___ schneiden.;Хлеб очень черствый, мне нужно острое лезвие и я должен отрезать его хорошим кухонным ножом.;Löffel;Gabel;Tasse
Wohnzimmer;Dort stehen unser großes Sofa und der Fernseher, wir verbringen den gemütlichen Feierabend immer im bequemen ___.;Там стоят наш большой диван и телевизор, мы проводим уютный вечер после работы всегда в удобной гостиной.;Keller;Küche;Flur
Schlafzimmer;In diesem ruhigen Raum steht unser Doppelbett mit zwei Kissen und wir gehen abends hinein ins dunkle ___.;В этой тихой комнате стоит наша двуспальная кровать с двумя подушками, и мы идем вечером внутрь в темную спальню.;Küche;Garage;Keller
Kinderzimmer;Die Kleinen spielen dort auf dem Teppich mit Bauklötzen und schlafen abends im bunt eingerichteten ___.;Малыши играют там на ковре в кубики и спят вечером в пестро обставленной детской комнате.;Küche;Keller;Garage
Arbeitszimmer;Für meine Aufgaben am Schreibtisch brauche ich absolute Ruhe und schließe die Tür zu meinem separaten Homeoffice-___.;Для моих задач за письменным столом мне нужна абсолютная тишина, и я закрываю дверь в свой отдельный кабинет (рабочую комнату).;Balkon;Garten;Keller
Terrasse;Hinter dem Haus haben wir einen gepflasterten Sitzplatz im Freien mit Gartenmöbeln, nämlich eine sonnige ___.;Позади дома у нас есть вымощенное место для отдыха на свежем воздухе с садовой мебелью, а именно солнечная терраса.;Küche;Keller;Garage
Garage;Damit das Auto im Winter nicht einfriert und vor Hagel geschützt ist, parken wir den Wagen in der verschlossenen ___.;Чтобы машина зимой не замерзала и была защищена от града, мы паркуем автомобиль в закрытом гараже.;Küche;Wohnung;Stube
Dachboden;Ganz oben unter den schrägen Ziegeln des Hauses lagern wir alte Koffer und Kisten oben auf dem staubigen ___.;В самом верху под косыми черепицами дома мы храним старые чемоданы и коробки наверху на пыльном чердаке.;Keller;Garten;Balkon
Haustür;Bevor wir das Wohnhaus betreten, klingeln wir an der schweren Glocke neben der großen verschlossenen ___.;Прежде чем войти в жилой дом, мы звоним в тяжелый звонок рядом с большой запертой входной дверью.;Lampe;Flasche;Kiste
Vorhang;Damit die Nachbarn abends von der Straße aus nicht ins Zimmer schauen können, ziehen wir vor das Fenster einen dichten Stoff-___.;Чтобы соседи вечером с улицы не заглядывали в комнату, мы задергиваем перед окном плотную тканевую штору (занавеску).;Kühlschrank;Tisch;Schrank
Heizung;Im kalten Winter drehen wir den Thermostatknopf an der Wand auf, damit der warme Heizkörper der zentralen ___ den Raum wärmt.;Холодной зимой мы поворачиваем вентиль термостата на стене, чтобы теплый радиатор центрального отопления согревал комнату.;Kühlschrank;Lampe;Spüle
Möbel;Tische, Stühle, Betten und Schränke kauft man für die neue Wohnung in einem großen Einrichtungshaus für moderne Holz-___.;Столы, стулья, кровати и шкафы покупают для новой квартиры в большом магазине интерьера для современной деревянной мебели.;Kleider;Suppen;Karten
Spüle;In der Küche wasche ich die schmutzigen Kaffeetassen mit Schwamm und Spülmittel per Hand im Wasserbecken der tiefen Edelstahl-___.;На кухне я мою грязные кофейные чашки губкой и средством вручную в емкости для воды в глубокой раковине (мойке) из нержавейки.;Lampe;Bett;Sofa
Waschmaschine;Man muss die dreckige Wäsche mit Waschpulver in die runde Trommel füllen und dann startet das Programm der elektrischen ___.;Нужно засыпать грязное белье со стиральным порошком в круглый барабан, и затем запускается программа электрической стиральной машины.;Mikrowelle;Kühlschrank;Kaffeemaschine
Mikrowelle;Um das Essen von gestern in zwei Minuten blitzschnell aufzuwärmen, stellt man den Teller in dieses kleine Küchengerät, die ___.;Чтобы разогреть вчерашнюю еду за две минуты молниеносно, тарелку ставят в этот маленький кухонный прибор — микроволновку.;Kühlschrank;Waschmaschine;Spülmaschine
Staubsauger;Um Krümel und Staub vom Teppichboden wegzusaugen, schaltet man dieses laute Gerät mit Rohr und Beutel ein, den handlichen ___.;Чтобы собрать крошки и пыль с ковра пылесосом, включают этот громкий прибор с трубой и мешком — удобный пылесос.;Kühlschrank;Backofen;Fernseher
Bekannter;Er ist zwar kein enger Freund von mir, aber ich kenne sein Gesicht von der Arbeit, er ist ein entfernter flüchtiger ___.;Он хоть и не близкий мой друг, но я знаю его лицо по работе, он дальний мимолетный знакомый.;Feind;Bruder;Vater
Mitglied;Um die Trainingsgeräte im Sportverein nutzen zu dürfen, muss man einen Mitgliedsantrag ausfüllen und wird offizielles ___.;Чтобы иметь возможность пользоваться тренажерами в спортивном клубе, нужно заполнить заявление и стать официальным членом клуба.;Arzt;Chef;Lehrer
Erwachsener;Kinder unter zwölf Jahren zahlen die Hälfte, aber ab achtzehn Jahren gilt man juristisch als volljähriger und zahlt als ___.;Дети до двенадцати лет платят половину, но с восемнадцати лет человек юридически считается совершеннолетним и платит как взрослый.;Kind;Baby;Schüler
Jugendlicher;Wer zwischen dreizehn und siebzehn Jahre alt ist, ist kein kleines Kind mehr, sondern ein heranwachsender junger ___.;Тот, кому от тринадцати до семнадцати лет, уже не маленький ребенок, а подрастающий молодой подросток (юноша).;Senior;Opa;Greis
Senior;Menschen im Rentenalter ab siebzig Jahren bezeichnet man im Alltag respektvoll als älteren Bürger oder als rüstigen ___.;Людей пенсионного возраста старше семидесяти лет в обиходе уважительно называют пожилым гражданином или бодрым пенсионером (сеньором).;Baby;Kind;Junge
Freundschaft;Zwei Menschen, die sich vertrauen, füreinander da sind und sich seit der Schulzeit kennen, pflegen eine tiefe lebenslange ___.;Два человека, которые доверяют друг другу, поддерживают друг друга и знают со школы, поддерживают глубокую пожизненную дружбу.;Feindschaft;Krankheit;Sorge
Liebe;Das schönste und tiefste Gefühl zwischen zwei Partnern, die ihr ganzes Leben miteinander verbringen möchten, ist die wahre ___.;Самое прекрасное и глубокое чувство между двумя партнерами, которые хотят провести всю жизнь вместе, — это истинная любовь.;Angst;Kälte;Wut
Vertrauen;Wenn man einem Freund ein großes Geheimnis erzählt, braucht man zu ihm ein absolut felsenfestes und ehrliches ___.;Когда другу рассказывают большую тайну, к нему требуется абсолютно непоколебимое и честное доверие.;Misstrauen;Unglück;Pech
Wahrheit;Sag mir bitte ehrlich, was wirklich passiert ist, lüg mich nicht an und sag mir einfach die ungeschminkte ___!;Скажи мне, пожалуйста, честно, что произошло на самом деле, не ври мне и просто скажи мне неприкрашенную правду!;Lüge;Pause;Reise
Lüge;Das war überhaupt nicht wahr, was er uns erzählt hat, diese freche Geschichte war eine reine Erfindung und eine dreiste ___.;То, что он нам рассказал, было совсем неправдой, эта наглая история была чистой выдумкой и бесстыдной ложью.;Wahrheit;Hilfe;Regel
Fehler;Niemand ist absolut perfekt bei der Arbeit, jeder Mensch macht beim Lernen von Zeit zu Zeit mal einen kleinen ___.;Никто не идеален в работе, каждый человек время от времени при учебе совершает маленькую ошибку.;Erfolg;Gewinn;Urlaub
Problem;Mein Auto springt nicht an und ich habe keinen Cent im Geldbeutel, das ist im Moment für mich ein wirklich riesiges ___.;Моя машина не заводится, и у меня нет ни цента в кошельке, это в данный момент для меня действительно огромная проблема.;Geschenk;Wunder;Glück
Lösung;Nach stundenlangem Grübeln über der schwierigen Aufgabe fand der Schüler endlich die verblüffend einfache mathematische ___.;После многочасовых раздумий над трудной задачей ученик нашел наконец поразительно простое математическое решение.;Pause;Sorge;Krankheit
Polizei;Wenn man auf der Straße Zeuge eines schweren Diebstahls wird, ruft man sofort unter der Notrufnummer 110 die hilfsbereite ___.;Если на улице становишься свидетелем крупной кражи, сразу звонят по экстренному номеру 110 в полицию.;Feuerwehr;Post;Bank
Feuerwehr;Aus dem Fenster des Dachstuhls schlagen meterhohe Flammen, wählt schnell die 112 und alarmiert mit den Löschwagen die mutige ___!;Из окна мансарды вырывается пламя высотой в несколько метров, быстро набирайте 112 и вызывайте с пожарными машинами отважную пожарную службу!;Polizei;Bank;Schule
geduldig;Der alte Arzt hört sich alle Sorgen seiner Patienten in aller Seelenruhe an, er ist wirklich ein sehr verständnisvoller und ___er Mann.;Пожилой врач выслушивает все переживания своих пациентов в абсолютном спокойствии, он действительно очень понимающий и терпеливый человек.;ungeduldiger;wütender;böser
mutig;Der kleine Junge sprang ohne zu zögern ins kalte Wasser, um seine Puppe zu retten, das war extrem tapfer und ___.;Маленький мальчик без колебаний прыгнул в холодную воду, чтобы спасти свою куклу, это было чрезвычайно храбро и смело.;feige;faul;müde
neugierig;Kinder stellen den ganzen Tag viele Fragen über die Welt und wollen alles wissen, denn sie sind von Natur aus sehr wissbegierig und ___.;Дети целый день задают много вопросов о мире и хотят знать всё, ведь они от природы очень любознательны и любопытны.;faul;müde;gleichgültig
stolz;Nachdem seine Tochter den ersten Preis im Klavierwettbewerb gewonnen hatte, war der Vater überglücklich und unendlich ___ auf sie.;После того как его дочь выиграла первый приз в конкурсе пианистов, отец был безмерно счастлив и бесконечно горд ею.;wütend;traurig;böse
überrascht;Niemand hatte mit seinem plötzlichen Besuch gerechnet, deshalb waren alle Gäste im Wohnzimmer völlig baff und total ___.;Никто не рассчитывал на его внезапный визит, поэтому все гости в гостиной были ошарашены и совершенно удивлены (поражены).;müde;krank;hungrig
nervös;Vor dem allerersten Vorstellungsgespräch schwitzen seine Hände vor Aufregung und er fühlt sich innerlich extrem unruhig und ___.;Перед самым первым собеседованием его руки потеют от волнения, и он чувствует себя внутренне крайне неспокойным и нервным.;ruhig;gelassen;entspannt
angenehm;Das warme Wasser im Whirlpool hat genau 36 Grad, dieses entspannende Bad fühlt sich auf der Haut unglaublich wohltuend und ___ an.;Теплая вода в гидромассажной ванне нагрета ровно до 36 градусов, эта расслабляющая ванна ощущается на коже невероятно благотворно и приятно.;unangenehm;schmerzhaft;eklig
praktisch;Ein kleiner Klapptisch, den man platzsparend zusammenfalten kann, ist für einen winzigen Balkon enorm nützlich und handlich-___.;Маленький складной стол, который можно компактно сложить для экономии места, для крошечного балкона колоссально полезен и практичен.;unbrauchbar;nutzlos;schädlich
bitter;Dieser alte schwarze Kaffee ohne Zucker und Milch zieht einem den Mund zusammen, er schmeckt extrem herb und unangenehm ___.;Этот старый черный кофе без сахара и молока вяжет рот, он на вкус чрезвычайно терпкий и неприятно горький.;süß;salzig;mild
sauer;Wenn man herzhaft in eine ungesüßte Zitrone beißt, verzieht man sofort das Gesicht, denn der reine Zitrussaft schmeckt extrem ___.;Если с аппетитом укусить несладкий лимон, сразу кривишь лицо, ведь чистый цитрусовый сок на вкус экстремально кислый.;süß;bitter;fettig
süß;Honig, reife Erdbeeren und Milchschokolade enthalten viel natürlichen Frucht- oder Kristallzucker und schmecken herrlich lecker und ___.;Мед, спелая клубника и молочный шоколад содержат много натурального фруктового или кристаллического сахара и на вкус восхитительно приятны и сладки.;sauer;bitter;salzig
scharf;Der Koch hat viel zu viele rote Chilischoten in die Soße getan, dieses asiatische Curry brennt auf der Zunge wie Feuer und ist extrem ___.;Повар положил слишком много красных стручков чили в соус, это азиатское карри жжет на языке как огонь и экстремально острое.;mild;süß;fad
weich;Auf dieser neuen dicken Schaumstoffmatratze schläft man wie auf Wolken, sie ist überhaupt nicht hart, sondern wunderbar elastisch und ___.;На этом новом толстом поролоновом матрасе спишь словно на облаках, он совсем не жесткий, а чудесно эластичный и мягкий.;hart;fest;rau
hart;Dieses alte Brötchen liegt schon seit fünf Tagen trocken auf dem Tisch, es lässt sich kaum schneiden und ist steinkalt und bretthart, einfach nur ___.;Эта старая булочка лежит уже пять дней в сухости на столе, ее едва можно разрезать, она ледяная и жесткая как доска, просто твердая.;weich;flüssig;zart
damals;Vor fünfzig Jahren gab es noch keine Handys oder Internet, die Lebensweise der Menschen war in jener vergangenen Zeit ___ ganz anders.;Пятьдесят лет назад еще не было мобильников или интернета, образ жизни людей в то ушедшее время тогда был совсем другим.;heute;jetzt;morgen
