Argumente;Wir brauchen bessere ___, um den Chef zu überzeugen.;Нам нужны лучшие аргументы, чтобы убедить начальника.;Gemüse;Momente;Fenster
Erfinder;Er ist der ___ dieser neuen Maschine.;Он изобретатель этой новой машины.;Stuhl;Hund;Apfel
unbesiegbar;Der Sportler fühlt sich heute ___.;Спортсмен чувствует себя сегодня непобедимым.;salzig;flüssig;nass
Niete;Er fühlte sich als ___, weil er das Spiel verlor.;Он чувствовал себя неудачником, потому что проиграл игру.;Tomate;Gurke;Gabel
beinah;Ich hätte den Zug ___ verpasst.;Я чуть было не опоздал на поезд.;blau;grün;salzig
schwing;___ das Tanzbein, die Musik ist toll!;Размахивай ногами, музыка отличная!;koch;iss;schlaf
schneit;Es ___ heute den ganzen Tag.;Сегодня весь день идет снег.;lacht;tanzt;kocht
versenkt;Das Schiff wurde im Meer ___.;Корабль был потоплен в море.;gegessen;getrunken;gelacht
Brücken;Wir müssen noch zwei ___ überqueren.;Нам нужно пересечь еще два моста.;Tische;Äpfel;Hunde
Stromausfall;Wegen dem ___ haben wir kein Licht.;Из-за отключения электричества у нас нет света.;Wasser;Apfel;Hund
Zielscheibe;Der Bogenschütze trifft die ___ genau in der Mitte.;Лучник попадает в мишень точно в центр.;Tomate;Gurke;Suppe
überschreiten;Sie dürfen diese Grenze nicht ___.;Вам нельзя пересекать эту границу.;kochen;trinken;essen
eingejagt;Du hast mir einen großen Schrecken ___.;Ты сильно меня напугал.;gekocht;getanzt;gelacht
versenken;Sie wollen das alte Boot im See ___.;Они хотят затопить старую лодку в озере.;kochen;trinken;backen
fördern;Wir müssen junge Talente besser ___.;Мы должны лучше поддерживать молодые таланты.;kochen;essen;schlafen
Kundin;Die ___ beschwert sich über das kaputte Produkt.;Клиентка жалуется на сломанный продукт.;Gabel;Suppe;Kartoffel
Portier;Der ___ öffnete uns die Tür zum Hotel.;Швейцар открыл нам дверь в отель.;Tisch;Apfel;Stein
riech;___ mal, wie gut diese Blume duftet!;Понюхай, как хорошо пахнет этот цветок!;koch;iss;trink
Beobachter;Der ___ notiert alles, was passiert.;Наблюдатель записывает все, что происходит.;Baum;Stuhl;Tisch
beerdigen;Sie müssen den alten Hund morgen ___.;Завтра им нужно похоронить старую собаку.;trinken;essen;backen
entscheidende;Das war der ___ Moment im Spiel.;Это был решающий момент в игре.;salzige;nasse;grüne
Zeugs;Räum bitte dein ganzes ___ aus dem Weg!;Пожалуйста, убери все свои вещи с дороги!;Wasser;Feuer;Holz
auszusprechen;Es ist schwer, dieses Wort richtig ___.;Трудно правильно произнести это слово.;zu kochen;zu backen;zu schwimmen
brillante;Sie hatte eine ___ Idee für das Projekt.;У нее была блестящая идея для проекта.;nasse;salzige;bittere
Einfahrt;Bitte parken Sie nicht vor unserer ___!;Пожалуйста, не паркуйтесь перед нашим въездом!;Suppe;Gabel;Kartoffel
emotionalen;Nach dem Film hatte sie einen ___ Ausbruch.;После фильма у нее был эмоциональный всплеск.;salzigen;grünen;nassen
Kommentare;Ich habe die ___ unter dem Video gelesen.;Я прочитал комментарии под видео.;Steine;Tische;Äpfel
brachen;Sie ___ das Brot in zwei Teile.;Они разломили хлеб на две части.;schwammen;tanzten;lachten
Parfum;Sie trägt ein sehr teures ___.;Она носит очень дорогие духи.;Brot;Fleisch;Wasser
Durchschnitt;Im ___ trinken wir zwei Liter Wasser am Tag.;В среднем мы пьем два литра воды в день.;Kühlschrank;Herd;Ofen
Glücksspiel;Er hat sein ganzes Geld beim ___ verloren.;Он потерял все свои деньги в азартных играх.;Brot;Wasser;Fleisch
Geburtstagsparty;Wir gehen heute Abend zu einer ___.;Сегодня вечером мы идем на вечеринку по случаю дня рождения.;Gabel;Suppe;Tomate
beeinträchtigt;Der Lärm ___ meine Konzentration.;Шум мешает моей концентрации.;kocht;lacht;schläft
hinnehmen;Wir müssen diese Entscheidung einfach ___.;Мы должны просто принять это решение.;trinken;essen;backen
eingetragen;Ich habe meinen Namen in die Liste ___.;Я внес свое имя в список.;gekocht;getrunken;gelacht
Sprünge;Der Hund macht große ___ im Gras.;Собака делает большие прыжки в траве.;Tische;Steine;Bäume
Joker;Im Kartenspiel habe ich einen ___ gezogen.;В карточной игре я вытянул джокера.;Tisch;Apfel;Baum
Hypnose;Der Arzt versuchte es mit ___.;Врач попробовал применить гипноз.;Suppe;Gabel;Tomate
konfrontiert;Er wurde mit seinen Fehlern ___.;Его столкнули с его ошибками.;gekocht;gebacken;getrunken
gezielt;Wir müssen ___ nach einer Lösung suchen.;Мы должны целенаправленно искать решение.;salzig;nass;blau
schauspielern;Er möchte gerne im Theater ___.;Он хотел бы играть в театре.;kochen;trinken;backen
murmeln;Die Kinder ___ leise in der Ecke.;Дети тихо бормочут в углу.;kochen;trinken;backen
ultimative;Das ist der ___ Beweis für seine Unschuld.;Это окончательное доказательство его невиновности.;nasse;salzige;bittere
weggeschickt;Der Lehrer hat den lauten Schüler ___.;Учитель отослал шумного ученика.;gekocht;getrunken;gelacht
Regierungen;Die beiden ___ haben einen Vertrag unterschrieben.;Оба правительства подписали договор.;Tische;Hunde;Bäume
Erdnüsse;Ich esse abends gerne geröstete ___.;Я люблю есть жареный арахис по вечерам.;Tische;Steine;Autos
Spritztour;Wir machen am Sonntag eine ___ mit dem Auto.;В воскресенье мы прокатимся на машине.;Gabel;Suppe;Gurke
Einladungen;Ich habe schon alle ___ für die Party verschickt.;Я уже разослал все приглашения на вечеринку.;Tische;Bäume;Hunde
Kleidern;Der Schrank ist voll mit neuen ___.;Шкаф полон новой одежды.;Tischen;Steinen;Bäumen
Glatze;Der alte Mann hat eine polierte ___.;У старого мужчины блестящая лысина.;Tomate;Gurke;Suppe
vergeblich;Ich habe ___ auf eine Antwort gewartet.;Я напрасно ждал ответа.;blau;salzig;nass
eingeliefert;Er wurde gestern ins Krankenhaus ___.;Вчера его доставили в больницу.;gekocht;getrunken;gelacht
entschlüsseln;Wir müssen diese geheime Nachricht ___.;Мы должны расшифровать это секретное сообщение.;kochen;trinken;essen
Kerlchen;Das kleine ___ spielt fröhlich im Sand.;Маленький паренек радостно играет в песке.;Brot;Wasser;Fleisch
unentschieden;Das Spiel endete gestern ___.;Вчера игра закончилась вничью.;salzig;nass;blau
ausverkauft;Die Tickets für das Konzert sind leider ___.;Билеты на концерт, к сожалению, распроданы.;gekocht;getrunken;gelacht
viermal;Ich habe dich schon ___ angerufen!;Я звонил тебе уже четыре раза!;salzig;blau;nass
zugenommen;Sie hat im Urlaub zwei Kilo ___.;В отпуске она набрала два килограмма.;gekocht;getrunken;gelacht
Völker;Verschiedene ___ leben in dieser Region.;В этом регионе живут разные народы.;Tische;Bäume;Steine
Migräne;Sie hat starke ___ und bleibt im Bett.;У нее сильная мигрень, и она остается в постели.;Gabel;Suppe;Tomate
rothaarige;Die ___ Frau dort drüben ist meine Tante.;Та рыжеволосая женщина вон там — моя тетя.;salzige;nasse;bittere
aufgetragen;Die Farbe muss zweimal ___ werden.;Краску нужно наносить дважды.;gekocht;getrunken;gelacht
runtergehen;Wir müssen jetzt in den Keller ___.;Нам нужно сейчас спуститься в подвал.;kochen;trinken;essen
Seen;Wir haben viele ___ in unserer Region.;В нашем регионе много озер.;Tische;Äpfel;Steine
Amnesie;Nach dem Unfall hatte er eine leichte ___.;После аварии у него была легкая амнезия.;Gabel;Suppe;Tomate
