nachdenken;Das ist eine schwierige Frage, ich brauche etwas Ruhe und muss erst gründlich darüber ___.;Это трудный вопрос, мне нужен покой и я должен сначала основательно подумать об этом.;schlafen;trinken;kochen
Staatsangehörigkeit;Welchen Pass besitzt die Person? In den Papieren steht Deutsch oder Italienisch für die rechtliche Bürger-___.;Каким паспортом обладает человек? В документах значится «немецкое» или «итальянское» в графе юридическое гражданство (подданство).;Mitgliedschaft;Freundschaft;Verwandtschaft
wohnort;Die Gemeinde oder Stadt, in der man mit Hauptwohnsitz polizeilich gemeldet ist und lebt, ist der eigene feste ___.;Муниципалитет или город, в котором человек зарегистрирован по основному месту жительства и живет — это собственное постоянное место жительства.;geburtsort;urlaubsort;abfahrtsort
postleitzahl;Vor dem Stadtnamen schreibt man in Deutschland eine fünfstellige Nummer für die Postzustellung, die sogenannte PLZ oder ___.;Перед названием города в Германии пишут пятизначный номер для почтовой доставки — так называемый почтовый индекс (PLZ).;hausnummer;kundennummer;telefonnummer
vorname;Thomas Müller heißt der Mann, Thomas ist dabei sein persönlicher Rufname, also sein gebräuchlicher ___.;Томас Мюллер зовут этого мужчину, Томас при этом — его личное имя при обращении, то есть его имя (в отличие от фамилии).;nachname;familienname;spitzname
glühbirne;Die Deckenlampe spendet plötzlich kein Licht mehr, weil der dünne Glühfaden durchgebrannt ist, wir brauchen eine neue LED-___.;Потолочная лампа внезапно перестает давать свет, потому что тонкая нить накаливания перегорела — нам нужна новая светодиодная лампочка.;kerze;Batterie;taschenlampe
batterie;Die Fernbedienung reagiert nicht mehr, wir müssen die beiden kleinen leeren Rundzellen austauschen und eine frische ___ einsetzen.;Пульт дистанционного управления больше не реагирует, мы должны заменить два маленьких разряженных элемента питания и вставить свежую батарейку.;glühbirne;steckdose;kabel
taschenlampe;Bei einem plötzlichen Stromausfall im Keller nimmt man dieses tragbare elektrische Handlicht mit Batterie, eine helle ___.;При внезапном отключении электричества в подвале берут этот переносной электрический ручной фонарь на батарейке — яркий карманный фонарик.;kerze;glühbirne;deckenleuchte
kabeltrommel;Um im fernen Garten Strom für den Rasenmäher zu haben, rollt man fünfzig Meter Stromkabel von dieser runden Spule ab, der großen ___.;Чтобы в дальнем саду было электричество для газонокосилки, разматывают пятьдесят метров электропровода с этой круглой катушки — большой кабельной катушки (удлинителя на бобине).;gießkanne;mülltonne;leiter
Schraubenzieher;Um eine kleine Schraube mit Kreuzschlitz fest in das Holz zu drehen, braucht man dieses Werkzeug mit Griff und Klinge, den ___.;Чтобы плотно закрутить маленький винт с крестообразным шлицем в дерево, нужен этот инструмент с ручкой и лезвием — отвертка.;Hammer;Zange;Bohrmaschine
zange;Um einen festsitzenden Nagel aus der Wand herauszuziehen oder einen Draht zu biegen, nimmt der Handwerker eine eiserne ___.;Чтобы вытащить засевший гвоздь из стены или согнуть проволоку, мастер берет железные клещи (плоскогубцы/пассатижи).;schaufel;bürste;säge
bohrmaschine;Um ein Loch für den Dübel in die harte Betonwand zu bohren, setzt man dieses elektrische rotierende Kraftwerkzeug an, die laute ___.;Чтобы просверлить отверстие для дюбеля в твердой бетонной стене, прикладывают этот электрический вращающийся силовой инструмент — громкую дрель (перфоратор).;kettensäge;zange;schraube
nagel;Diesen dünnen, spitzen Metallstift mit flachem Kopf schlägt man mit dem Hammer fest in die Wand, um ein Bild aufzuhängen, einen stählernen ___.;Этот тонкий заостренный металлический стержень с плоской шляпкой забивают молотком крепко в стену, чтобы повесить картину — стальной гвоздь.;schraube;dübel;haken
pinsel;Um die Fußleisten sauber mit Lack zu streichen, taucht man die feinen Haare dieses Stielwerkzeugs in die Farbe, einen weichen Borsten-___.;Чтобы аккуратно покрасить плинтусы лаком, тонкие волоски этого инструмента на рукоятке макают в краску — мягкую щетинную кисть (кисточку).;hammer;spachtel;rolle
farbtopf;Die weiße Wandfarbe kauft man im Baumarkt in einem großen Zehn-Liter-Eimer aus Kunststoff mit Deckel, in einem verschlossenen ___.;Белую краску для стен покупают в строительном магазине в большом десятилитровом ведре из пластика с крышкой — в закрытой банке (ведре) с краской.;blumentopf;kaffeetopf;kochtopf
ersatzteil;Weil ein kleines Plastikzahnrad im Mixer abgebrochen ist, bestellt der Mechaniker beim Hersteller ein passendes neues ___.;Так как маленькая пластиковая шестеренка в миксере отломилась, механик заказывает у производителя подходящую новую запасную часть (деталь).;werkzeug;altpapier;gerät
gebrauchsanweisung;Vor dem ersten Einschalten der neuen Waschmaschine sollte man die beiliegende Broschüre mit den Bedienungsschritten lesen, die gedruckte ___.;Перед первым включением новой стиральной машины следует прочитать приложенную брошюру с шагами по управлению — напечатанную инструкцию по эксплуатации.;rechnung;quittung;garantiekarte
garantiekarte;Wenn das Neugerät innerhalb von zwei Jahren kaputtgeht, repariert die Firma den Schaden kostenlos gegen Vorlage der Quittung und der offiziellen ___.;Если новый прибор ломается в течение двух лет, фирма бесплатно ремонтирует поломку при предъявлении чека и официального гарантийного талона (карты).;visitenkarte;fahrkarte;postkarte
stecker;Am Ende des Stromkabels befindet sich dieser Kunststoffteil mit zwei runden Metallstiften, der elektrische Netz-___ für die Steckdose.;На конце электрического провода находится эта пластиковая деталь с двумя круглыми металлическими штырями — электрическая сетевая вилка (штекер) для розетки.;schalter;kabel;draht
verlängerungskabel;Die Steckdose ist fünf Meter vom Schreibtisch entfernt, deshalb schließen wir dazwischen dieses lange flexible Zusatzkabel an, ein praktisches ___.;Розетка находится в пяти метрах от письменного стола, поэтому мы подключаем между ними этот длинный гибкий дополнительный провод — практичный удлинитель.;ladekabel;antennenkabel;netzwerkkabel
wange;Wenn man sich schämt oder aus der Kälte kommt, färbt sich die weiche Gesichtshaut links und rechts der Nase rot, die runde ___.;Когда человек стыдится или заходит с холода, мягкая кожа лица слева и справа от носа окрашивается в красный цвет — круглая щека.;nase;lippe;stirn
kinn;Unterhalb der Unterlippe bildet dieser knöcherne Vorsprung das untere Ende des menschlichen Gesichts, das markante ___.;Ниже нижней губы этот костный выступ образует нижнюю оконечность человеческого лица — выразительный подбородок.;stirn;auge;ohr
stirn;Bei hohem Fieber legt die Mutter zur Kühlung ein nasses Tuch oben auf den Kopf oberhalb der Augenbrauen, auf die heiße ___.;При высокой температуре мама для охлаждения кладет влажную тряпочку на верхнюю часть головы выше бровей — на горячий лоб.;wange;lippe;zunge
augenbraue;Über jedem Auge wächst dieser geschwungene Haarstreifen, der die Augen vor herablaufendem Schweiß schützt, die dichte ___.;Над каждым глазом растет эта изогнутая полоска волос, которая защищает глаза от стекающего пота — густая бровь.;wimper;lippe;wange
wimper;Am Rand der Augenlider sitzen diese feinen kleinen Härchen, die bei jedem Blinzeln Staubkörner abfangen, eine zarte Schutz-___.;По краю век сидят эти тонкие маленькие волоски, которые при каждом моргании улавливают пылинки — нежная защитная ресница.;augenbraue;locke;haarsträhne
daumen;Der dickste und stärkste Finger an der menschlichen Hand, den man den anderen vier Fingern gegenüberstellen kann, ist der kräftige ___.;Самый толстый и сильный палец на человеческой руке, который можно противопоставить остальным четырем пальцам — сильный большой палец руки.;zeigefinger;mittelfinger;ringfinger
zehe;An jedem menschlichen Fuß sitzen vorn fünf bewegliche Glieder, und das größte davon ist die dicke Fuß-___.;На каждой человеческой ступне сидят спереди пять подвижных конечностей, и самая большая из них — большой палец ноги.;daumen;ferse;sohle
ferse;Der hintere, rundliche Teil des Fußes, auf den man beim Gehen zuerst auftritt und wo neue Schuhe oft scheuern, ist die empfindliche ___.;Задняя округлая часть стопы, на которую при ходьбе наступают сначала и где новая обувь часто натирает — чувствительная пятка.;zehe;sohle;spitze
handgelenk;Genau an der flexiblen Verbindungsstelle zwischen Unterarm und flacher Hand trägt man die Armbanduhr, um das schmale ___.;Точно на гибком месте соединения между предплечьем и ладонью носят наручные часы — вокруг узкого запястья.;fußgelenk;Knie;ellbogen
fußknöchel;Unten am Bein, direkt über dem Fuß, wölbt sich links und rechts dieser runde harte Knochen am Gelenk, der empfindliche ___.;Внизу на ноге, прямо над стопой, выступает слева и справа эта круглая твердая кость на суставе — чувствительная щиколотка (лодыжка).;ellbogen;handgelenk;fingerknöchel
halsbonbon;Bei leichtem Kratzen im Rachen lutscht man diese kleine süße Kräuterpastille mit Menthol, ein beruhigendes ___.;При легком першении в горле рассасывают эту маленькую сладкую пастилку на травах с ментолом — успокаивающий леденец от боли в горле.;schlaftablette;schmerzpflaster;augentropfen
nasenspray;Wenn bei einem Schnupfen die Nasenschleimhaut anschwillt, sprüht man sich diesen befreienden Sprühnebel in die Nase, das abschwellende ___.;Когда при насморке слизистая носа отекает, в нос впрыскивают этот освобождающий аэрозоль — снимающий отек спрей для носа.;hustensaft;augentropfen;ohrentropfen
fieberthermometer;Um die genaue Körpertemperatur bei Krankheit unter der Zunge oder in der Achselhöhle zu messen, benutzt man dieses Messgerät, das digitale ___.;Чтобы измерить точную температуру тела при болезни под языком или в подмышечной впадине, используют этот измерительный прибор — цифровой градусник (термометр).;blutdruckmessgerät;maßband;waage
pille;Zur täglichen Empfängnisverhütung nehmen viele Frauen regelmäßig jeden Morgen diese kleine Tablette mit Hormonen, die sogenannte Antibaby-___.;Для ежедневной контрацепции многие женщины регулярно каждое утро принимают эту маленькую таблетку с гормонами — так называемую противозачаточную таблетку (пилюлю).;spritze;salbe;tropfen
schlaftablette;Wer unter massiver Schlaflosigkeit leidet und nachts stundenlang wach liegt, bekommt vom Arzt in schweren Fällen eine beruhigende ___.;Кто страдает сильной бессонницей и ночью часами лежит без сна, в тяжелых случаях получает от врача успокоительное снотворное (снотворную таблетку).;vitamintablette;hustentropfen;augensalbe
schief;Das Bild hängt überhaupt nicht gerade an der Wand, eine Seite hängt viel tiefer als die andere, der Rahmen hängt völlig ___.;Картина совсем не ровно висит на стене, одна сторона висит гораздо ниже другой, рама висит совершенно косо (криво).;gerade;waagerecht;senkrecht
krumm;Eine reife Banane oder ein gebogener Ast wächst nicht in einer geraden Linie, die Form ist gebogen und ___.;Спелый банан или согнутая ветка растут не по прямой линии, их форма изогнута и кривая (изогнутая).;gerade;flach;eben
glatt;Der spiegelblanke Eisboden auf der Eisbahn hat keinerlei Unebenheiten oder Rillen, die gefrorene Fläche ist spiegel-___.;Зеркально гладкий лед на катке не имеет никаких неровностей или бороздок, замерзшая поверхность зеркально гладкая.;rau;holprig;wellig
rutschig;Nach dem heftigen Regenfall ist der mit nassem Moos bedeckte Waldweg extrem glatt und für Spaziergänger gefährlich ___.;После сильного ливня покрытая влажным мхом лесная тропа чрезвычайно гладкая и для пешеходов опасно скользкая.;trocken;griffig;fest
eng;Nach dem Zunehmen passt mir diese Hose an den Oberschenkeln kaum noch, der Schnitt spannt und ist mir viel zu ___.;После прибавки в весе эти брюки на бедрах мне едва подходят, покрой натягивается и слишком мне узок (тесен).;weit;breit;locker
weit;Dieses riesige Übergangs-T-Shirt flattert lose am Körper und hat enorm viel Platz, das Kleidungsstück ist extrem locker und ___.;Эта огромная футболка оверсайз свободно развевается на теле и имеет колоссально много места, предмет одежды чрезвычайно просторен и широк.;eng;schmal;knapp
preiswert;Diese schicke Markenjacke von guter Qualität kostet nur dreißig Euro im Sonderangebot, das ist wirklich ein sehr günstiger und ___er Kauf.;Эта стильная брендовая куртка хорошего качества стоит на распродаже всего тридцать евро, это действительно очень выгодная и недорогая покупка.;teurer;unbezahlbarer;überteuerter
kostenlos;Der Eintritt in dieses städtische Kunstmuseum an jedem ersten Sonntag im Monat kostet keinen Cent, der Besuch ist völlig ___.;Вход в этот городской художественный музей каждое первое воскресенье месяца не стоит ни цента, посещение совершенно бесплатное.;teuer;kostenpflichtig;bezahlt
gratis;Beim Kauf von zwei Packungen Kaffee bekommt man eine dritte Packung als Geschenk ohne Aufpreis dazu, diese Beilage ist absolut ___.;При покупке двух пачек кофе третью пачку получают в подарок без доплаты, это приложение абсолютно даром (бесплатно).;teuer;verkauft;überteuert
umsonst;Wir haben uns stundenlang ohne Erfolg bemüht und am Ende hat es nichts gebracht, die ganze anstrengende Mühe war leider völlig ___.;Мы часами без успеха старались и в итоге это ничего не дало, все утомительные труды были, к сожалению, совершенно напрасны (впустую).;erfolgreich;sinnvoll;nützlich
modern;Dieses neu gebaute Haus mit Solarzellen, Wärmepumpe und riesigen Glasfenstern ist auf dem neuesten Stand der Technik und extrem ___.;Этот недавно построенный дом с солнечными батареями, тепловым насосом и огромными стеклянными окнами выполнен по последнему слову техники и крайне современный.;altmodisch;antik;historisch
altmodisch;Mein Großvater trägt immer noch karierte Anzüge aus den 1960er Jahren, sein Kleidungsstil ist nicht modern, sondern sehr ___.;Мой дедушка все еще носит клетчатые костюмы из 1960-х годов, его стиль одежды не современный, а очень старомодный.;modern;aktuell;trendy
unpünktlich;Der Zug hat schon wieder dreißig Minuten Verspätung und kommt nie zur angegebenen Uhrzeit, diese Bahnlinie ist extrem ___.;Поезд снова опаздывает на тридцать минут и никогда не приходит в указанное время, эта железнодорожная линия крайне непунктуальна.;pünktlich;zuverlässig;schnell
ungeduldig;Er kann keine fünf Minuten an der roten Ampel ruhig stehenbleiben, trommelt mit den Fingern und wird sofort furchtbar nervös und ___.;Он и пяти минут не может спокойно постоять на красный свет, барабанит пальцами и сразу становится ужасно нервным и нетерпеливым.;geduldig;ruhig;gelassen
unhöflich;Man drängelt sich nicht einfach an der Kasse vor und beleidigt keine fremden Leute, solches freche Benehmen ist respektlos und sehr ___.;Не лезут просто так без очереди на кассе и не оскорбляют незнакомых людей, такое наглое поведение неуважительно и очень невежливо (грубо).;höflich;freundlich;nett
