staubsaugen;Auf dem Teppich im Wohnzimmer liegen viele Krümel, ich muss heute unbedingt gründlich ___.;На ковре в гостиной лежит много крошек, я должен сегодня непременно тщательно пропылесосить.;kochen;trinken;Schlafen
Niesen;Wenn Staub in die Nase gerät, kitzelt es heftig und man muss sofort laut ___.;Когда пыль попадает в нос, сильно щекочет и приходится немедленно громко чихнуть.;husten;schlucken;Kauen
atmen;Oben auf dem hohen Berg kann man die frische und saubere Bergluft ganz tief ___.;Вверху на высокой горе можно совсем глубоко вдыхать (дышать) свежий и чистый горный воздух.;trinken;Essen;Kauen
schlucken;Um die bittere Tablette einzunehmen, muss man viel Wasser trinken und sie ganz ___.;Чтобы принять горькую таблетку, нужно выпить много воды и целиком проглотить ее.;Kauen;beißen;atmen
Kauen;Man soll das Essen nicht unzerkaut herunterschlucken, sondern jeden Bissen gut mit den Zähnen ___.;Не следует проглатывать еду непережеванной, а нужно каждый кусочек хорошо пережевывать зубами.;schlucken;trinken;atmen
beißen;Vorsicht vor dem wütenden Kettenhund, er knurrt böse und könnte dich ins Bein ___!;Осторожно со злой цепной собакой, она грозно рычит и может укусить тебя за ногу!;Küssen;umarmen;streicheln
treten;Beim Fußball muss der Stürmer mit voller Wucht gegen den Ball ___.;В футболе нападающий должен с полной силой ударить ногой (пнуть) по мячу.;werfen;beißen;atmen
schlagen;Mit einem schweren Hammer kann man den eisernen Nagel tief in das Brett ___.;Тяжелым молотком можно забить (ударить) железный гвоздь глубоко в доску.;trinken;Essen;Schlafen
werfen;Der Hund wartet schon darauf, dass wir den kleinen Ball weit über die Wiese ___.;Собака уже ждет, когда мы бросим (кинем) маленький мячик далеко через луг.;trinken;kochen;Schlafen
Sportplatz;Die Schüler rennen nachmittags draußen auf den grünen Rasen und spielen Fußball auf dem ___.;Школьники после обеда бегут на зеленый газон и играют в футбол на спортплощадке.;Kino;Krankenhaus;Theater
Schwimmbad;Im Sommer gehen die Kinder gerne ins kühle Wasser und springen vom Brett im ___.;Летом дети охотно идут в прохладную воду и прыгают с вышки в бассейне.;Kino;Museum;Theater
Stadion;Fünfzigtausend begeisterte Fans jubeln beim Bundesligaspiel laut auf den Rängen im großen ___.;Пятьдесят тысяч восторженных фанатов громко ликуют на матче Бундеслиги на трибунах большого стадиона.;Museum;Büro;Krankenhaus
Turnhalle;Bei schlechtem Regenwetter findet der Sportunterricht für die ganze Klasse drinnen in der ___ statt.;В дождливую погоду урок физкультуры для всего класса проходит внутри в спортивном зале.;Küche;Bibliothek;Apotheke
Kamera;Um hochauflösende Fotos im Urlaub zu machen, nimmt der Fotograf seine professionelle digitale ___ mit.;Чтобы делать фотографии высокого разрешения в отпуске, фотограф берет с собой профессиональную цифровую камеру.;Gitarre;Geige;Flöte
Fotoapparat;Früher legte man noch einen Film ein, heute funktioniert dieser handliche optische ___ rein digital.;Раньше еще вставляли пленку, сегодня этот удобный оптический фотоаппарат работает полностью цифровым образом.;Kühlschrank;Staubsauger;Backofen
Gitarre;Er sitzt abends am Lagerfeuer, zupft mit den Fingern die sechs Saiten und spielt auf seiner Holz-___.;Он сидит вечером у костра, перебирает пальцами шесть струн и играет на своей деревянной гитаре.;Trompete;Flöte;Kamera
Klavier;Der Musiker setzt sich auf den Hocker und drückt mit beiden Händen auf die 88 Tasten am großen ___.;Музыкант садится на табурет и нажимает обеими руками на 88 клавиш на большом пианино (фортепиано).;Gitarre;Geige;Schlagzeug
Flöte;Um diesem langen Blasinstrument aus Holz helle Töne zu entlocken, bläst das Mädchen sanft in die ___.;Чтобы извлечь светлые тона из этого длинного деревянного духового инструмента, девочка мягко дует в флейту.;Gitarre;Geige;Trommel
Geige;Im klassischen Orchester streicht der Konzertmeister mit dem Bogen über die vier Saiten seiner feinen ___.;В классическом оркестре концертмейстер проводит смычком по четырем струнам своей изящной скрипки.;Flöte;Gitarre;Kamera
Schlagzeug;Der Rockmusiker hält zwei Holzstöcke in den Händen und schlägt laut den Rhythmus auf dem ___.;Рок-музыкант держит две деревянные палочки в руках и громко отбивает ритм на ударной установке (барабанах).;Klavier;Geige;Flöte
Konzert;Gestern Abend spielte die berühmte Rockband live vor tausenden Zuschauern bei einem tollen Open-Air-___.;Вчера вечером знаменитая рок-группа играла вживую перед тысячами зрителей на потрясающем концерте под открытым небом.;Museum;Bibliothek;Unterricht
Eintrittskarte;Ohne ein gültiges Ticket darf man nicht in die Konzerthalle, man muss am Einlass seine ___ vorzeigen.;Без действующего билета нельзя в концертный зал, на входе нужно предъявить свой входной билет.;Quittung;Rechnung;Speisekarte
Ausstellung;In der Galerie kann man moderne Skulpturen und Gemälde von jungen Künstlern in einer neuen ___ bewundern.;В галерее можно полюбоваться современными скульптурами и картинами молодых художников на новой выставке.;Kantine;Garage;Werkstatt
Spielplatz;Die Mütter sitzen auf der Bank, während die kleinen Kinder fröhlich auf der Schaukel und Rutsche auf dem ___ toben.;Мамы сидят на скамейке, пока маленькие дети радостно резвятся на качелях и горке на детской площадке.;Parkplatz;Friedhof;Bahnhof
Hähnchen;Am Imbissstand dreht sich knuspriges Geflügel am Spieß, wir bestellen uns ein halbes gebratenes ___ mit Pommes.;У ларька с фастфудом крутится на вертеле хрустящая птица, мы заказываем себе половину жареного цыпленка (курицы) с картошкой фри.;Fisch;Brot;Käse
Schinken;Auf das Frühstücksbrot lege ich mir gerne eine zarte, dünne Scheibe geräucherten ___ vom Schwein.;На бутерброд к завтраку я охотно кладу нежный тонкий ломтик копченой ветчины из свинины.;Kuchen;Zucker;Honig
Rindfleisch;Für ein traditionelles Gulasch oder ein saftiges Rindersteak braucht man hochwertiges rotes ___ von der Kuh.;Для традиционного гуляша или сочного стейка требуется высококачественное красное говяжье мясо (говядина) от коровы.;Obst;Gemüse;Brot
Schweinefleisch;In vielen deutschen Wurstsorten und Schnitzeln steckt zartes Fleisch vom Schwein, nämlich echtes ___.;Во многих немецких сортах колбас и шницелях содержится нежное мясо свиньи, а именно настоящая свинина.;Geflügel;Obst;Gemüse
Joghurt;Zum Müsli am Morgen mische ich mir gerne frische Erdbeeren und einen Becher cremigen weißen Natur-___.;К мюсли утром я с удовольствием подмешиваю свежую клубнику и стаканчик кремового белого натурального йогурта.;Käse;Butter;Wurst
Quark;Zu Pellkartoffeln serviert man in Deutschland gerne einen frischen Kräuter-___ aus geronnener Milch.;К картофелю в мундире в Германии охотно подают свежий творог с зеленью из створоженного молока.;Kaffee;Tee;Saft
Sahne;Auf den warmen Apfelkuchen gehört für den vollen Geschmack ein großer Klecks geschlagene süße ___.;На теплый яблочный пирог для полноты вкуса полагается большая порция взбитых сладких сливок.;senf;Essig;Öl
mehl;Um einen Kuchen oder frisches Brot zu backen, mahlt die Mühle das weiße Getreidepulver, das feine Weizen-___.;Чтобы испечь пирог или свежий хлеб, мельница мелет белый зерновой порошок — тонкую пшеничную муку.;Salz;Pfeffer;Zucker
Bohne;In einen mexikanischen Eintopf gehört dieses lange Gemüse mit Hülsenfrüchten, oft eine rote Kidney-___.;В мексиканское рагу входит этот бобовый овощ, часто красная фасоль.;Apfel;Birne;Erdbeere
Erbse;Dieses kleine, kugelrunde grüne Gemüse wächst in langen Schoten und schmeckt süßlich, eine zarte ___.;Этот маленький круглый зеленый овощ растет в длинных стручках и сладковат на вкус — нежный горошек (горошина).;Kartoffel;Tomate;Zwiebel
Pilz;Im Herbst suchen die Sammler im feuchten Wald nach dem schirmförmigen Champignon oder Stein-___.;Осенью сборщики ищут во влажном лесу зонтиковидный шампиньон или белый гриб.;Kohl;Apfel;Birne
Nuss;Das Eichhörnchen knackt im Herbst die harte braune Schale und frisst die energiereiche Hasel-___.;Белка щелкает осенью твердую коричневую скорлупу и ест богатый энергией лесной орех (лещину).;Erdbeere;Kirsche;Banane
Birne;Dieses saftige Obst hat unten einen dicken Bauch und oben einen dünnen Hals, eine süße grüne ___.;У этого сочного фрукта внизу толстое донышко, а вверху тонкая шейка — сладкая зеленая груша.;Kartoffel;Zwiebel;Karotte
Erdbeere;Im Juni pflücken wir auf dem Feld diese süße rote Sommerfrucht mit kleinen Kernen außen, eine reife ___.;В июне мы собираем на поле эту сладкую красную летнюю ягоду с мелкими семечками снаружи — спелую клубнику (землянику).;Zitrone;Gurke;Kartoffel
Kirsche;Am Baum hängen im Juli immer zwei rote Früchte an einem gemeinsamen Stiel, die süße saftige ___.;На дереве в июле всегда висят по две красные ягодки на общем черенке — сладкая сочная вишня (черешня).;Kartoffel;Zwiebel;Möhre
Bluse;Zur eleganten Stoffhose trägt die Geschäftsfrau heute ein schickes Hemdoberteil für Damen, eine weiße Seiden-___.;К элегантным классическим брюкам деловая женщина надевает сегодня нарядную женскую рубашку — белую шелковую блузку.;Krawatte;Mütze;Hose
Unterwäsche;Direkt auf der nackten Haut unter der normalen Kleidung trägt man saubere Unterhosen und Unterhemden, also frische ___.;Прямо на голом теле под обычной одеждой носят чистые трусы и майки, то есть свежее нижнее белье.;Mäntel;Schuhe;Stiefel
Badehose;Wenn Männer im Sommer ins Freibad schwimmen gehen, ziehen sie eine kurze wasserabweisende ___ an.;Когда мужчины летом идут плавать в открытый бассейн, они надевают короткие водоотталкивающие плавки (купальные шорты).;Winterjacke;Krawatte;Mütze
Badeanzug;Frauen, die keinen zweiteiligen Bikini tragen wollen, wählen zum Schwimmen einen einteiligen elastischen ___.;Женщины, которые не хотят носить раздельный бикини, выбирают для плавания слитный эластичный купальник.;Wintermantel;Pullover;Schal
Schlafanzug;Vor dem Zubettgehen zieht man die Tageskleidung aus und schlüpft in diesen bequemen zweiteiligen Pyjama oder ___.;Перед отходом ко сну снимают дневную одежду и запрыгивают в эту удобную раздельную пижаму или спальный костюм.;Wintermantel;Badeanzug;Regenmantel
Reißverschluss;Meine Jacke hat keine Knöpfe, sondern lässt sich mit den kleinen Metallzähnen durch einen Schieber schließen, den praktischen ___.;У моей куртки нет пуговиц, а она застегивается мелкими металлическими зубчиками бегунком — практичной застежкой-молнией.;Gürtel;Knopf;Faden
Knopf;Mir ist am Hemdsärmel die kleine runde Scheibe abgefallen, ich muss den losen Näh-___ wieder mit Nadel und Faden festnähen.;У меня на рукаве рубашки оторвался маленький круглый диск, я должен пришить болтающуюся пуговицу снова иголкой с ниткой.;Reißverschluss;Gürtel;Schuh
Taschentuch;Wenn man Schnupfen hat und sich die Nase putzen muss, zieht man aus der Packung ein weiches weißes Papier-___.;Когда у человека насморк и нужно высморкать нос, из пачки достают мягкий белый бумажный носовой платок.;Handtuch;Bettlaken;Tischtuch
Kette;Sie trägt um ihren Hals ein wunderschönes Schmuckstück aus glänzendem Gold mit einem kleinen Anhänger, eine feine Hals-___.;Она носит на шее прекрасное украшение из блестящего золота с маленьким кулоном — изящную шейную цепочку (ожерелье).;Gürtel;Brille;Mütze
Ring;Bei der Hochzeit stecken sich Braut und Bräutigam diesen runden Goldschmuck an den vierten Finger, den feierlichen Ehe-___.;На свадьбе жених и невеста надевают это круглое золотое украшение на четвертый палец — торжественное обручальное кольцо.;Gürtel;Schal;Kamm
Ohrring;Sie hat sich Löcher in die Ohrläppchen stechen lassen und trägt jetzt zwei kleine funkelnde Perlen als dezenten Schmuck, als hübschen ___.;Она проколола мочки ушей и носит теперь две маленькие сверкающие жемчужины как неброское украшение — красивую сережку.;Gürtel;Schal;Armband
Leder;Diese teure Motorradjacke und die festen Stiefel sind aus strapazierfähiger, gegerbter Tierhaut hergestellt, aus echtem braunem ___.;Эта дорогая мотоциклетная куртка и крепкие сапоги изготовлены из прочной дубленой шкуры животных — из настоящей коричневой кожи.;Holz;Glas;Papier
Wolle;Im Winter hält uns Kleidung aus dem flauschigen Fell lebender Schafe wunderbar warm, ein Pullover aus reiner Schur-___.;Зимой одежда из пушистой шерсти живых овец чудесно согревает нас — свитер из чистой натуральной шерсти.;Leder;Plastik;Eisen
Baumwolle;T-Shirts und Jeans bestehen meistens aus dieser natürlichen, pflanzlichen Naturfaser aus den Kapseln der Pflanze, aus reiner ___.;Футболки и джинсы состоят преимущественно из этого натурального растительного волокна из коробочек растения — из чистого хлопка.;Leder;Wolle;Glas
Rucksack;Zum Wandern packt er Verpflegung und Wasserflasche in diesen praktischen Tragebeutel mit zwei Gurten auf den Rücken, den bequemen ___.;Для похода он упаковывает провизию и бутылку воды в эту практичную заплечную сумку с двумя лямками — удобный рюкзак.;Koffer;Handtasche;Einkaufstüte
Hausmeister;Wenn im Mietshaus die Glühbirne im Flur kaputt ist oder die Heizung streikt, ruft man diesen handwerklichen Betreuer, den ___.;Когда в многоквартирном доме перегорает лампочка в подъезде или барахлит отопление, вызывают этого смотрителя за домом — хаусмастера (управдома).;Arzt;Lehrer;Polizist
Nachbarschaft;Die Menschen, die in den Häusern rund um unsere Wohnung leben, bilden eine sehr ruhige und freundliche ___.;Люди, которые живут в домах вокруг нашей квартиры, образуют очень спокойное и дружелюбное соседство (окружение).;Schule;Küche;Werkstatt
Schreibtisch;Im Arbeitszimmer steht dieser feste Tisch mit Schubladen für den Computer und die Papiere, ein großer hölzerner ___.;В кабинете стоит этот прочный стол с ящиками для компьютера и бумаг — большой деревянный письменный стол.;Esstisch;Couchtisch;Nachttisch
Bücherregal;An der Wand steht dieses hohe Holzgestell mit vielen offenen Brettern, wo hunderte Romane ordentlich einsortiert sind, das ___.;У стены стоит эта высокая деревянная конструкция со множеством открытых полок, где аккуратно расставлены сотни романов — книжный шкаф (стеллаж).;Kühlschrank;Kleiderschrank;Schuhschrank
Nachttisch;Direkt neben dem Kopfende des Bettes steht dieses kleine Schränkchen für die Leselampe und den Wecker, der praktische ___.;Прямо у изголовья кровати стоит эта маленькая тумбочка для лампы для чтения и будильника — практичная прикроватная тумбочка.;Esstisch;Schreibtisch;Küchentisch
Kleiderschrank;In diesem großen zweitürigen Möbelstück hängen Jacken auf Bügeln und liegen Pullover im Fach, im geräumigen ___.;В этом большом двухдверном предмете мебели висят куртки на вешалках и лежат свитера на полке — во вместительном платяном шкафу (гардеробе).;Kühlschrank;Bücherregal;Küchenschrank
Bettwäsche;Alle zwei Wochen ziehen wir das Kissen und die Bettdecke ab und waschen die frischen Stoffbezüge, die saubere ___.;Каждые две недели мы снимаем чехлы с подушки и одеяла и стираем свежие тканевые наволочки и пододеяльники — чистое постельное белье.;Unterwäsche;Tischdecke;Gardine
Matratze;Im Bett liegt dieses dicke elastische Polsterteil, auf dem der Körper nachts weich und bequem ruht, die bequeme Federkern-___.;В кровати лежит эта толстая упругая мягкая основа, на которой тело ночью мягко и удобно отдыхает — удобный пружинный матрас.;Decke;Kissen;Teppich
Steckdose;Um das Handyladekabel mit dem Stromnetz in der Wand zu verbinden, steckt man den Stecker in die runde Öffnung der ___.;Чтобы соединить зарядный провод мобильника с электросетью в стене, штекер вставляют в круглое отверстие розетки.;Wasserleitung;Lampe;Tür
Kabel;Dieser isolierte schwarze Draht leitet den elektrischen Strom von der Wanddose direkt in das Küchengerät, das flexible Strom-___.;Этот изолированный черный провод проводит электрический ток от розетки прямо в кухонный прибор — гибкий электрический кабель (провод).;Seil;Faden;Band
Schalter;An der Wand neben der Zimmertür drückt man mit dem Finger auf diese kleine Wippe, um das Licht an- oder auszuknipsen, den Licht-___.;На стене рядом с дверью комнаты пальцем нажимают на эту маленькую клавишу, чтобы включить или выключить свет — выключатель света.;Stecker;Kabel;Nagel
Wasserhahn;Über dem Waschbecken dreht man an diesem metallenen Ventil, damit kaltes oder warmes Trinkwasser fließt, an dem glänzenden ___.;Над раковиной поворачивают этот металлический вентиль, чтобы текла холодная или теплая питьевая вода — на блестящем водопроводном кране.;Lichtschalter;Türgriff;Fenstergriff
Mülltonne;Vor dem Haus steht dieser große rollende Kunststoffbehälter für den Restmüll, die schwarze oder graue ___.;Перед домом стоит этот большой пластиковый бак на колесах для несортируемых отходов — черный или серый мусорный контейнер (бак).;Waschmaschine;Badewanne;spüle
Altpapier;Alte Zeitungen, Zeitschriften und leere Pappkartons wirft man in die blaue Tonne für das wiederverwertbare ___.;Старые газеты, журналы и пустые картонные коробки выбрасывают в синий бак для вторичной макулатуры (старой бумаги).;Altglas;Plastik;Biomüll
Haustürschlüssel;Wenn ich abends vor dem Mehrfamilienhaus stehe, brauche ich dieses kleine Stück Metall zum Aufsperren des Schlosses, meinen ___.;Когда я вечером стою перед многоквартирным домом, мне нужен этот маленький кусочек металла для отпирания замка — мой ключ от входной двери.;Autoschlüssel;Tresorschlüssel;Fahrradschlüssel
bunt;Der Regenbogen am Himmel und ein Malkasten mit zehn verschiedenen leuchtenden Farben sind nicht grau, sondern fröhlich und ___.;Радуга на небе и коробка с красками с десятью разными яркими цветами не серые, а радостные и пестрые (разноцветные).;farblos;Schwarz;Dunkel
farblos;Reines Quellwasser und frische Luft haben überhaupt keinen eigenen Farbton, sie sind völlig transparent und absolut ___.;Чистая родниковая вода и свежий воздух вообще не имеют собственного оттенка цвета, они полностью прозрачны и абсолютно бесцветны.;bunt;rot;Grün
Grau;Wenn dichte Regenwolken den Himmel bedecken und Asphalt auf der Straße liegt, wirkt die Farbe trostlos und dunkel-___.;Когда плотные дождевые тучи закрывают небо и на улице лежит асфальт, цвет кажется унылым и темно-серым.;gelb;rot;bunt
Braun;Die Rinde an alten Eichenbäumen, getrocknete Kaffeebohnen und Vollmilchschokolade haben diesen dunklen Naturton, sie sind satt-___.;Кора на старых дубах, обжаренные кофейные зерна и молочный шоколад имеют этот темный природный оттенок, они насыщенно коричневые.;blau;Grün;gelb
gelb;Reife Bananen, die strahlende Sommersonne und saure Zitronen leuchten im Spektrum in einem kräftigen und leuchtenden ___.;Спелые бананы, сияющее летнее солнце и кислые лимоны светятся в спектре ярким желтым цветом.;blau;Schwarz;Braun
blau;Das tiefe weite Meer an einem sonnigen Tag und der wolkenlose Himmel strahlen für das Auge in einem herrlichen Azur-___.;Глубокое широкое море в солнечный день и безоблачное небо сияют для глаз великолепным лазурно-синим цветом.;rot;gelb;Grün
rot;Reife Tomaten, Erdbeeren und das frische Blut aus einer Schnittwunde leuchten im Spektrum in einem auffallenden Signal-___.;Спелые помидоры, клубника и свежая кровь из пореза светятся в спектре приметным сигнальным красным цветом.;Grün;blau;gelb
Grün;Frisches Gras auf der Frühlingswiese und die saftigen Blätter an den Bäumen erstrahlen in der Natur in einem satten Smaragd-___.;Свежая трава на весеннем лугу и сочные листья на деревьях сияют в природе насыщенным изумрудно-зеленым цветом.;rot;blau;Schwarz
Weiß;Frisch gefallener Schnee im Winter, Milch und weiße Kreide an der Schultafel haben diesen hellsten Farbton von allen, sie sind rein-___.;Свежевыпавший снег зимой, молоко и белый мел на школьной доске имеют этот самый светлый оттенок из всех — они чисто белые.;Schwarz;Dunkel;Braun
Schwarz;Die tiefste finstere Nacht ohne Sterne, Kohle im Ofen und frische Druckerschwärze haben keinen Lichtschein, sie sind pech-___.;Самая глубокая темная ночь без звезд, уголь в печи и свежая типографская краска не имеют отблеска света, они смоляно черные.;Weiß;Hell;gelb
ledig;Er hat noch nie geheiratet und hat zurzeit keine eingetragene Partnerschaft, in den Ausweispapieren steht als Familienstand: ___.;Он еще ни разу не женился и не состоит на данный момент в зарегистрированном партнерстве, в документах в графе «семейное положение» стоит: холост (не замужем).;verheiratet;verwitwet;geschieden
verheiratet;Sie haben vor einem Monat auf dem Standesamt feierlich Ja gesagt und tragen Eheringe, sie sind glücklich miteinander ___.;Они месяц назад торжественно сказали «да» в загсе и носят обручальные кольца, они счастливо женаты (состоят в браке).;ledig;getrennt;einsam
geschieden;Nach vielen Jahren Ehe haben die beiden sich vor Gericht offiziell getrennt und die Scheidung eingereicht, sie sind nun rechtskräftig ___.;После многих лет брака они оба официально расстались в суде и подали на развод, они теперь законно разведены.;verheiratet;ledig;verlobt
schwanger;Die junge Frau erwartet in fünf Monaten ihr erstes Baby und hat schon einen runden Bauch, sie ist im vierten Monat glücklich ___.;Молодая женщина ожидает через пять месяцев своего первого малыша и у нее уже круглый живот, она на четвертом месяце счастливо беременна.;krank;müde;hungrig
verwandt;Mein Cousin und ich haben dieselben Großeltern und gehören zum selben Familienstammbaum, wir sind eng miteinander ___.;У моего двоюродного брата и меня одни и те же бабушка с дедушкой и мы принадлежим к одному генеалогическому древу, мы близкие родственники (состоим в родстве).;befreundet;bekannt;fremd
