bewerben;Ich habe eine interessante Stellenanzeige gelesen und möchte mich schriftlich um diesen Job ___.;Я прочитал интересное объявление о работе и хочу письменно подать заявку (резюме) на эту работу.;Schlafen;trinken;kochen
Nebenkosten;Neben der Grundmiete muss der Mieter jeden Monat Geld für Wasser, Müllabfuhr und Hauslicht zahlen, die ___.;Помимо базовой арендной платы арендатор должен каждый месяц платить деньги за воду, вывоз мусора и свет в подъезде — коммунальные (сопутствующие) расходы.;Reisekosten;Lebensmittel;Gehälter
Warmmiete;Der Gesamtbetrag aus Kaltmiete plus monatlicher Vorauszahlung für Heizung und Betriebskosten ist die ___.;Общая сумма из базовой «холодной» аренды плюс ежемесячная предоплата за отопление и эксплуатационные расходы — это арендная плата с отоплением (теплая аренда).;kaltmiete;Kaution;Maklergebühr
kaltmiete;Der reine Mietpreis für die Wohnfläche ganz ohne Heizung und ohne zusätzliche Betriebskosten heißt ___.;Чистая стоимость аренды за жилую площадь совсем без отопления и без дополнительных коммунальных расходов называется «холодной» арендой.;Warmmiete;Stromrechnung;Gasrechnung
Heizkosten;Weil der Winter extrem streng und eisig war, fällt die jährliche Abrechnung für die warmen Heizkörper hoch aus, die ___.;Поскольку зима была чрезвычайно суровой и морозной, годовой перерасчет за теплые радиаторы оказался высоким — расходы на отопление.;Fahrtkosten;Schulkosten;Telefonkosten
Kündigungsfrist;Laut Gesetz muss der Mieter drei Monate vor dem Auszug schriftlich kündigen, das ist die gesetzliche ___.;По закону арендатор должен письменно уведомить за три месяца до выезда, это законный срок уведомления о расторжении договора.;Öffnungszeit;Sprechzeit;Wartezeit
Wohnungsbesichtigung;Am Samstagnachmittag schauen sich zwanzig Interessenten gemeinsam die freie Dreizimmerwohnung an, die ___.;В субботу днем двадцать потенциальных съемщиков вместе осматривают свободную трехкомнатную квартиру — просмотр квартиры.;Wohnungsanzeige;Wohnungskündigung;Ummeldung
Hausordnung;Im Mietshaus regelt dieses Dokument die Ruhezeiten zwischen 22 Uhr und 6 Uhr morgens, die verbindliche ___.;В многоквартирном доме этот документ регулирует часы тишины между 22:00 и 6:00 утра — обязательные правила внутреннего распорядка дома.;Straßenordnung;Schulordnung;Verkehrsordnung
Mieterhöhung;Der Vermieter hat einen Brief geschickt, dass die Miete ab Juni um fünfzig Euro steigt, eine ärgerliche ___.;Арендодатель прислал письмо о том, что аренда с июня вырастет на пятьдесят евро — досадное повышение арендной платы.;Mietminderung;Gehaltserhöhung;Steuersenkung
Wohnungsanzeige;In der Zeitung und auf Internetportalen sucht der Student nach einem freien Zimmer über eine neue ___.;В газете и на интернет-порталах студент ищет свободную комнату по новому объявлению о сдаче жилья.;Todesanzeige;Werbeanzeige;Stellenanzeige
Nachmieter;Wer vor Ablauf der Kündigungsfrist ausziehen möchte, sucht für den Vermieter einen passenden ___.;Кто хочет съехать до истечения срока предупреждения об увольнении/выезде, ищет для арендодателя подходящего следующего арендатора (преемника).;Vermieter;Hausmeister;Gastgeber
Renovierung;Vor der Übergabe der alten Wohnung muss der Mieter alle Wände frisch weiß streichen, eine saubere ___.;Перед сдачей старой квартиры арендатор должен заново покрасить все стены в белый цвет — аккуратный косметический ремонт.;Zerstörung;Verletzung;Besichtigung
Schadensmeldung;Als ein Wasserrohr in der Wand platzte, schickte der Mieter der Versicherung sofort eine schriftliche ___.;Когда труба с водой лопнула в стене, арендатор сразу отправил страховой компании письменное уведомление об ущербе (страховой случай).;Kaufbestätigung;Geburtsurkunde;Rechnung
Ummeldung;Wer in eine andere Stadt zieht, muss innerhalb von zwei Wochen auf das Einwohnermeldeamt zur offiziellen ___.;Кто переезжает в другой город, должен в течение двух недель явиться в паспортный стол на официальную перерегистрацию по новому адресу.;Abmeldung;Kündigung;Einschulung
Meldebescheinigung;Auf dem Bürgeramt bekommt der Bürger ein amtliches Dokument, das seinen Wohnsitz belegt, die gedruckte ___.;В ведомстве по делам граждан гражданин получает официальный документ, подтверждающий его место жительства — напечатанную справку о регистрации по месту жительства.;Arbeitsbescheinigung;Fahrkarte;Quittung
Krankenversicherung;In Deutschland ist jeder Bürger gesetzlich verpflichtet, Mitglied in einer Krankenkasse zu sein, der ___.;В Германии каждый гражданин обязан по закону состоять в больничной кассе — иметь медицинское страхование.;Autoversicherung;Haftpflicht;Rentenversicherung
Versicherungskarte;Beim Arztbesuch muss der Patient am Empfang als Erstes seine elektronische Plastikkarte vorzeigen, die ___.;При визите к врачу пациент должен на ресепшене первым делом предъявить свою электронную пластиковую карту — карту медицинского страхования.;Kreditkarte;Fahrkarte;Visitenkarte
Krankmeldung;Wer wegen Fieber nicht zur Arbeit gehen kann, muss dem Arbeitgeber spätestens am dritten Tag die gelbe ___ schicken.;Кто из-за температуры не может выйти на работу, должен не позже третьего дня отправить работодателю больничный лист (извещение о болезни).;Bewerbung;Kündigung;Rechnung
Arbeitsunfähigkeit;Wenn der Arzt feststellt, dass der Patient aus gesundheitlichen Gründen nicht arbeiten darf, attestiert er die ___.;Когда врач устанавливает, что пациент по состоянию здоровья не может работать, он удостоверяет нетрудоспособность.;Einsatzbereitschaft;Vollbeschäftigung;Gesundheit
Attest;Für die Schule braucht das kranke Kind eine ärztliche Bescheinigung vom Kinderarzt, ein schriftliches ___.;Для школы больному ребенку требуется медицинская справка от педиатра — письменное медицинское свидетельство (справка/аттест).;Zeugnis;Rezept;Protokoll
Hausarzt;Bei allgemeinen Beschwerden oder einer Erkältung geht man zuerst zu seinem allgemeinen Familien- und ___.;При общем недомогании или простуде сначала идут к своему общему семейному и домашнему терапевту (участковому врачу).;Chefarzt;Zahnarzt;Augenarzt
Notaufnahme;Nach einem schweren Autounfall in der Nacht bringt der Rettungswagen den Verletzten sofort in die Krankenhaus-___.;После тяжелой автоаварии ночью машина скорой помощи сразу доставляет пострадавшего в отделение неотложной помощи (приемный покой).;Wartehalle;Cafeteria;Bibliothek
Wartezimmer;Bevor der Patient ins Behandlungszimmer gerufen wird, nimmt er auf einem Stuhl Platz im ruhigen ___.;Прежде чем пациента позовут в кабинет врача, он садится на стул в тихой приемной (комнате ожидания).;Schlafzimmer;Wohnzimmer;Badezimmer
Sprechstunde;Die Praxis hat montags bis freitags von 8 bis 12 Uhr für alle Patienten geöffnet, das ist die reguläre ___.;Врачебный кабинет открыт с понедельника по пятницу с 8 до 12 часов для всех пациентов — это регулярные часы приема.;Schulstunde;Unterrichtszeit;Nachtschicht
Behandlung;Der Arzt verabreicht Medikamente und reinigt die Wunde, diese professionelle medizinische Heil-___ hilft dem Patienten.;Врач вводит медикаменты и очищает рану, это профессиональное медицинское лечебное воздействие (лечение) помогает пациенту.;Verletzung;Erkrankung;Ansteckung
Nebenwirkung;Auf dem Beipackzettel der Tabletten steht als mögliche unerwünschte Begleiterscheinung oft Schläfrigkeit, eine typische ___.;Во вкладыше к таблеткам в качестве возможного нежелательного сопутствующего явления часто указана сонливость — типичный побочный эффект.;Hauptwirkung;Besserung;Heilung
Packungsbeilage;Vor der Einnahme eines unbekannten Medikaments sollte man den gefalteten Informationszettel in der Schachtel lesen, die ___.;Перед приемом незнакомого лекарства следует прочитать сложенный информационный листок в коробке — инструкцию-вкладыш в упаковку.;Rechnung;Quittung;Werbebroschüre
Dosierung;Zweimal täglich genau eine Tablette nach dem Essen einnehmen, das ist die vom Arzt verordnete exakte Mengen-___.;Дважды в день принимать ровно одну таблетку после еды — это назначенная врачом точная дозировка.;Temperatur;Entfernung;Geschwindigkeit
Blutdruck;Die Manschette am Arm pumpt sich auf, um die Werte 120 zu 80 für das Herz-Kreislauf-System zu messen, den arteriellen ___.;Манжета на руке накачивается воздухом, чтобы измерить показатели 120 на 80 сердечно-сосудистой системы — артериальное кровяное давление.;Blutzucker;Körpergröße;Pulsfrequenz
Puls;Der Sanitäter legt zwei Finger an das Handgelenk des Verletzten und zählt die regelmäßigen Herzschläge, den spürbaren ___.;Санитар прикладывает два пальца к запястью пострадавшего и считает регулярные удары сердца — ощутимый пульс.;Blutdruck;Atemzug;Schmerz
Meinungsverschiedenheit;Weil sie unterschiedliche Ansichten über das Thema hatten, kam es zwischen den Kollegen zu einer kleinen verbalen ___.;Поскольку у них были разные взгляды на эту тему, между коллегами возникло небольшое словесное разногласие (расхождение во мнениях).;Übereinstimmung;Einigkeit;Freundschaft
Missverständnis;Ich habe gedacht, wir treffen uns um fünf, du dachtest um sechs, das war ein klassisches sprachliches ___.;Я подумал, что мы встречаемся в пять, а ты подумал, что в шесть — это было классическое языковое недопонимание (ошибка понимания).;Verständnis;Abkommen;Versprechen
Kompromiss;Weil beide Seiten etwas nachgaben, einigte man sich in der Mitte auf eine für alle akzeptable Lösung, einen fairen ___.;Поскольку обе стороны немного уступили, они сошлись посередине на приемлемом для всех решении — справедливом компромиссе.;Streit;Krieg;Protest
Zusammenarbeit;Das Projekt war nur deshalb so erfolgreich, weil alle Abteilungen Hand in Hand arbeiteten, eine hervorragende ___.;Проект был именно потому столь успешен, что все отделы работали рука об руку — превосходное совместное сотрудничество.;Trennung;Konkurrenz;Isolation
Verabredung;Am Freitagabend um zwanzig Uhr gehe ich mit meiner Freundin ins Theater, wir haben eine feste romantische ___.;В пятницу вечером в двадцать часов я иду со своей девушкой в театр, у нас запланированная романтическая договоренность о встрече (свидание).;Kündigung;Beschwerde;Operation
Terminvereinbarung;Beim Facharzt kann man nicht ohne Voranmeldung vorbeikommen, eine vorherige telefonische ___ ist zwingend nötig.;К узкому врачу-специалисту нельзя прийти без предварительной записи, обязательна предварительная запись на прием по телефону.;Kündigung;Reisebuchung;Entlassung
Beschwerde;Weil das Essen im Hotel kalt war und das Zimmer dreckig, schrieb der Gast an den Manager eine offizielle ___.;Поскольку еда в отеле была холодной, а номер грязным, гость написал менеджеру официальную жалобу (претензию).;Danksagung;Belobigung;Einladung
Rückmeldung;Nach dem Vorstellungsgespräch versprach die Personalleiterin, sich bis Freitag mit einer verbindlichen Antwort und ___ zu melden.;После собеседования руководитель отдела кадров пообещала выйти на связь до пятницы с обязательным ответом и обратной связью.;Kündigung;Krankmeldung;Abmahnung
Beratung;Wer sich ein Haus kaufen will, geht zur Bank und lässt sich von einem Finanzexperten ausführlich in einer professionellen ___ informieren.;Кто хочет купить дом, идет в банк и подробно информируется у финансового эксперта на профессиональной консультации.;Bestrafung;Operation;Besichtigung
Auskunft;Am Informationsschalter im Hauptbahnhof gibt die freundliche Bahnmitarbeiterin den Reisenden jede gewünschte Fahrplan-___.;У справочного окна на главном вокзале приветливая сотрудница железной дороги дает путешественникам любую желаемую справку по расписанию.;Strafe;Quittung;Rechnung
Öffnungszeit;Supermärkte in Bayern schließen meistens pünktlich um 20 Uhr, das ist die gesetzlich festgelegte abendliche ___.;Супермаркеты в Баварии обычно закрываются ровно в 20:00, это установленное законом вечернее время работы (часы работы).;Pause;Fahrzeit;Wartezeit
Ansprechpartner;Wenn Sie Fragen zum Vertrag haben, wenden Sie sich bitte an Herrn Meier, er ist in unserer Abteilung Ihr persönlicher ___.;Если у вас есть вопросы по договору, обратитесь, пожалуйста, к господину Майеру, он в нашем отделе ваше личное контактное лицо.;Gegner;Konkurrent;Zuschauer
Dienstleistung;Ein Haarschnitt beim Friseur oder eine Massage ist keine Ware zum Anfassen, sondern eine bezahlte persönliche Service-___.;Стрижка у парикмахера или массаж — это не осязаемый товар, а оплачиваемая персональная услуга (сервис).;Ware;Maschine;Fabrik
Verbraucher;Jeder Bürger, der im Supermarkt einkauft und Waren für den täglichen Bedarf konsumiert, gilt wirtschaftlich als geschützter ___.;Каждый гражданин, который делает покупки в супермаркете и потребляет товары для ежедневных нужд, экономически считается защищенным потребителем.;Hersteller;Fabrikant;Lieferant
Kundendienst;Wenn das neue Fernsehgerät nicht funktioniert, ruft man die Telefonnummer der Reparaturhilfe an, den technischen ___.;Когда новый телевизор не работает, звонят по номеру телефона ремонтной поддержки — в службу клиентской поддержки (сервисную службу).;Betriebsrat;Gemeinderat;Rechnungshof
zuverlässig;Auf meinen besten Freund kann ich mich immer zu hundert Prozent verlassen, er ist absolut pünktlich, ehrlich und extrem ___.;На своего лучшего друга я всегда могу положиться на все сто процентов, он абсолютно пунктуален, честен и крайне надежен.;unzuverlässig;faul;vergesslich
unzuverlässig;Er verspricht viel, hält aber nie sein Wort und kommt ständig zu spät, auf diesen Kollegen kann man nicht bauen, er ist furchtbar ___.;Он много обещает, но никогда не держит слово и постоянно опаздывает, на этого коллегу нельзя положиться, он ужасно ненадежен.;zuverlässig;treu;pünktlich
verantwortlich;Als Projektleiter ist Herr Weber für das Budget und die termingerechte Fertigstellung der gesamten Software ganz allein ___.;Как руководитель проекта господин Вебер совершенно единолично отвечает (несет ответственность) за бюджет и своевременное завершение всего софта.;schuldlos;unwichtig;überflüssig
zuständig;Für die Verlängerung des Reisepasses ist nicht die Polizei, sondern ausschließlich das örtliche Bürgeramt fachlich ___.;За продление загранпаспорта отвечает (компетентна) не полиция, а исключительно местное ведомство по делам граждан.;unfähig;fremd;unwichtig
selbstständig;Sie arbeitet nicht als angestellte Mitarbeiterin in einer Firma, sondern hat ihr eigenes kleines Unternehmen und ist beruflich ___.;Она работает не наемным сотрудником в фирме, а имеет собственное небольшое предприятие и профессионально самозанята (работает на себя).;angestellt;arbeitslos;abhängig
befristet;Der Arbeitsvertrag gilt leider nicht dauerhaft, sondern ist zunächst nur für ein einziges Jahr zeitlich ___.;Трудовой договор, к сожалению, действует не постоянно, а по времени ограничен (заключен на определенный срок) пока только на один год.;unbefristet;lebenslang;endlos
unbefristet;Nach der erfolgreichen Probezeit erhielt der Mitarbeiter die frohe Botschaft: Sein neuer Vertrag ist auf Dauer und absolut ___.;После успешного испытательного срока сотрудник получил радостную весть: его новый договор заключен бессрочно (на неопределенный срок).;befristet;kurz;vorübergehend
berufstätig;Beide Elternteile gehen jeden Tag voll arbeiten und verdienen Geld, sie sind beide engagiert und voll ___.;Оба родителя каждый день ходят на полную работу и зарабатывают деньги, они оба активно заняты трудовой деятельностью (работают).;arbeitslos;arbeitsunfähig;faul
arbeitslos;Nach der Schließung der großen Fabrik verlor er seinen Job und ist seit drei Monaten leider ohne Arbeit und offiziell ___.;После закрытия крупной фабрики он потерял работу и уже три месяца, к сожалению, остается без работы и официально безработным.;berufstätig;angestellt;beschäftigt
volljährig;In Deutschland feiert man mit achtzehn Jahren das Erreichen des Erwachsenenalters und gilt juristisch als uneingeschränkt ___.;В Германии в восемнадцать лет празднуют достижение взрослого возраста и юридически считаются полностью совершеннолетним.;minderjährig;kindisch;Klein
minderjährig;Jugendliche unter achtzehn Jahren dürfen ohne Erlaubnis der Eltern keinen Mietvertrag unterschreiben, denn sie sind noch gesetzlich ___.;Подростки младше восемнадцати лет не имеют права без разрешения родителей подписывать договор аренды, ведь они по закону еще несовершеннолетние.;volljährig;erwachsen;alt
hilflos;Ohne Sprachkenntnisse stand der Tourist am fremden Bahnhof und wusste überhaupt nicht weiter, er fühlte sich völlig verlassen und ___.;Без знания языка турист стоял на чужом вокзале и вообще не знал, как быть дальше — он чувствовал себя совершенно покинутым и беспомощным.;Stark;mächtig;selbstsicher
verzweifelt;Nachdem er seinen Pass und sein ganzes Geld im Urlaub verloren hatte, wusste er keinen Ausweg mehr und war mit den Nerven am Ende, total ___.;После того как он потерял паспорт и все деньги в отпуске, он больше не видел выхода и был на грани нервного срыва — совершенно в отчаянии.;glücklich;zuversichtlich;froh
zuversichtlich;Wir haben uns gründlich vorbereitet und ein tolles Team, deshalb blicken wir mit gutem Mut in die Zukunft und sind extrem ___.;Мы основательно подготовились и у нас отличная команда, поэтому мы с бодрым духом смотрим в будущее и крайне уверены в успехе (оптимистичны).;verzweifelt;pessimistisch;traurig
überraschenderweise;Niemand hatte mit seinem Sieg gerechnet, aber am Ende gewann er das schwere Tennismatch ganz unerwartet und ___.;Никто не рассчитывал на его победу, но в конце он совершенно неожиданно и удивительным образом (к всеобщему удивлению) выиграл трудный теннисный матч.;absichtlich;planmäßig;hoffnungslos
