verdienen;Er arbeitet hart in der Fabrik und will jeden Monat gutes Geld ___.;Он усердно работает на фабрике и хочет каждый месяц зарабатывать хорошие деньги.;schlafen;liegen;sitzen
rauchen;Im ganzen Krankenhaus gilt ein striktes Verbot, hier darf man keine Zigaretten ___.;Во всей больнице действует строгий запрет, здесь нельзя курить сигареты.;trinken;essen;kochen
vermieten;Der Besitzer hat ein freies Zimmer im Dachgeschoss und möchte es gerne an Studenten ___.;У владельца есть свободная комната на мансарде, и он хочет сдать ее в аренду студентам.;kochen;schlafen;trinken
kündigen;Ich bin unzufrieden mit der schlechten Bezahlung und werde meine Stelle bei der Firma morgen ___.;Я недоволен плохой оплатой и завтра уволюсь (расторгну трудовой договор) со своей должности в фирме.;schlafen;trinken;kochen
einziehen;Die Malerarbeiten sind fertig, nächste Woche können wir endlich in das renovierte Haus ___.;Малярные работы закончены, на следующей неделе мы сможем наконец въехать (заселиться) в отремонтированный дом.;ausziehen;umziehen;schlafen
umziehen;Unsere Familie braucht mehr Platz, deshalb müssen wir bald in eine größere Wohnung ___.;Нашей семье нужно больше места, поэтому мы скоро должны переехать в квартиру побольше.;anziehen;ausziehen;schlafen
bemerken;Er war so in sein Buch vertieft, dass er die lauten Schritte im Flur gar nicht ___ konnte.;Он был так углублен в свою книгу, что вообще не смог заметить громкие шаги в коридоре.;schlafen;trinken;kochen
hassen;Ich mag keine Kälte und Dunkelheit im Winter, ich tue diesen ständigen Frost regelrecht ___.;Я не люблю холод и темноту зимой, я этот постоянный мороз прямо-таки ненавижу.;lieben;mögen;schätzen
Beruf;Ich arbeite als Krankenpfleger, und dieser soziale ___ macht mir wirklich viel Freude.;Я работаю медбратом, и эта социальная профессия доставляет мне действительно много радости.;Urlaub;Koffer;Tisch
Büro;Der Schreibtisch und der Computer meines Chefs stehen im hellen ___ im zweiten Stock.;Письменный стол и компьютер моего шефа стоят в светлом офисе (кабинете) на втором этаже.;Balkon;Garten;Keller
Gehalt;Am Ende des Monats überweist der Arbeitgeber das verdiente Geld als monatliches ___ auf mein Konto.;В конце месяца работодатель переводит заработанные деньги как ежемесячную зарплату мне на счет.;Paket;Buch;Rezept
Firma;Mein Onkel leitet ein erfolgreiches Unternehmen und hat in seiner eigenen ___ über fünfzig Mitarbeiter.;Мой дядя руководит успешным предприятием и имеет в своей собственной фирме более пятидесяти сотрудников.;Schule;Küche;Straße
Job;Er ist Student und verdient sich am Wochenende als Kellner in einer Bar einen kleinen ___ dazu.;Он студент и зарабатывает на выходных официантом в баре на небольшой подработке (работе).;Koffer;Schuh;Kuchen
Praktikum;Vor Beginn des Studiums möchte sie im Krankenhaus für drei Monate ein unbezahltes ___ machen.;Перед началом учебы в университете она хочет пройти в больнице на три месяца неоплачиваемую практику (стажировку).;Urlaub;Geschenk;Konzert
Bewerbung;Ich habe mein Anschreiben und den Lebenslauf ausgedruckt und schicke diese schriftliche ___ an den Betrieb.;Я распечатал свое сопроводительное письмо и резюме и отправляю эту письменную заявку (резюме) на предприятие.;Fahrkarte;Quittung;Rechnung
Ausbildung;Nach dem Schulabschluss macht mein Neffe eine dreijährige praktische ___ zum Automechaniker.;После окончания школы мой племянник проходит трехлетнее практическое профессиональное обучение на автомеханика.;Reise;Pause;Feier
Lehrer;Er unterrichtet Mathematik an der Schule und ist bei allen Schülern ein sehr beliebter und gerechter ___.;Он преподает математику в школе и является среди всех учеников очень популярным и справедливым учителем.;Patient;Kunde;Gast
Schüler;Um acht Uhr morgens sitzen dreißig Kinder im Klassenzimmer, und jeder einzelne ___ hört dem Lehrer zu.;В восемь часов утра тридцать детей сидят в классной комнате, и каждый отдельный ученик слушает учителя.;Arzt;Chef;Kellner
Student;Er lernt fleißig in der Universitätsbibliothek für seine Masterprüfung, denn er ist ein engagierter ___.;Он усердно учится в университетской библиотеке к магистерскому экзамену, ведь он увлеченный студент.;Lehrer;Arzt;Patient
Prüfung;Am Freitag schreiben wir einen schweren Test in Grammatik, ich habe große Angst vor dieser wichtigen ___.;В пятницу мы пишем трудный тест по грамматике, я очень боюсь этого важного экзамена.;Pause;Reise;Party
Aufgabe;Der Mathelehrer schreibt eine schwierige Rechenübung an die Tafel, und wir müssen diese knifflige ___ lösen.;Учитель математики пишет сложное вычислительное упражнение на доске, и мы должны решить эту замысловатую задачу.;Pause;Miete;Karte
Hausaufgabe;Nach der Schule darf das Kind erst auf den Spielplatz gehen, wenn es die schriftliche ___ komplett erledigt hat.;После школы ребенку разрешено пойти на детскую площадку только тогда, когда он полностью выполнит письменное домашнее задание.;Reise;Party;Feier
Computer;Für die Arbeit im Homeoffice brauche ich einen schnellen Schreibtischrechner und einen modernen ___ mit Monitor.;Для работы на удаленке мне нужен быстрый настольный ПК и современный компьютер с монитором.;Kühlschrank;Backofen;Staubsauger
Meer;Im Sommer fahren wir an die Küste, liegen am Strand und baden im salzigen Wasser im tiefen ___.;Летом мы едем на побережье, лежим на пляже и купаемся в соленой воде в глубоком море.;Wald;Zimmer;Keller
Strand;Die Kinder bauen aus feuchtem Sand am Rand des Meeres große Burgen direkt am breiten ___.;Дети строят из влажного песка у кромки моря большие замки прямо на широком песчаном пляже.;Wald;Kino;Balkon
See;Im heißen Sommer schwimmen wir gerne im kühlen, süßen Süßwasser in dem kleinen blauen ___ im Wald.;Жарким летом мы с удовольствием плаваем в прохладной пресной воде в маленьком синем озере в лесу.;Bett;Kühlschrank;Schrank
Berg;Wir schnallen die Skier an und fahren von dem verschneiten Gipfel hoch oben auf dem hohen ___ hinab.;Мы пристегиваем лыжи и съезжаем с заснеженной вершины высоко на высокой горе вниз.;Kino;Zimmer;Keller
Wald;Zwischen den hohen Tannen und alten Eichen ist es herrlich still beim Spaziergang durch den dichten ___.;Среди высоких елей и старых дубов великолепно тихо во время прогулки по густому лесу.;Kino;Kühlschrank;Markt
Insel;Mallorca liegt mitten im Mittelmeer und ist bei deutschen Touristen eine sehr beliebte Urlaubs-___.;Майорка лежит посреди Средиземного моря и является среди немецких туристов очень популярным островом для отпуска.;Straße;Wohnung;Küche
Natur;Viele Menschen verlassen am Wochenende die laute Großstadt und erholen sich draußen an der frischen Luft im Grünen in der reinen ___.;Многие люди уезжают на выходных из шумного мегаполиса и отдыхают на свежем воздухе на зелени на чистой природе.;Küche;Fabrik;Kneipe
Fluss;Die Donau fließt durch mehrere europäische Länder und ist ein extrem langer, breiter ___.;Дунай протекает через несколько европейских стран и является чрезвычайно длинной широкой рекой.;Tisch;Schrank;Koffer
Ufer;Wir sitzen abends ganz entspannt auf einer Bank und schauen über das Wasser direkt am ruhigen ___.;Мы сидим вечером совсем расслабленно на скамейке и смотрим на воду прямо у спокойного берега.;Zimmer;Kino;Supermarkt
Pflanze;Auf dem Fensterbrett im Wohnzimmer steht ein kleiner Blumentopf mit einer grünen ___.;На подоконнике в гостиной стоит маленький цветочный горшок с зеленым растением.;Flasche;Gabel;Tasse
Baum;Im Garten wachsen saftige rote Äpfel an einem großen, alten ___ mit dicken Ästen.;В саду растут сочные красные яблоки на большом старом дереве с толстыми ветвями.;Schrank;Tisch;Stuhl
Blume;Er kauft seiner Freundin zum Valentinstag eine rote Rose, denn sie liebt diese wunderschöne ___.;Он покупает своей девушке на день святого Валентина красную розу, ведь она любит этот прекрасный цветок.;Kartoffel;Zwiebel;Gurke
Gras;Im Frühling wird die Wiese hinter dem Haus wieder saftig grün durch das frisch wachsende ___.;Весной луг позади дома снова становится сочно зеленым благодаря свежерастущей траве.;Brot;Salz;Öl
Himmel;Keine einzige Wolke ist zu sehen, die Sommersonne strahlt an einem strahlend blauen ___.;Ни единого облака не видно, летнее солнце сияет на ослепительно синем небе.;Boden;Keller;Kühlschrank
Stern;In einer klaren, mondlosen Nacht leuchtet am dunklen Nachthimmel über uns fast jeder einzelne helle ___.;В ясную безлунную ночь на темном ночном небе над нами светится почти каждая отдельная яркая звезда.;Koffer;Stuhl;Tisch
Geld;Ich habe mein Portemonnaie vergessen und habe leider überhaupt keine Münzen und kein ___ dabei.;Я забыл свой бумажник и у меня, к сожалению, вообще нет монет и никаких денег с собой.;Wasser;Brot;Suppe
Preis;Dieses Fahrrad kostet tausend Euro, dieser extrem hohe ___ ist mir leider viel zu teuer.;Этот велосипед стоит тысячу евро, эта крайне высокая цена для меня, к сожалению, слишком дорога.;Koffer;Teller;Tisch
Rabatt;Wegen des Ausverkaufs sind alle Jacken heute um die Hälfte billiger, es gibt zwanzig Prozent ___.;Из-за распродажи все куртки сегодня вполовину дешевле, действует скидка двадцать процентов.;Schmerz;Hunger;Durst
Angebot;Im Prospekt des Supermarkts gibt es frischen Lachs diese Woche zu einem besonders günstigen ___.;В буклете супермаркета свежий лосось на этой неделе представлен по особенно выгодному спецпредложению.;Urlaub;Termin;Unfall
Kunde;Die Verkäuferin berät im Modegeschäft sehr freundlich einen interessierten neuen ___.;Продавщица в магазине модной одежды очень дружелюбно консультирует заинтересованного нового покупателя (клиента).;Arzt;Chef;Lehrer
Verkäufer;Ich möchte wissen, wie viel der Pullover kostet, und frage den freundlichen ___ an der Information.;Я хочу узнать, сколько стоит свитер, и спрашиваю дружелюбного продавца в справочной.;Patient;Schüler;Gast
Größe;Dieses T-Shirt in M ist mir leider an den Schultern viel zu eng geschnitten, haben Sie es auch in der passenden ___ L?;Эта футболка в размере M мне, к сожалению, в плечах слишком узко скроена, у вас есть она также подходящего размера L?;Farbe;Miete;Nummer
Farbe;Sie möchte keine schwarze Bluse kaufen, denn sie bevorzugt für den Sommer eine helle, freundliche ___ wie Gelb.;Она не хочет покупать черную блузку, так как предпочитает на лето светлый дружелюбный цвет вроде желтого.;Größe;Rechnung;Miete
Telefon;Im Flur ertönt ein lautes Klingeln, nimmst du bitte den Hörer ab und gehst an das alte ___?;В коридоре раздается громкий звонок, сними, пожалуйста, трубку и подойди к старому телефону?;Bett;Radio;Fenster
Anruf;Ich war kurz nicht am Arbeitsplatz und habe auf dem Display einen verpassten ___ von meiner Frau gesehen.;Я ненадолго отошел с рабочего места и увидел на дисплее пропущенный телефонный звонок от моей жены.;Koffer;Kuchen;Ausflug
Gespräch;Wir müssen über deine Zukunft reden, wir setzen uns morgen zusammen und führen ein langes persönliches ___.;Мы должны поговорить о твоем будущем, мы сядем завтра вместе и проведем долгий личный разговор (беседу).;Konzert;Mahlzeit;Urlaub
E-Mail;Ich schicke Ihnen die Rechnung und die Vertragsunterlagen heute Nachmittag als elektronische ___ an Ihre Adresse.;Я отправлю вам счет и документы по договору сегодня после обеда электронным письмом (e-mail) на ваш адрес.;Kiste;Tasche;Gabel
Zeitung;Mein Vater setzt sich morgens gerne an den Küchentisch und liest bei einer Tasse Kaffee die aktuelle Tages-___.;Мой отец утром с удовольствием садится за кухонный стол и читает за чашкой кофе свежую ежедневную газету.;Suppe;Wurst;Milch
Buch;Ich mache es mir im Sessel bequem und lese jeden Abend vor dem Schlafen noch ein Kapitel in meinem spannenden ___.;Я устраиваюсь поудобнее в кресле и читаю каждый вечер перед сном еще одну главу в своей увлекательной книге.;Kühlschrank;Koffer;Messer
Stift;Ich möchte mir deine Telefonnummer auf einem Zettel notieren, hast du mal kurz einen blauen ___ zum Schreiben?;Я хочу записать твой номер телефона на бумажке, у тебя найдется ненадолго синяя ручка (карандаш) для письма?;Teller;Löffel;Topf
Mensch;Jeder einzelne ___ auf dieser Welt hat das Recht auf Freiheit, Würde und ein sicheres Leben.;Каждый отдельный человек на этом свете имеет право на свободу, достоинство и безопасную жизнь.;Stuhl;Tisch;Schrank
Person;Für die Reservierung des Tisches im Restaurant müssen Sie angeben: Der Eintritt gilt genau für eine erwachsene ___.;Для бронирования столика в ресторане вы должны указать: вход действует ровно на одного взрослого человека (персону).;Tüte;Gabel;Flasche
Leute;Auf dem Marktplatz vor dem Rathaus stehen heute Hunderte von Menschen, es sind unglaublich viele gut gelaunte ___ da.;На рыночной площади перед ратушей сегодня стоят сотни людей, там невероятно много людей в хорошем настроении.;Koffer;Möbel;Tische
Mann;Dort drüben an der Bushaltestelle steht ein groß gewachsener Herr mit Bart, dieser freundliche ___ wartet auf den Bus.;Вон там на автобусной остановке стоит высокий господин с бородой, этот приветливый мужчина ждет автобус.;Kind;Frau;Mädchen
Frau;Meine Mutter ist eine fleißige, herzliche Dame, und diese kluge ___ leitet seit vielen Jahren eine Apotheke.;Моя мама — прилежная сердечная дама, и эта умная женщина руководит много лет аптекой.;Mann;Junge;Sohn
Junge;Der kleine Peter spielt im Hof begeistert mit einem Fußball, dieser zehnjährige ___ möchte später Profisportler werden.;Маленький Петер играет во дворе с восторгом в футбол, этот десятилетний мальчик хочет стать позже профессиональным спортсменом.;Mädchen;Frau;Oma
Mädchen;Die kleine Anna zieht am liebsten bunte Prinzessinnenkleider an, dieses fröhliche siebenjährige ___ liebt Tanzen.;Маленькая Анна охотнее всего носит пестрые платья принцесс, эта веселая семилетняя девочка обожает танцы.;Junge;Mann;Vater
Baby;Der Säugling liegt friedlich in der kleinen Wiege und schläft, dieses süße neugeborene ___ trinkt nur Milch.;Грудничок мирно лежит в маленькой колыбели и спит, этот милый новорожденный малыш пьет только молоко.;Mann;Lehrer;Chef
Opa;Mein Großvater geht mit mir gerne im Park spazieren, ich habe meinen lieben alten ___ sehr ins Herz geschlossen.;Мой дедушка с удовольствием гуляет со мной в парке, я своего дорогого старого дедулю очень полюбил.;Sohn;Bruder;Neffe
Oma;Meine Großmutter backt jeden Sonntag die leckersten Waffeln der Welt, meine liebe ___ kocht einfach fantastisch.;Моя бабушка печет каждое воскресенье самые вкусные вафли в мире, моя дорогая бабуля готовит просто потрясающе.;Tochter;Schwester;Nichte
Onkel;Der Bruder meines Vaters wohnt in München, mein lustiger ___ Thomas bringt mir immer tolle Geschenke mit.;Брат моего отца живет в Мюнхене, мой веселый дядя Томас всегда привозит мне отличные подарки.;Tante;Mutter;Schwester
Tante;Die Schwester meiner Mutter lädt uns zum Kaffee ein, meine herzliche ___ Sabine hat einen wunderschönen Garten.;Сестра моей мамы приглашает нас на кофе, у моей душевной тети Сабины прекрасный сад.;Onkel;Vater;Bruder
Freundin;Wir gehen zusammen ins Kino und reden über alles, meine beste weibliche Bezugsperson und treue ___ hilft mir immer.;Мы идем вместе в кино и говорим обо всем, моя лучшая верная подруга всегда помогает мне.;Koffer;Flasche;Suppe
Nachbarin;In der Wohnung schräg gegenüber wohnt eine ältere Dame, diese sehr freundliche und hilfsbereite ___ gießt meine Blumen.;В квартире наискосок напротив живет пожилая дама, эта очень приветливая и отзывчивая соседка поливает мои цветы.;Chef;Arzt;Kellner
Gast;Im Hotelzimmer steht frisches Obst auf dem Tisch bereit, um jeden neu anreisenden ___ herzlich zu empfangen.;В гостиничном номере на столе приготовлены свежие фрукты, чтобы сердечно встретить каждого вновь прибывающего гостя.;Kellner;Koch;Arzt
wunderbar;Die Sonne scheint, die Vögel singen und das ganze Wochenende ist wettertechnisch einfach nur ___.;Солнце светит, птицы поют, и все выходные по погоде просто чудесны (прекрасны).;furchtbar;schlecht;hässlich
zufrieden;Das Essen im Gasthaus hat köstlich geschmeckt und der Service war top, der Gast ist vollkommen ___.;Еда в трактире была восхитительной на вкус, и сервис был отличным, гость полностью доволен.;wütend;traurig;sauer
ruhig;In dieser kleinen Seitenstraße ohne jeden Autoverkehr ist es nachts absolut still und herrlich ___.;На этой маленькой боковой улочке без какого-либо автомобильного движения ночью абсолютно тихо и восхитительно спокойно.;laut;hektisch;schnell
sicher;Schließe beim Verlassen des Hauses die Tür zweimal mit dem Schlüssel ab, damit die Wohnung ganz ___ ist!;Закрывай при выходе из дома дверь на два оборота ключом, чтобы квартира была в полной безопасности (надежна)!;gefährlich;offen;kaputt
gefährlich;Das Betreten der morschen Holzbrücke über der tiefen Schlucht ist wegen Einsturzgefahr extrem ___.;Проход по ветхому деревянному мосту над глубоким ущельем из-за опасности обрушения чрезвычайно опасен.;sicher;ruhig;gesund
klug;Sie löst jedes mathematische Rätsel in wenigen Sekunden und hat brillante Noten, dieses Mädchen ist unheimlich ___.;Она решает любую математическую загадку за считанные секунды и имеет блестящие оценки, эта девочка невероятно умна.;dumm;faul;müde
böse;Der kleine Junge hat seiner Schwester absichtlich das Spielzeug kaputtgemacht, deshalb ist die Mama jetzt richtig ___ auf ihn.;Маленький мальчик нарочно сломал своей сестре игрушку, поэтому мама сейчас по-настоящему зла на него.;froh;glücklich;müde
nett;Unser Vermieter hat uns frische Äpfel aus seinem Garten geschenkt, er ist wirklich ein sehr freundlicher und ___er Mann.;Наш арендодатель подарил нам свежие яблоки из своего сада, он действительно очень дружелюбный и милый человек.;böser;wütender;fauler
nützlich;Ein Taschenmesser mit vielen verschiedenen Werkzeugen ist beim Wandern und Campen im Wald extrem praktisch und ___.;Карманный нож со множеством разных инструментов во время похода и кемпинга в лесу крайне практичен и полезен.;schädlich;sinnlos;kaputt
streng;Im Unterricht duldet der Lehrer überhaupt kein Geschwätz und besteht auf absolute Disziplin, er ist ziemlich ___.;На уроке учитель вообще не терпит болтовни и настаивает на абсолютной дисциплине, он довольно строг.;faul;müde;leise
vorgestern;Heute ist Freitag, gestern war Donnerstag und der Tag davor am Mittwoch war somit genau ___.;Сегодня пятница, вчера был четверг, а день перед этим в среду был таким образом в точности позавчера.;morgen;übermorgen;heute
wahrscheinlich;Am Himmel ziehen schon dicke graue Wolken auf, es wird am späten Nachmittag ziemlich ___ regnen.;На небе уже собираются густые серые тучи, во второй половине дня весьма вероятно пойдет дождь.;nie;gestern;vorgestern
hoffentlich;Ich habe so fleißig für die Prüfung gelernt, ___ bekomme ich diesmal eine richtig gute Note!;Я так усердно учился к экзамену, хоть бы (надеюсь) я получил в этот раз действительно хорошую оценку!;gestern;vorgestern;nie
überall;Im Frühling blühen die Blumen auf jeder Wiese und an jeder Straßenecke, man sieht die bunten Farben wirklich ___.;Весной цветы цветут на каждом лугу и на каждом углу улицы, пестрые краски действительно видно везде (повсюду).;nirgends;gestern;vorgestern
überhaupt;Er versteht von Computern absolut gar nichts und hat davon ___ keine Ahnung.;Он абсолютно ничего не понимает в компьютерах и вообще не имеет об этом понятия.;oft;immer;selten
