küssen;Das Brautpaar steht vor dem Altar und darf sich jetzt zärtlich auf den Mund ___.;Молодожены стоят перед алтарем и могут сейчас нежно поцеловать друг друга в губы.;schlagen;beißen;treten
senden;Ich habe die fertige Bewerbung als PDF an meine Nachricht angehängt und werde sie per Knopfdruck sofort an die Firma ___.;Я прикрепил готовое резюме в PDF к своему сообщению и отправлю его нажатием кнопки немедленно в фирму.;Kochen;Schlafen;wohnen
kleben;Der Umschlag ist offen, nimm den Klebstoffstift und versuche die beiden Papierränder fest zusammen zu ___.;Конверт открыт, возьми клей-карандаш и попробуй крепко склеить два бумажных края вместе.;schneiden;Kochen;trinken
basteln;Die Kinder schneiden buntes Papier aus und nehmen Schere und Kleber, um für Oma ein kleines Geschenk zu ___.;Дети вырезают цветную бумагу и берут ножницы и клей, чтобы смастерить для бабушки маленький подарок.;Kochen;Schlafen;trinken
Malen;Der Künstler nimmt Pinsel und bunte Ölfarben und beginnt ein schönes Porträt auf die Leinwand zu ___.;Художник берет кисти и цветные масляные краски и начинает рисовать (писать красками) красивый портрет на холсте.;Kochen;Schlafen;trinken
Zeichnen;Mit einem spitzen Bleistift und einem Lineal kann man auf dem Papier sehr exakte geometrische Figuren ___.;Острым карандашом и линейкой можно чертить (рисовать линиями) на бумаге очень точные геометрические фигуры.;Kochen;Schlafen;trinken
bluten;Ich habe mich beim Holzhacken tief in den Daumen geschnitten und die offene Wunde fängt stark an zu ___.;Я при колке дров глубоко порезал большой палец, и открытая рана начинает сильно кровоточить.;Schlafen;Lachen;singen
frieren;Draußen herrschen minus zwanzig Grad und ohne Wintermantel muss man am ganzen Körper schrecklich zittern und ___.;На улице царят минус двадцать градусов, и без зимнего пальто приходится страшно дрожать всем телом и мерзнуть.;schwitzen;Kochen;brennen
schwitzen;Bei vierzig Grad Hitze im Schatten läuft einem das Wasser von der Stirn und man fängt stark an zu ___.;При сорокаградусной жаре в тени вода течет со лба и человек начинает сильно потеть.;frieren;Schlafen;erfrieren
heilen;Mit der richtigen Salbe und etwas Ruhe wird diese kleine Schnittwunde nach ein paar Tagen von ganz alleine wieder ___.;С правильной мазью и небольшим покоем эта маленькая резаная рана через пару дней сама по себе снова заживет (исцелится).;Schlafen;bluten;sterben
kämmen;Nach dem Duschen stehen meine nassen Haare in alle Richtungen, ich muss sie vor dem Spiegel gründlich mit der Bürste ___.;После душа мои мокрые волосы торчат во все стороны, я должен перед зеркалом тщательно расчесать их щеткой.;schneiden;Kochen;trinken
rasieren;Morgens schäumt er seine Wangen mit Rasierschaum ein und nimmt eine scharfe Klinge, um seinen dichten Bart glatt zu ___.;Утром он намыливает щеки пеной для бритья и берет острое лезвие, чтобы гладко сбрить (побрить) густую бороду.;kämmen;schminken;trinken
schminken;Vor dem Theaterbesuch trägt sie Lippenstift und Wimperntusche auf, um ihr Gesicht für den Abend elegant zu ___.;Перед походом в театр она наносит помаду и тушь для ресниц, чтобы элегантно накрасить (загримировать) свое лицо на вечер.;rasieren;kämmen;waschen
abtrocknen;Nach dem Aussteigen aus der Badewanne nimmst du das große Frotteehandtuch, um deinen nassen Körper schnell ganz trocken zu ___.;После выхода из ванны ты берешь большое махровое полотенце, чтобы быстро насухо вытереть свое мокрое тело.;waschen;gießen;spülen
Klettern;Die mutigen Bergsteiger sichern sich mit festen Seilen und wollen die steile Felswand ganz hinauf bis zum Gipfel ___.;Смелые альпинисты страхуются прочными веревками и хотят карабкаться (лезть) по крутой скале на самый верх до вершины.;Schwimmen;Fahren;fliegen
Wunde;Der Arzt desinfiziert die tiefe Schnittverletzung am Arm und näht die blutende ___ mit drei Stichen.;Врач дезинфицирует глубокую резаную травму на руке и зашивает кровоточащую рану тремя стежками.;Lampe;Tasche;Flasche
Verband;Um die verletzte Hand sauber einzuwickeln und vor Schmutz zu schützen, legt die Krankenschwester einen weißen textilen ___ an.;Чтобы чисто обмотать травмированную руку и защитить от грязи, медсестра накладывает белую тканевую повязку (бинт).;Schuh;Koffer;Teller
Krankheit;Gegen eine schwere bakterielle Infektion oder eine chronische ___ verschreibt der Facharzt oft starke Medikamente.;Против тяжелой бактериальной инфекции или хронической болезни врач-специалист часто выписывает сильные лекарства.;Reise;Freude;Pause
Tropfen;Wenn die Augen trocken sind und jucken, träufelt man sich dreimal täglich diese flüssigen Augen-___ hinein.;Когда глаза сухие и чешутся, трижды в день закапывают эти жидкие глазные капли.;Brote;Messer;Kissen
Tablette;Bei starken Schmerzen nehme ich ein Glas Wasser und schlucke diese weiße runde Schmerz-___ ganz herunter.;При сильных болях я беру стакан воды и проглатываю эту белую круглую таблетку от боли целиком.;Gabel;Flasche;Tasse
Salbe;Gegen den juckenden Insektenstich reibe ich mir eine kühlende weiße Creme oder medizinische ___ auf die Haut.;От зудящего укуса насекомого я втираю себе в кожу охлаждающий белый крем или медицинскую мазь.;Suppe;Milch;Butter
Spritze;Für die Impfung gegen das Virus sticht die Ärztin mit einer feinen Nadel in den Oberarm und setzt eine kleine ___.;Для вакцинации против вируса врач колет тонкой иглой в плечо и делает маленький укол (вводит шприц).;Flasche;Tasse;Gabel
Krankenschwester;Im Krankenhaus bringt die freundliche Pflegerin den Patienten das Essen und misst das Fieber, diese hilfsbereite ___ kümmert sich rührend.;В больнице приветливая санитарка приносит пациентам еду и измеряет температуру, эта заботливая медсестра трогательно ухаживает.;Köchin;Lehrerin;Verkäuferin
Untersuchung;Einmal im Jahr gehe ich zur Vorsorge in die Praxis, denn diese gründliche medizinische Routine-___ ist sehr wichtig.;Раз в год я хожу в профилактических целях на прием, ведь это тщательное медицинское рутинное обследование (осмотр) очень важно.;Pause;Reise;Party
Erkältung;Wegen des nasskalten Wetters habe ich Halsschmerzen und eine laufende Nase, ich habe mir eine typische ___ eingefangen.;Из-за промозглой погоды у меня болит горло и насморк, я подхватил типичную простуду.;Freude;Reise;Party
Grippe;Er liegt seit einer Woche mit hohem Fieber, Schüttelfrost und Gliederschmerzen flach im Bett, er hat eine schwere echte ___.;Он уже неделю лежит пластом в постели с высокой температурой, ознобом и ломотой в теле, у него тяжелый настоящий грипп.;Pause;Reise;Party
Schulter;Der schwere Rucksack drückt beim langen Wandern schmerzhaft auf meine linke ___.;Тяжелый рюкзак при долгом походе болезненно давит на мое левое плечо.;Brille;Hose;Tasche
Ellbogen;Wenn man den Arm anwinkelt, spürt man in der Mitte das spitze Gelenk des Arms, nämlich den harten ___.;Когда сгибают руку, посередине чувствуют острый сустав руки, а именно твердый локоть.;Zahn;Bauch;Hals
Lippe;Im kalten Winterwind trocknet die Haut am Mund aus und die untere rote ___ bekommt Risse.;На холодном зимнем ветру кожа на рту пересыхает, и нижняя красная губа трескается.;Nase;Hand;Zunge
Zahnfleisch;Wenn man die Zähne zu fest putzt, fängt das empfindliche rosa Gewebe um die Zähne an zu bluten, nämlich das ___.;Если чистить зубы слишком сильно, чувствительная розовая ткань вокруг зубов начинает кровоточить, а именно десна.;Haar;Auge;Knie
Hund;Das treue Haustier wedelt fröhlich mit dem Schwanz, bellt laut und apportiert den Ball, dieser bellende ___ liebt Stöckchen.;Верный питомец радостно виляет хвостом, громко лает и приносит мяч, эта лающая собака обожает палочки.;Vogel;Fisch;Pferd
Katze;Das anschmiegsame Haustier schleicht leise auf Samtpfoten durch die Wohnung und fängt Mäuse, diese schnurrende ___ trinkt gerne Milch.;Ласковый питомец тихо крадется на мягких лапках по квартире и ловит мышей, эта мурлыкающая кошка с удовольствием пьет молоко.;Kuh;Schaf;Pferd
Pferd;Auf dem Bauernhof steht ein großes, edles Reittier im Stall, schnaubt leise und frisst Heu, dieses kräftige braune ___ trägt den Reiter.;На ферме стоит в стойле крупное благородное ездовое животное, тихо фыркает и ест сено, эта сильная коричневая лошадь (конь) везет всадника.;Hund;Katze;Maus
Kuh;Auf der grünen Weide grast das große Nutztier mit den Hörnern, frisst Gras und gibt uns frische Milch, diese gescheckte ___ macht Muh.;На зеленом пастбище пасется крупное домашнее животное с рогами, жует траву и дает нам свежее молоко, эта пятнистая корова говорит «му». ;Hund;Katze;Vogel
Schaf;Von diesem friedlichen Weidetier mit der dicken weißen Wolle schert der Bauer die Wolle für Pullover, dieses meckernde ___ blökt Mäh.;С этого мирного пастбищного животного с густой белой шерстью фермер стрижет шерсть для свитеров, эта блеющая овца говорит «бе».;Hund;Pferd;Kuh
Vogel;Hoch oben in den Zweigen des Baumes schlägt das gefiederte Tier mit den Flügeln und singt ein Frühlingslied, dieser kleine bunte ___ kann fliegen.;Высоко в ветвях дерева пернатое животное машет крыльями и поет весеннюю песенку, эта маленькая пестрая птица умеет летать.;Hund;Katze;Kuh
Maus;In der Speisekammer knabbert das winzige Nagetier mit den runden Ohren heimlich am Käse, diese graue flinke ___ flieht vor der Katze.;В кладовке крошечный грызун с круглыми ушками тайком грызет сыр, эта серая шустрая мышь убегает от кошки.;Kuh;Pferd;Hund
Wiese;Hinter dem Bauernhof erstreckt sich eine riesige freie Fläche voller grünem Gras und bunter Löwenzahnblüten, eine herrliche sonnige ___.;Позади фермы простирается огромное открытое пространство, полное зеленой травы и пестрых цветков одуванчика, великолепный солнечный луг.;Küche;Straße;Wohnung
Feld;Der Traktor pflügt die fruchtbare Erde und der Landwirt sät goldenen Weizen und Roggen auf das weite ___.;Трактор вспахивает плодородную землю, и фермер сеет золотую пшеницу и рожь на широкое поле.;Zimmer;Bett;Kino
Bauernhof;Auf diesem ländlichen Gut gibt es Ställe für Kühe, Schweine und Hühner sowie große Scheunen, die Familie lebt auf einem echten ___.;В этом загородном имении есть хлева для коров, свиней и кур, а также большие амбары, семья живет на настоящей ферме (крестьянском дворе).;Bahnhof;Flughafen;Kaufhaus
Tal;Zwischen den beiden steilen Bergen fließt unten am Grund ein kühler Gebirgsbach durch das grüne, windgeschützte ___.;Между двумя крутыми горами внизу по дну течет прохладный горный ручей через зеленую, защищенную от ветра долину.;Dach;Zimmer;Bett
Nebel;Am frühen Herbstmorgen sieht man die Straße vor lauter weißem Dunst kaum zehn Meter weit, über dem Fluss liegt dichter grauer ___.;Ранним осенним утром дорогу из-за белой дымки едва видно на десять метров вперед, над рекой лежит густой серый туман.;Sonnenschein;Regenbogen;Staub
Sturm;Der Orkan tobt mit orkanartigen Windböen, reißt Äste von den Bäumen und deckt Ziegel ab, dieser gewaltige schwere ___ ist gefährlich.;Ураган бушует шквальными порывами ветра, срывает ветви с деревьев и срывает черепицу, этот могучий тяжелый шторм (буря) опасен.;Sonnenschein;Nebel;Stille
Hitze;Im Hochsommer bei achtunddreißig Grad ohne Wind schwitzt man schon beim Sitzen, diese drückende sommerliche ___ ist anstrengend.;В разгар лета при тридцати восьми градусах без ветра потеешь уже просто сидя, эта давящая летняя жара утомительна.;Kälte;Frost;Eis
Kälte;Im tiefsten Januar bei minus fünfzehn Grad gefriert das Wasser sofort zu Eis, diese klirrende winterliche ___ lässt alle zittern.;В самый разгар января при минус пятнадцати градусах вода сразу замерзает в лед, этот трескучий зимний холод заставляет всех дрожать.;Hitze;Wärme;Sonne
Briefmarke;Bevor man einen Brief in den Briefkasten wirft, klebt man oben rechts in die Ecke eine bunte Post-___.;Прежде чем бросить письмо в почтовый ящик, в правый верхний угол наклеивают пеструю почтовую марку.;Münze;Flasche;Gabel
Absender;Oben links auf dem Briefumschlag steht die eigene Adresse der Person, die den Brief verschickt, nämlich der Name vom ___.;Вверху слева на конверте стоит собственный адрес человека, который отправляет письмо, а именно имя отправителя.;Empfänger;Briefträger;Nachbar
Empfänger;In die Mitte des Briefes schreibt man deutlich die Adresse der Person, die die Post bekommen soll, also den Namen vom ___.;В середину письма четко пишут адрес человека, который должен получить почту, то есть имя получателя (адресата).;Absender;Briefträger;Schreiber
Umschlag;Man faltet das beschriebene Blatt Papier ordentlich zusammen und steckt es zum Verschicken in diesen weißen Papier-___.;Исписанный лист бумаги аккуратно складывают и вкладывают для отправки в этот белый бумажный конверт.;Koffer;Teller;Topf
Kreditkarte;Ich habe kein Bargeld dabei, kann ich im Restaurant bitte kontaktlos mit meiner goldenen Plastik-___ bezahlen?;У меня нет с собой наличных, могу я в ресторане, пожалуйста, бесконтактно расплатиться моей золотой пластиковой кредитной картой?;Fahrkarte;Briefmarke;Visitenkarte
Bargeld;In dieser kleinen Bäckerei kann man nicht mit Karte zahlen, man braucht echte Scheine und Münzen, also passendes ___.;В этой маленькой пекарне нельзя платить картой, нужны настоящие купюры и монеты, то есть подходящие наличные (деньги).;Papier;Gold;Brot
Münze;Um den Einkaufswagen zu entsperren, stecke ich dieses kleine runde Geldstück aus Metall in den Schlitz, nämlich eine Ein-Euro-___.;Чтобы разблокировать тележку для покупок, я вставляю эту маленькую круглую монетку из металла в щель, а именно монету в один евро.;Banknote;Fahrkarte;Rechnung
Geldschein;Im Portemonnaie habe ich keine Münzen mehr, sondern nur noch einen blauen Zwanzig-Euro-___ aus Papier.;В кошельке у меня больше нет монет, а осталась только синяя двадцатиевровая банкнота (купюра) из бумаги.;Münze;Kreditkarte;Fahrkarte
Einkaufswagen;Am Eingang des großen Supermarkts nehme ich mir diesen rollenden Metallkorb auf vier Rädern, den großen praktischen ___.;У входа в большой супермаркет я беру себе эту катящуюся металлическую корзину на четырех колесах, большую практичную тележку для покупок.;Koffer;Rucksack;Kinderwagen
Kassenzettel;Nach dem Bezahlen an der Kasse druckt die Maschine diesen kleinen weißen Papierstreifen mit den Preisen aus, den ___.;После оплаты на кассе аппарат распечатывает эту маленькую белую полоску бумаги с ценами — кассовый чек.;Fahrplan;Brief;Katalog
Schaufenster;Vor dem Modegeschäft bleiben die Fußgänger stehen und bewundern die Kleider an den Puppen hinter der großen Glasscheibe im ___.;Перед магазином модной одежды пешеходы останавливаются и любуются платьями на манекенах за большим стеклом в витрине.;Spiegel;Kühlschrank;Backofen
Verkäuferin;Die freundliche Dame an der Fleischtheke schneidet den Schinken frisch auf und bedient die Kunden als hilfsbereite ___.;Приветливая дама у мясного прилавка свеженарезает ветчину и обслуживает покупателей как отзывчивая продавщица.;Ärztin;Lehrerin;Polizistin
Metzgerei;Frisches Rindfleisch, Bratwürste und feinen Schinken kaufe ich nicht abgepackt im Supermarkt, sondern frisch beim Fleischer in der ___.;Свежую говядину, жареные колбаски и изысканную ветчину я покупаю не расфасованными в супермаркете, а свежими у мясника в мясной лавке.;Bäckerei;Apotheke;Buchhandlung
Kaufhaus;In diesem riesigen mehrstöckigen Einkaufszentrum im Stadtzentrum bekommt man von Kleidung bis Elektronik alles im großen Traditions-___.;В этом огромном многоэтажном торговом центре в центре города от одежды до электроники можно купить всё в большом традиционном универмаге.;Krankenhaus;Rathaus;Museum
Gutschein;Weil ich nicht genau wusste, was sie sich wünscht, habe ich ihr zum Geburtstag für ihren Lieblingsladen eine Geschenkkarte oder einen ___ geschenkt.;Так как я точно не знал, чего она желает, я подарил ей на день рождения в ее любимый магазин подарочную карту или подарочный купон (сертификат).;Fahrschein;Reisepass;Ausweis
Kugelschreiber;Um ein Dokument mit blauer oder schwarzer Tinte dauerhaft zu unterschreiben, nimmt man diesen Stift mit kleiner Schreibkugel, den ___.;Чтобы подписать документ синими или черными чернилами навсегда, берут эту ручку с маленьким шариком для письма — шариковую ручку.;Bleistift;Pinsel;Kreide
Bleistift;Skizzen zeichnet man am besten mit diesem Stift aus Holz und einer Mine aus Graphit, denn diesen grauen ___ kann man wegradieren.;Наброски лучше всего рисовать этим карандашом из дерева и грифелем из графита, ведь этот серый простой карандаш можно стереть ластиком.;Kugelschreiber;Füller;Pinsel
Radiergummi;Wenn man sich mit dem Bleistift verschrieben hat, nimmt man diesen kleinen elastischen Block aus Kautschuk, den praktischen ___.;Если допустил описку карандашом, берут этот маленький эластичный брусок из каучука — практичный ластик (стирательную резинку).;Spitzer;Lineal;Kleber
Lineal;Um eine schnurgerade Linie von genau fünfzehn Zentimetern auf das Papier zu zeichnen, legt man diese flache Messlatte an, das ___.;Чтобы начертить на бумаге прямую как струна линию ровно в пятнадцать сантиметров, прикладывают эту плоскую мерную планку — линейку.;Radiergummi;Bleistift;Heft
Heft;In der Grundschule schreiben die Schüler ihre ersten Sätze und Rechenaufgaben mit der Hand in ein liniertes oder kariertes ___.;В начальной школе ученики пишут свои первые предложения и вычислительные задачи от руки в разлинованную или клетчатую тетрадь.;Buch;Zeitung;Mäppchen
Wörterbuch;Wenn ich die Bedeutung oder Übersetzung einer unbekannten deutschen Vokabel nachschlagen möchte, benutze ich ein dickes zweisprachiges ___.;Когда я хочу посмотреть значение или перевод незнакомого немецкого слова, я использую толстый двуязычный словарь.;Tagebuch;Heft;Roman
Klassenzimmer;In diesem großen Schulraum stehen zwanzig Tische, Stühle und eine Tafel, die ganze Schulklasse lernt gemeinsam im hellen ___.;В этом большом школьном помещении стоят двадцать столов, стулья и доска, весь школьный класс учится вместе в светлом классном кабинете.;Lehrerzimmer;Badezimmer;Schlafzimmer
Tafel;Der Lehrer nimmt ein weißes Stück Kreide und schreibt die neuen Grammatikregeln für alle gut sichtbar vorn an die große grüne Wand-___.;Учитель берет белый кусочек мела и пишет новые правила грамматики на виду у всех спереди на большой зеленой настенной школьной доске.;Tür;Wand;Bank
Stundenplan;An der Pinnwand hängt eine tabellarische Übersicht der Schulfächer von Montag bis Freitag, damit die Kinder wissen, was heute ansteht, der wöchentliche ___.;На пробковой доске висит табличный обзор школьных предметов с понедельника по пятницу, чтобы дети знали, какие сегодня уроки, — недельное расписание уроков.;Fahrplan;Speiseplan;Bauplan
Ferien;Im Juli und August schließt die Schule für sechs ganze Wochen ihre Pforten und alle Schüler genießen ihre wohlverdienten Sommer-___.;В июле и августе школа закрывает свои двери на целых шесть недель, и все ученики наслаждаются своими заслуженными летними каникулами.;Hausaufgaben;Prüfungen;Stunden
Zeugnis;Am letzten Schultag vor dem Sommer bekommt jeder Schüler ein offizielles Dokument mit all seinen Schulnoten ausgehändigt, das Schul-___.;В последний учебный день перед летом каждому ученику выдают на руки официальный документ со всеми его школьными оценками — школьный табель (аттестат).;Ticket;Rezept;Formular
Schultasche;Morgens vor dem Verlassen des Hauses packt das Kind alle Bücher, Hefte und das Pausenbrot sorgfältig in seine bunte, ergonomische ___.;Утром перед выходом из дома ребенок берет и аккуратно укладывает все книги, тетради и бутерброд в свой пестрый эргономичный школьный ранец (портфель).;Kofferraum;Einkaufstasche;Handtasche
Bildschirm;Um die Texte und Videos auf dem Computer zu sehen, schaltet man dieses elektronische Anzeigegerät ein, den hochauflösenden flachen ___.;Чтобы видеть тексты и видео на компьютере, включают это электронное устройство отображения — плоский экран (монитор) высокого разрешения.;Drucker;Scanner;Lautsprecher
Tastatur;Um Buchstaben und Zahlen in den Computer einzutippen, drückt man mit den Fingern auf die vielen Tasten dieser flachen Kunststoff-___.;Чтобы набирать буквы и цифры на компьютере, пальцами нажимают на множество клавиш этой плоской пластиковой клавиатуры.;Maus;Festplatte;Webcam
Drucker;Dieses Gerät am Computer zieht weißes Papier ein, bringt Tinte darauf und spuckt das fertige Dokument bedruckt wieder aus, der moderne Farb-___.;Это устройство у компьютера затягивает белую бумагу, наносит на нее чернила и выдает готовый распечатанный документ наружу — современный цветной принтер.;Scanner;Monitor;Projektor
rund;Ein Fußball, eine Orange und die Erde haben keine Ecken oder Kanten, ihre geometrische Form ist vollkommen kugelförmig und kreis-___.;Футбольный мяч, апельсин и Земля не имеют углов или граней, их геометрическая форма совершенно шарообразна и кругла.;eckig;flach;spitz
eckig;Ein Buch, ein Schrank und ein Karton haben rechte Winkel und vier klare Kanten, diese Form ist nicht rund, sondern kantig und viereckig oder ___.;Книга, шкаф и картонная коробка имеют прямые углы и четыре четких ребра, эта форма не круглая, а угловатая и четырехугольная или угловато-квадратная.;rund;kugelig;oval
breit;Diese Autobahn hat sechs Spuren in jede Richtung, diese gigantische Straße ist extrem geräumig und unheimlich ___.;Этот автобан имеет шесть полос в каждом направлении, эта гигантская дорога экстремально просторна и невероятно широка.;schmal;eng;dünn
schmal;In der mittelalterlichen Altstadt ist die kleine Gasse so eng gebaut, dass kaum ein Kleinwagen hindurchpasst, sie ist winzig und extrem ___.;В средневековом старом городе маленький переулок построен так тесно, что едва проедет малолитражка, он крошечный и крайне узкий.;breit;weit;dick
flach;In Norddeutschland gibt es gar keine hohen Berge oder Hügel, die Landschaft bis zum Horizont ist eben und bretteben-___.;В Северной Германии вообще нет высоких гор или холмов, ландшафт до самого горизонта ровный и плоский как доска.;steil;tief;hoch
tief;Vorsicht beim Schwimmen im Meer an der Steilküste, das Wasser fällt dort sofort hundert Meter nach unten ab und ist extrem ___.;Осторожно при плавании в море у обрывистого берега, вода там сразу обрывается на сто метров вниз и чрезвычайно глубокая.;flach;niedrig;seicht
kurz;Wir haben keine Zeit für einen zweistündigen Spaziergang, wir machen nur eine winzige Runde von fünf Minuten, einen ganz knappen und ___en Weg.;У нас нет времени на двухчасовую прогулку, мы сделаем лишь крошечный круг в пять минут, совсем краткий и короткий путь.;langer;breiter;tiefer
lang;Der Nil in Afrika fließt über mehr als sechstausend Kilometer durch mehrere Länder, er ist ein außergewöhnlich ausgedehnter und ___er Fluss.;Нил в Африке течет более чем на шесть тысяч километров через несколько стран, это исключительно протяженная и длинная река.;kurzer;schmaler;flacher
dick;Dieser alte Wälzer hat über zweitausend Seiten aus schwerem Papier, das Lexikon im Regal ist extrem massiv, schwer und ungewöhnlich ___.;Этот старый фолиант насчитывает свыше двух тысяч страниц из тяжелой бумаги, энциклопедия на полке чрезвычайно массивна, тяжела и необычайно толста.;dünn;schmal;mager
dünn;Ein einzelnes Blatt Zeitungspapier zerreißt sehr schnell mit zwei Fingern, denn dieses federleichte Material ist extrem feingliedrig und sehr ___.;Один отдельный газетный лист очень быстро рвется двумя пальцами, ведь этот легкий как пушинка материал чрезвычайно тонкий.;dick;fett;schwer
früh;Der Bäcker steht jeden Morgen schon um vier Uhr morgens mitten in der Nacht auf, das ist für normale Menschen unheimlich zeitig und extrem ___.;Пекарь встает каждое утро уже в четыре часа утра среди ночи, это для обычных людей невероятно заблаговременно и экстремально рано.;spät;faul;müde
spät;Es ist schon halb ein Uhr in der Nacht, die Kinder müssen längst im Bett schlafen, es ist für Jugendliche viel zu nachtschlafend und extrem ___.;Уже половина первого ночи, дети давно должны спать в постели, для подростков это слишком глубокая ночь и экстремально поздно.;früh;hell;schnell
fremd;Ich bin zum allerersten Mal in Tokio und kenne niemanden auf der Straße, diese Kultur und die Schriftzeichen sind mir noch völlig unbekannt und ___.;Я в самый первый раз в Токио и не знаю никого на улице, эта культура и иероглифы мне еще совершенно неизвестны и чужды (незнакомы).;bekannt;heimisch;nah
berühmt;Albert Einstein kennt fast jeder Mensch auf der ganzen Welt für seine Relativitätstheorie, dieser historische Wissenschaftler ist welt-___.;Альберта Эйнштейна знает почти каждый человек во всем мире за его теорию относительности, этот исторический ученый всемирно знаменит (известен).;unbekannt;still;heimlich
beliebt;Diese sympathische Lehrerin ist freundlich, fair und lustig, alle Schüler mögen ihren Unterricht und sie ist an der ganzen Schule überaus geschätzt und ___.;Эта симпатичная учительница дружелюбна, справедлива и забавна, всем ученикам нравятся ее уроки и она во всей школе чрезвычайно ценима и популярна (любима).;gehasst;unbeliebt;streng
