feststellen;Der Mechaniker schaute unter das Auto, um die genaue Ursache für den Schaden zu ___.;Механик заглянул под машину, чтобы констатировать (установить) точную причину поломки.;schlafen;trinken;kochen
vorschlagen;Wenn niemand eine Idee hat, möchte ich einen Ausflug in den botanischen Garten als Alternative ___.;Если ни у кого нет идеи, я хочу предложить поездку в ботанический сад в качестве альтернативы.;schlafen;kochen;trinken
bewältigen;Trotz der vielen Überstunden und des Stresses konnte das engagierte Team die schwere Krise erfolgreich ___.;Несмотря на множество переработок и стресс, преданная команда смогла успешно справиться с (преодолеть) тяжелым кризисом.;schlafen;trinken;kochen
überwinden;Mit viel Geduld und gutem Training konnte der verletzte Sportler seine große Angst vor Stürzen ___.;С большим терпением и хорошими тренировками травмированный спортсмен смог преодолеть свой большой страх падений.;schlafen;trinken;kochen
beheben;Der Kundendienst schickte sofort einen Techniker, um den ärgerlichen Fehler am Gerät schnell zu ___.;Служба поддержки сразу отправила техника, чтобы быстро устранить досадную ошибку в приборе.;schlafen;trinken;kochen
verursachen;Das Fahren bei Schnee mit alten Sommerreifen kann sehr leicht einen schweren Autounfall ___.;Езда по снегу на старых летних шинах может очень легко вызвать (стать причиной) тяжелое ДТП.;verhindern;schlafen;kochen
auslösen;Bestimmte Pollen in der Luft können bei Allergikern im Frühling heftige Niesanfälle ___.;Определенная пыльца в воздухе может спровоцировать (вызвать) у аллергиков весной сильные приступы чихания.;stoppen;heilen;schlafen
folgen;Wenn man zu schnell auf nasser Fahrbahn fährt, kann daraus ein gefährlicher Unfall ___.;Если ехать слишком быстро по мокрой дороге, из этого может последовать опасная авария.;schlafen;kochen;trinken
ergeben;Die gründliche Untersuchung des Arztes konnte am Ende zum Glück keinen schlimmen Befund ___.;Тщательное обследование врача в итоге, к счастью, не выявило (не дало в результате) никакого плохого диагноза.;schlafen;trinken;kochen
erwerben;Im Laufe seines langen Berufslebens konnte der Meister viele praktische Qualifikationen ___.;В ходе своей долгой трудовой жизни мастер смог приобрести (получить) много практических квалификаций.;verlieren;schlafen;kochen
anschaffen;Für das neue Homeoffice möchte ich mir einen ergonomischen Bürostuhl und einen großen Tisch ___.;Для новой удаленной работы я хочу приобрести себе (обзавестись) эргономичное офисное кресло и большой стол.;wegwerfen;entsorgen;schlafen
entsorgen;Alte Autobatterien und giftige Chemikalien darf man nicht in den Hausmüll werfen, man muss sie fachgerecht ___.;Старые автомобильные аккумуляторы и ядовитые химикаты нельзя выбрасывать в бытовой мусор, их нужно правильно утилизировать.;kaufen;behalten;schlafen
recyceln;Um die Umwelt zu schonen, kann man altes Glas, Papier und Aluminium einschmelzen und wieder neu ___.;Чтобы беречь окружающую среду, можно переплавлять старое стекло, бумагу и алюминий и снова перерабатывать (пускать во вторичный оборот).;verbrennen;verschwenden;schlafen
verschwenden;Lass beim Zähneputzen nicht minutenlang das Wasser laufen, man sollte keine wertvollen Ressourcen ___!;Не оставляй при чистке зубов воду включенной на несколько минут, не следует впустую тратить (растрачивать) ценные ресурсы!;sparen;schonen;schlafen
einsparen;Mit modernen LED-Lampen kann ein normaler Haushalt jeden Monat viel teuren Strom ___.;С современными светодиодными лампами обычное домашнее хозяйство может каждый месяц экономить (сберегать) много дорогого электричества.;verschwenden;verbrauchen;schlafen
Klimawandel;Die weltweite Erwärmung der Atmosphäre und das Schmelzen der Gletscher sind klare Folgen vom globalen ___.;Всемирное потепление атмосферы и таяние ледников — явные последствия глобального изменения климата.;Wetterbericht;Sonnenschein;Winterurlaub
Erderwärmung;Der Ausstoß von Treibhausgasen führt dazu, dass die Durchschnittstemperatur weltweit ansteigt, die gefährliche ___.;Выброс парниковых газов приводит к тому, что средняя температура во всем мире растет — опасное глобальное потепление.;Eiszeit;Abkühlung;Schneeschmelze
Umweltschutz;Das Pflanzen von Bäumen und das Reduzieren von Plastikabfällen sind wichtige Maßnahmen für einen besseren ___.;Посадка деревьев и сокращение пластиковых отходов — важные меры для лучшей охраны окружающей среды.;Datenschutz;Arbeitsschutz;Brandschutz
Mülltrennung;Das getrennte Wegwerfen von Papier, Glas und Plastik in verschiedene Tonnen nennt man in Deutschland die konsequente ___.;Раздельное выбрасывание бумаги, стекла и пластика в разные баки называют в Германии последовательной сортировкой мусора.;Müllverbrennung;Straßenreinigung;Gebäudereinigung
Plastikmüll;Jedes Jahr landen Millionen Tonnen Einwegtüten und Verpackungen im Ozean, dieser schädliche ___ bedroht Fische.;Каждый год миллионы тонн одноразовых пакетов и упаковок попадают в океан, этот вредный пластиковый мусор угрожает рыбам.;Biomüll;Holzabfall;Papiermüll
Abfall;Alles, was nicht mehr gebraucht wird und in die Mülltonne gehört, bezeichnet man allgemein als unbrauchbaren ___.;Всё, что больше не используется и чему место в мусорном баке, в целом называют непригодными отходами (мусором).;Rohstoff;Schmuck;Wertgegenstand
Solarenergie;Moderne Photovoltaikanlagen auf dem Dach wandeln das Sonnenlicht direkt in sauberen Strom um, in umweltfreundliche ___.;Современные фотоэлектрические установки на крыше преобразуют солнечный свет прямо в чистый ток — в экологичную солнечную энергию.;Atomkraft;Kohleenergie;Dieselkraft
Windkraft;Große weiße Windräder auf den Feldern nutzen die Bewegung der Luft zur Stromerzeugung, saubere Energie durch moderne ___.;Большие белые ветряки на полях используют движение воздуха для выработки тока — чистая энергия за счет современной энергии ветра (ветроэнергетики).;Kernenergie;Kohlekraft;Wasserkraft
Stromverbrauch;Weil wir alte Elektrogeräte gegen neue, sparsame Modelle ausgetauscht haben, sank unser monatlicher ___ spürbar.;Так как мы заменили старые электроприборы на новые экономичные модели, наше ежемесячное потребление электроэнергии ощутимо снизилось.;Wasserstand;Ölwechsel;Gasanschluss
Ökostrom;Wer keine Energie aus alten Kohlekraftwerken nutzen möchte, bestellt beim Versorger rein grünen Strom, sogenannten ___.;Кто не хочет использовать энергию со старых угольных электростанций, заказывает у поставщика чисто зеленую энергию — так называемое «зеленое» электричество (экоток).;Atomstrom;Kohlestrom;Graustrom
Umweltverschmutzung;Fabriken, die giftige Abwässer in den Fluss leiten, machen sich schuldig einer schweren und strafbaren ___.;Заводы, сливающие ядовитые сточные воды в реку, виновны в тяжелом и наказуемом загрязнении окружающей среды.;Umweltförderung;Naturpflege;Landschaftsplanung
Abgase;Alte Dieselmotoren blasen Feinstaub und giftige Rußpartikel aus dem Auspuff in die Stadtluft, ungesunde ___.;Старые дизельные двигатели выбрасывают мелкодисперсную пыль и ядовитые частицы сажи из выхлопной трубы в воздух города — вредные выхлопные газы.;Frischluft;Sauerstoff;Wasserdampf
Luftverschmutzung;In großen Industriestädten ohne Wind führt der viele Smog zu Husten und gefährlicher ___ für alle Bewohner.;В крупных промышленных городах без ветра обилие смога приводит к кашлю и опасному загрязнению воздуха для всех жителей.;Luftbefeuchtung;Klimatisierung;Lüftung
Naturkatastrophe;Ein verheerendes Erdbeben oder ein gewaltiger Tsunami zerstört ganze Städte, eine schreckliche und unkontrollierbare ___.;Разрушительное землетрясение или мощное цунами уничтожает целые города — ужасная и неконтролируемая природная катастрофа (стихийное бедствие).;Freizeitaktivität;Fehlentscheidung;Urlaubsreise
Hochwasser;Nach wochenlangem Dauerregen trat der Fluss über die Ufer und überflutete Straßen und Keller, ein zerstörerisches ___.;После многонедельного непрерывного дождя река вышла из берегов и затопила улицы и подвалы — разрушительное наводнение (паводок).;Niedrigwasser;Trockenheit;Dürre
Benutzerkonto;Um in dem Onlineshop bestellen zu können, muss man sich zuerst mit E-Mail-Adresse und Passwort ein persönliches ___ anlegen.;Чтобы заказывать в интернет-магазине, нужно сначала создать себе личный профиль (учетную запись пользователя) с адресом почты и паролем.;Bankkonto;Sparbuch;Postfach
Passwort;Um sensible Daten vor fremdem Zugriff zu schützen, sollte man eine sichere Kombination aus Buchstaben und Zahlen wählen, ein starkes ___.;Чтобы защитить конфиденциальные данные от постороннего доступа, следует выбрать надежную комбинацию из букв и цифр — надежный пароль.;Benutzername;Postleitzahl;Hausnummer
Sicherheit;Alarmanlagen, doppelte Schlösser an den Fenstern und gute Passwörter dienen dem Schutz und der persönlichen ___.;Сигнализация, двойные замки на окнах и хорошие пароли служат защите и личной безопасности.;Gefahr;Angst;Unsicherheit
Datenschutz;Unternehmen dürfen persönliche Daten von Kunden nicht ohne deren Einwilligung weitergeben, dafür sorgt der strenge europäische ___.;Компании не имеют права передавать персональные данные клиентов без их согласия, об этом заботится строгая европейская защита данных.;Arbeitsschutz;Tierschutz;Denkmalschutz
Festplatte;Alle Fotos, Dokumente und Programme des Computers werden dauerhaft gespeichert auf dem magnetischen Datenträger, der internen ___.;Все фотографии, документы и программы компьютера постоянно сохраняются на магнитном носителе данных — на внутреннем жестком диске.;Tastatur;Maus;Grafikkarte
Internetverbindung;Ohne funktionierendes Netzwerkkabel oder Mobilfunkempfang bricht der Zugriff auf Websites ab, wir haben keine stabile ___.;Без исправного сетевого кабеля или мобильной связи доступ к сайтам обрывается — у нас нет стабильного интернет-соединения.;Stromverbindung;Bahnverbindung;Zugverbindung
WLAN;Im Café fragt der Gast die Bedienung nach dem Passwort für das kabellose Internet, nach dem kostenlosen Gast-___.;В кафе гость спрашивает официантку о пароле для беспроводного интернета — о бесплатном гостевом Wi-Fi (WLAN).;Bluetooth;Kabelnetz;Stromnetz
Netzwerk;Im Büro sind alle Computer und Drucker über einen zentralen Server miteinander verbunden, in einem gemeinsamen lokalen ___.;В офисе все компьютеры и принтеры соединены друг с другом через центральный сервер — в единой локальной сети.;Kühlschrank;Archiv;Postkasten
Hersteller;Wenn ein technisches Neugerät einen Produktionsfehler hat, wendet man sich für Reparatur oder Ersatz direkt an den industriellen ___.;Когда у нового технического прибора производственный дефект, для ремонта или замены обращаются напрямую к промышленному производителю (изготовителю).;Käufer;Kunden;Verbraucher
Lieferant;Die Bäckerei bezieht ihr Mehl jeden Morgen pünktlich von einer regionalen Mühle, das ist ihr zuverlässiger Mehl-___.;Пекарня получает свою муку каждое утро вовремя от региональной мельницы — это ее надежный поставщик муки.;Kunde;Käufer;Verbraucher
Garantie;Der Händler verspricht dem Kunden, das Gerät bei Defekten innerhalb der ersten zwei Jahre kostenlos zu reparieren, die gesetzliche ___.;Продавец обещает покупателю бесплатно отремонтировать прибор при поломках в течение первых двух лет — законная гарантия.;Kündigung;Mahnung;Bestrafung
Widerruf;Beim Onlinekauf hat der Kunde laut Gesetz 14 Tage Zeit, vom Kaufvertrag ohne Angabe von Gründen zurückzutreten, das Recht auf ___.;При онлайн-покупке у клиента по закону есть 14 дней, чтобы отказаться от договора купли-продажи без указания причин — право на отзыв (аннулирование/отказ от сделки).;Kaufabschluss;Lieferung;Zahlung
Rückgaberecht;Wenn die bestellte Hose nicht passt, kann man sie innerhalb eines Monats kostenlos an das Kaufhaus zurückschicken, dank dem kulanten ___.;Если заказанные брюки не подошли, их можно в течение месяца бесплатно отправить назад в магазин благодаря любезному праву на возврат товара.;Zahlungsziel;Kaufzwang;Lieferstopp
Bestellnummer;Auf der Kaufbestätigung im Internet steht eine eindeutige Ziffernfolge zur Identifizierung des Pakets, die persönliche ___.;В подтверждении покупки в интернете указан уникальный ряд цифр для идентификации посылки — личный номер заказа.;Hausnummer;Telefonnummer;Postleitzahl
Lieferschein;Zusammen mit dem Karton übergibt der Bote ein Papier, auf dem alle gelieferten Artikel aufgelistet sind, den offiziellen ___.;Вместе с коробкой курьер передает бумагу, на которой перечислены все доставленные артикулы — официальную накладную (лист доставки).;Fahrschein;Reisepass;Kassenzettel
Weiterbildung;Um beruflich auf dem neuesten Stand zu bleiben, besucht der Ingenieur am Wochenende eine berufsbegleitende fachliche ___.;Чтобы профессионально оставаться на современном уровне, инженер посещает на выходных профессиональное повышение квалификации (дальнейшее обучение).;Urlaubsreise;Freizeitgruppe;Sportstunde
Fortbildung;Krankenpfleger müssen regelmäßig neue medizinische Pflegemethoden erlernen und nehmen teil an einer internen Klinik-___.;Медбратья должны регулярно осваивать новые медицинские методики ухода и принимают участие во внутреннем больничном курсе повышения квалификации.;Kündigung;Pause;Freistellung
Umschulung;Weil er seinen alten Beruf aus gesundheitlichen Gründen nicht mehr ausüben darf, finanziert das Arbeitsamt eine zweijährige ___.;Поскольку по состоянию здоровья ему больше нельзя работать по старой профессии, биржа труда финансирует двухлетнюю переподготовку (переобучение).;Kündigung;Einschulung;Klassenfahrt
Qualifikation;Für den anspruchsvollen Posten als Abteilungsleiter verlangt die Stellenanzeige eine hohe akademische und fachliche ___.;Для ответственной должности начальника отдела объявление о вакансии требует высокой академической и профессиональной квалификации.;Unerfahrenheit;Unkenntnis;Arbeitslosigkeit
Zertifikat;Nach dem erfolgreichen Abschluss des Sprachkurses auf B1-Niveau erhielt der Student ein offiziell anerkanntes Sprach-___.;После успешного окончания языкового курса на уровне B1 студент получил официально признанный языковой сертификат.;Kassenzettel;Rezept;Fahrschein
Diplom;Nach fünf Jahren Studium an der technischen Universität überreichte der Dekan dem Absolventen das feierliche akademische ___.;После пяти лет учебы в техническом университете декан вручил выпускнику торжественный академический диплом.;Attest;Fahrkarte;Visitenkarte
Abschluss;Das Bestehen des Abiturs an einem Gymnasium gilt in Deutschland als wichtigster schulischer und beruflicher Bildungs-___.;Сдача выпускных экзаменов (абитура) в гимназии считается в Германии важнейшим школьным и профессиональным завершением образования (дипломом/аттестатом).;Anfang;Beginn;Einstieg
Fremdsprachenkenntnisse;Wer fließend Englisch und Spanisch spricht, punktet bei internationalen Firmen mit seinen exzellenten praktischen ___.;Кто бегло говорит по-английски и по-испански, зарабатывает баллы в международных фирмах своими превосходными практическими знаниями иностранных языков.;Reisekosten;Schulden;Fehlzeiten
Fachwissen;Der erfahrene Meister kennt jedes kleinste Detail der Motorentechnik, er verfügt über ein enormes theoretisches und praktisches ___.;Опытный мастер знает каждую мельчайшую деталь моторной техники, он обладает колоссальными теоретическими и практическими специальными знаниями.;Halbwissen;Unwissen;Unvermögen
Teilnahmebescheinigung;Wer an allen zehn Abenden des Erste-Hilfe-Kurses anwesend war, bekommt am Ende zur Bestätigung eine gedruckte offizielle ___.;Кто присутствовал на всех десяти вечерах курса первой помощи, получает в конце для подтверждения напечатанную официальную справку об участии.;Kündigung;Rechnung;Fahrkarte
Volkshochschule;Günstige Abendkurse für Sprachen, Kochen oder Fotografie besuchen viele Bürger an der städtischen Erwachsenenbildungsstätte, der ___.;Недорогие вечерние курсы по языкам, кулинарии или фотографии многие граждане посещают в городском центре образования для взрослых — в Народном университете (VHS).;Grundschule;Kindertagesstätte;Hauptschule
Fachhochschule;Wer praxisnah mit vielen Praxissemestern statt rein theoretisch studieren möchte, wählt für sein Studium eine anwendungsorientierte ___.;Кто хочет учиться практически ориентированно со многими семестрами практики вместо чистой теории, выбирает для учебы прикладной университет (высшую специальную школу / FH).;Grundschule;Volksschule;Mittelschule
Studiengang;An der Universität München habe ich mich für den sechssemestrigen Bachelor-___ für Informatik eingeschrieben.;В Мюнхенском университете я записался на шестисеместровый бакалаврский курс обучения (направление подготовки) по информатике.;Schulweg;Fahrplan;Stundenplan
Vorlesung;Im großen Hörsaal sitzen dreihundert Studenten ganz leise und hören dem Professor bei seiner zweistündigen Fach-___ zu.;В большой аудитории триста студентов сидят совсем тихо и слушают профессора на его двухчасовой университетской лекции.;Pause;Prüfung;Hausaufgabe
Seminar;Im kleinen Kreis von fünfzehn Studierenden diskutiert die Gruppe intensiv über ein wissenschaftliches Thema in einem interaktiven ___.;В узком кругу из пятнадцати студентов группа интенсивно дискутирует на научную тему на интерактивном семинаре.;Großvorlesung;Konzert;Schulfest
Zusammenleben;Damit Menschen unterschiedlicher Kulturen friedlich in einem Viertel wohnen können, braucht es gegenseitigen Respekt für ein gutes ___.;Чтобы люди разных культур могли мирно жить в одном квартале, требуется взаимное уважение для хорошего совместного сосуществования (совместной жизни).;Alleinesein;Streiten;Kämpfen
Gesellschaft;Alle Bürger eines Landes mit ihren unterschiedlichen Schichten, Werten und Gesetzen bilden zusammen die moderne demokratische ___.;Все граждане страны с их разными слоями, ценностями и законами образуют вместе современное демократическое общество.;Einzelperson;Familienfeier;Schulklasse
Bevölkerung;In Deutschland leben über vierundachtzig Millionen Menschen, diese Gesamtheit aller Einwohner des Staates ist die ansässige ___.;В Германии живет более восьмидесяти четырех миллионов человек, эта совокупность всех жителей государства — постоянное население.;Regierung;Armee;Polizei
Bürgerinitiative;Wenn Anwohner gemeinsam gegen den Bau einer lauten Autobahn vor ihrer Haustür protestieren, gründen sie eine engagierte lokale ___.;Когда местные жители вместе протестуют против строительства шумного автобана перед их дверями, они создают активную местную гражданскую инициативу.;Partei;Gewerkschaft;Polizei
Ehrenamt;Wer am Wochenende freiwillig ohne Bezahlung im Tierheim hilft oder bei der Feuerwehr dient, leistet ein wertvolles gesellschaftliches ___.;Кто на выходных добровольно без оплаты помогает в приюте для животных или служит в пожарной части, выполняет ценную общественную волонтерскую работу (общественную должность).;Hauptberuf;Vollzeitstelle;Minijob
Gemeinschaft;Menschen, die zusammenhalten, sich gegenseitig helfen und gemeinsame Ziele verfolgen, bilden eine starke und harmonische ___.;Люди, которые держатся вместе, помогают друг другу и преследуют общие цели, образуют крепкое и гармоничное сообщество (общность).;Einzelhaft;Einsamkeit;Konkurrenz
Toleranz;Andere Meinungen, Religionen und Lebensstile ohne Vorurteile zu akzeptieren und gelten zu lassen, erfordert offene und gelebte ___.;Принимать чужие мнения, религии и образы жизни без предрассудков и уважать их требует открытой и искренней толерантности (терпимости).;Intoleranz;Hass;Aggression
Gerechtigkeit;Dass vor dem Gesetz alle Menschen gleich behandelt werden und gleiche Chancen haben, ist der Grundpfeiler wahrer sozialer ___.;То, что перед законом все люди трактуются одинаково и имеют равные шансы — краеугольный камень истинной социальной справедливости.;Ungerechtigkeit;Willkür;Ungleichheit
Ungerechtigkeit;Wenn zwei Kollegen die exakt gleiche Arbeit leisten, aber einer viel weniger Lohn bekommt, empfinden das alle als schwere soziale ___.;Если два коллеги выполняют совершенно одинаковую работу, но один получает намного меньше зарплаты, все воспринимают это как тяжелую социальную несправедливость.;Gerechtigkeit;Fairness;Gleichheit
Konflikt;Wenn zwei Nachbarn jahrelang über die Grenzmauer streiten und keine Einigung finden, eskaliert dieser schwere nachbarschaftliche ___.;Когда двое соседей годами ссорятся из-за забора на границе и не находят согласия, этот тяжелый соседский конфликт обостряется.;Frieden;Vertrag;Kompromiss
Streitigkeit;Kleinere juristische Auseinandersetzungen zwischen Mietern und Hausbesitzern über die Kaution bezeichnet das Gesetz als rechtliche ___.;Мелкие юридические разбирательства между квартиросъемщиками и домовладельцами из-за залога закон называет правовым спором (тяжбой).;Einigung;Freundschaft;Zusammenarbeit
Gericht;Wenn Kläger und Beklagte sich nicht einigen können, entscheidet ein Richter im großen Verhandlungssaal vor dem offiziellen ___.;Когда истец и ответчик не могут договориться, судья принимает решение в большом зале заседаний перед официальным судом.;Rathaus;Polizeirevier;Krankenhaus
Rechtsanwalt;Um sich bei einem Zivilprozess professionell verteidigen und juristisch vertreten zu lassen, engagiert der Bürger einen erfahrenen ___.;Чтобы профессионально защищаться на гражданском процессе и быть юридически представленным, гражданин нанимает опытного адвоката (юриста).;Arzt;Lehrer;Handwerker
Gesetz;Die im Parlament gewählten Abgeordneten beschließen verbindliche Regeln für den Staat, an die sich jeder halten muss, jedes einzelne ___.;Депутаты, избранные в парламент, принимают обязательные правила для государства, которых каждый обязан придерживаться — каждый отдельный закон.;Gerücht;Witz;Meinung
Vorschrift;Das Tragen eines Schutzhelms auf der Baustelle ist keine unverbindliche Empfehlung, sondern eine streng einzuhaltende Sicherheits-___.;Ношение защитной каски на стройплощадке — не необязательная рекомендация, а строго соблюдаемое предписание (правило) по безопасности.;Bitte;Empfehlung;Meinung
nachhaltig;Produkte, die ressourcenschonend hergestellt werden und der Umwelt langfristig keinen Schaden zufügen, gelten als ökologisch und ___.;Продукты, произведенные с бережным отношением к ресурсам и не наносящие в долгосрочной перспективе вреда окружающей среде, считаются экологичными и устойчивыми (экологически рациональными).;schädlich;kurzlebig;giftig
umweltfreundlich;Mit der Bahn oder dem Fahrrad statt mit dem eigenen Auto zu fahren, ist gut für die Natur und besonders ___.;Ездить на поезде или велосипеде вместо личного автомобиля полезно для природы и особенно экологически безопасно (безвредно для окружающей среды).;umweltschädlich;giftig;dreckig
schädlich;Zigarettenrauch enthält giftige Stoffe wie Teer und Nikotin, das Einatmen ist für die menschliche Lunge extrem gefährlich und hochgradig ___.;Сигаретный дым содержит ядовитые вещества вроде смолы и никотина, его вдыхание для человеческих легких чрезвычайно опасно и в высшей степени вредно.;gesund;nützlich;heilsam
sparsam;Dieser moderne Kleinwagen verbraucht nur vier Liter Benzin auf hundert Kilometer, der Motor arbeitet extrem wirtschaftlich und ___.;Эта современная малолитражка расходует всего четыре литра бензина на сто километров, двигатель работает чрезвычайно экономично и экономно (бережливо).;verschwenderisch;teuer;luxuriös
wirksam;Diese neue medizinische Salbe linderte den quälenden Juckreiz schon nach wenigen Sekunden, sie ist ein hochgradig effektives und ___es Mittel.;Эта новая медицинская мазь облегчила мучительный зуд уже через несколько секунд, она — в высшей степени эффективное и действенное средство.;nutzloses;wirkungsloses;schlechtes
wirkungslos;Trotz der Einnahme der Tropfen gingen die Kopfschmerzen überhaupt nicht weg, das homöopathische Mittel blieb leider völlig ___.;Несмотря на прием капель, головные боли вообще не прошли, гомеопатическое средство осталось, к сожалению, совершенно недейственным (бесполезным).;wirksam;effektiv;stark
gerecht;Der Richter behandelte beide Parteien absolut unparteiisch und fällte ein für alle nachvollziehbares, faires und ___es Urteil.;Судья отнесся к обеим сторонам абсолютно беспристрастно и вынес понятный для всех, честный и справедливый приговор.;ungerechtes;willkürliches;falsches
ungerecht;Dass fleißige Arbeiter bestraft wurden, während die Schuldigen eine Belohnung bekamen, empfanden alle Kollegen als zutiefst unfair und ___.;То, что старательные работники были наказаны, тогда как виновные получили награду, все коллеги сочли глубоко нечестным и несправедливым.;gerecht;fair;richtig
gesetzlich;In Deutschland ist das Anschnallen im Auto für jeden Mitfahrer nicht freiwillig, sondern durch die Straßenverkehrsordnung ___ vorgeschrieben.;В Германии пристегивание ремнем в автомобиле для каждого пассажира не добровольно, а предписано правилами дорожного движения по закону (законодательно).;illegal;verboten;freiwillig
freiwillig;Niemand wurde gezwungen, bei dem Stadtfest mitzuhelfen, alle zwanzig Helfer meldeten sich aus eigener Motivation ganz ___.;Никого не принуждали помогать на городском празднике, все двадцать помощников вызвались по собственной мотивации совершенно добровольно.;gezwungen;verpflichtend;unfreiwillig
verpflichtend;Die Teilnahme am wöchentlichen Sicherheitskurs ist für alle Fabrikarbeiter keine Option, sondern vom Arbeitgeber streng vorgeschrieben und absolut ___.;Участие в еженедельном курсе безопасности для всех заводских рабочих — не опция, а строго предписано работодателем и абсолютно обязательно.;freiwillig;unverbindlich;optional
beruflich;Mein Umzug nach München hatte keine privaten Gründe, ich habe dort eine fantastische neue Stelle angetreten und zog rein ___ um.;Мой переезд в Мюнхен не имел личных причин, я устроился там на фантастическую новую должность и переехал чисто по работе (в профессиональном плане).;privat;familiär;hobbymäßig
persönlich;Ich möchte diese vertrauliche Angelegenheit nicht am Telefon besprechen, wir treffen uns morgen zu einem Vier-Augen-Gespräch ganz ___.;Я не хочу обсуждать это конфиденциальное дело по телефону, мы встретимся завтра для разговора с глазу на глаз совершенно лично (с глазу на глаз).;öffentlich;anonym;schriftlich
fachlich;Der Bewerber hat zwar keine Führungserfahrung, aber seine theoretischen Kenntnisse in Informatik sind brillant und ___ einwandfrei.;Соискатель хоть и не имеет опыта руководства, но его теоретические знания в информатике блестящи и в профессиональном (специальном) отношении безупречны.;handwerklich;laienhaft;amateurhaft
ausführlich;Der Arzt nahm sich eine ganze Stunde Zeit, um dem Patienten die komplizierte Diagnose Schritt für Schritt ganz detailliert und ___ zu erklären.;Врач уделил целый час времени, чтобы объяснить пациенту сложный диагноз шаг за шагом очень детально и подробно (обстоятельно).;oberflächlich;knapp;kurz
